date,value
1870-01-01,-0.076903
1871-01-01,0.075374
1872-01-01,0.020854
1873-01-01,0.104963
1874-01-01,0.078259
1875-01-01,0.070487
1876-01-01,0.064321
1877-01-01,0.054089
1878-01-01,0.062952
1879-01-01,0.067763
1880-01-01,0.050627
1881-01-01,0.038200
1882-01-01,0.000596
1883-01-01,0.014375
1884-01-01,0.045276
1885-01-01,0.038802
1886-01-01,0.049834
1887-01-01,0.018512
1888-01-01,0.040294
1889-01-01,0.058516
1890-01-01,0.074216
1891-01-01,0.030551
1892-01-01,0.043575
1893-01-01,0.026663
1894-01-01,0.039374
1895-01-01,0.018681
1896-01-01,0.031399
1897-01-01,0.026683
1898-01-01,0.018187
1899-01-01,0.018511
1900-01-01,0.035501
1901-01-01,0.026957
1902-01-01,0.019344
1903-01-01,0.020135
1904-01-01,-0.001246
1905-01-01,0.063400
1906-01-01,0.007956
1907-01-01,0.031833
1908-01-01,0.033296
1909-01-01,0.033236
1910-01-01,0.022104
1911-01-01,0.016061
1912-01-01,0.005828
1913-01-01,0.009019
1914-01-01,-0.056798
1922-01-01,0.089830
1923-01-01,0.014623
1924-01-01,0.008623
1925-01-01,0.018357
1926-01-01,0.092653
1927-01-01,0.126658
1928-01-01,0.103629
1929-01-01,0.166192
1930-01-01,0.063731
1931-01-01,0.005281
1932-01-01,-0.013538
1933-01-01,-0.040332
1934-01-01,0.112681
1935-01-01,0.018017
1936-01-01,0.055688
1937-01-01,0.000369
1938-01-01,0.112334
1939-01-01,-0.030163
1940-01-01,0.126740
1941-01-01,0.083537
1942-01-01,0.029816
1943-01-01,0.019266
1944-01-01,0.049776
1945-01-01,0.016049
1946-01-01,-0.021918
1947-01-01,-0.098241
1948-01-01,-0.017544
1949-01-01,0.026980
1950-01-01,-0.000643
1951-01-01,-0.027669
1952-01-01,0.154414
1953-01-01,0.019871
1954-01-01,0.062960
1955-01-01,0.053469
1956-01-01,-0.000833
1957-01-01,0.043005
1958-01-01,0.090652
1959-01-01,0.094164
1960-01-01,0.042717
1961-01-01,0.047232
1962-01-01,0.052022
1963-01-01,0.035487
1964-01-01,0.045622
1965-01-01,0.041793
1966-01-01,0.009291
1967-01-01,0.052232
1968-01-01,0.036284
1969-01-01,0.028647
1970-01-01,-0.005038
1971-01-01,0.050841
1972-01-01,0.069697
1973-01-01,0.036988
1974-01-01,0.050161
1975-01-01,0.143976
1976-01-01,0.064050
1977-01-01,0.089936
1978-01-01,0.121450
1979-01-01,0.014443
1980-01-01,0.049317
1981-01-01,0.080803
1982-01-01,0.182528
1983-01-01,0.182245
1984-01-01,0.167815
1985-01-01,0.154121
1986-01-01,0.148873
1987-01-01,0.039031
1988-01-01,0.129557
1989-01-01,0.073176
1990-01-01,0.067019
1991-01-01,0.134032
1992-01-01,0.092962
1993-01-01,0.212849
1994-01-01,-0.033231
1995-01-01,0.117341
1996-01-01,0.106558
1997-01-01,0.104661
1998-01-01,0.131348
1999-01-01,-0.032708
2000-01-01,0.065567
2001-01-01,0.059351
2002-01-01,0.063251
2003-01-01,0.037998
2004-01-01,0.082510
2005-01-01,0.082783
2006-01-01,0.024173
2007-01-01,-0.028987
2008-01-01,0.128753
2009-01-01,-0.028786
2010-01-01,0.048830
2011-01-01,0.004575
2012-01-01,0.094811
2013-01-01,-0.019144
2014-01-01,0.162201
2015-01-01,-0.000924
2016-01-01,0.016041
2017-01-01,0.016155
2018-01-01,0.002984
2019-01-01,0.036764
2020-01-01,0.017169
