date,value
1870-01-01,0.067500
1871-01-01,0.041250
1872-01-01,0.041250
1873-01-01,0.046250
1874-01-01,0.035000
1875-01-01,0.047500
1876-01-01,0.037500
1877-01-01,0.040000
1878-01-01,0.045000
1879-01-01,0.035000
1880-01-01,0.033750
1881-01-01,0.041250
1882-01-01,0.038750
1883-01-01,0.035000
1884-01-01,0.028900
1885-01-01,0.028500
1886-01-01,0.021600
1887-01-01,0.023000
1888-01-01,0.021100
1889-01-01,0.026300
1890-01-01,0.037800
1891-01-01,0.030200
1892-01-01,0.018000
1893-01-01,0.031700
1894-01-01,0.017400
1895-01-01,0.020100
1896-01-01,0.030400
1897-01-01,0.030900
1898-01-01,0.035500
1899-01-01,0.044500
1900-01-01,0.044100
1901-01-01,0.030600
1902-01-01,0.021900
1903-01-01,0.030100
1904-01-01,0.031400
1905-01-01,0.028500
1906-01-01,0.040400
1907-01-01,0.051200
1908-01-01,0.035200
1909-01-01,0.028600
1910-01-01,0.035400
1911-01-01,0.035400
1912-01-01,0.042200
1913-01-01,0.049800
1914-01-01,0.036300
1915-01-01,0.038900
1916-01-01,0.046200
1917-01-01,0.046300
1918-01-01,0.046300
1919-01-01,0.046300
1920-01-01,0.035900
1921-01-01,0.034900
1922-01-01,0.059400
1924-01-01,0.111100
1925-01-01,0.082000
1926-01-01,0.060300
1927-01-01,0.072600
1928-01-01,0.074600
1929-01-01,0.082700
1930-01-01,0.056600
1931-01-01,0.084500
1932-01-01,0.050400
1933-01-01,0.050500
1934-01-01,0.045500
1935-01-01,0.034700
1936-01-01,0.033100
1937-01-01,0.031700
1938-01-01,0.030100
1939-01-01,0.025000
1940-01-01,0.022200
1941-01-01,0.021800
1942-01-01,0.021300
1943-01-01,0.021300
1944-01-01,0.021300
1950-01-01,0.043100
1951-01-01,0.060200
1952-01-01,0.051100
1953-01-01,0.035800
1954-01-01,0.028900
1955-01-01,0.031300
1956-01-01,0.047000
1957-01-01,0.039600
1958-01-01,0.030800
1959-01-01,0.027050
1960-01-01,0.045640
1961-01-01,0.029320
1962-01-01,0.026620
1963-01-01,0.029960
1964-01-01,0.032880
1965-01-01,0.041040
1966-01-01,0.053390
1967-01-01,0.033480
1968-01-01,0.025930
1969-01-01,0.048070
1970-01-01,0.086470
1971-01-01,0.061630
1972-01-01,0.043020
1973-01-01,0.101830
1974-01-01,0.088660
1975-01-01,0.044040
1976-01-01,0.038850
1977-01-01,0.041390
1978-01-01,0.033600
1979-01-01,0.058720
1980-01-01,0.090610
1981-01-01,0.112630
1982-01-01,0.086660
1983-01-01,0.053630
1984-01-01,0.055450
1985-01-01,0.051930
1986-01-01,0.045730
1987-01-01,0.037220
1988-01-01,0.040090
1989-01-01,0.065890
1990-01-01,0.079230
1991-01-01,0.088400
1992-01-01,0.094160
1993-01-01,0.074890
1994-01-01,0.053470
1995-01-01,0.045030
1996-01-01,0.032730
1997-01-01,0.031840
1998-01-01,0.034140
1999-01-01,0.027320
2000-01-01,0.041120
2001-01-01,0.043730
2002-01-01,0.032780
2003-01-01,0.023180
2004-01-01,0.020483
2005-01-01,0.020900
2006-01-01,0.028358
2007-01-01,0.038592
2008-01-01,0.038183
2009-01-01,0.006258
2010-01-01,0.003833
2011-01-01,0.008092
2012-01-01,0.002550
2013-01-01,0.000892
2014-01-01,0.000967
2015-01-01,-0.001075
2016-01-01,-0.002637
2017-01-01,-0.003291
2018-01-01,-0.003221
2019-01-01,-0.003563
2020-01-01,-0.004252
