date,value
1870-01-01,0.033484
1871-01-01,0.141904
1872-01-01,0.049743
1873-01-01,0.064562
1874-01-01,0.061976
1875-01-01,0.047439
1876-01-01,0.040216
1877-01-01,0.038433
1878-01-01,0.050120
1879-01-01,0.059519
1880-01-01,0.065212
1881-01-01,0.046946
1882-01-01,0.042355
1883-01-01,0.046307
1884-01-01,0.050992
1885-01-01,0.051388
1886-01-01,0.053658
1887-01-01,0.033851
1888-01-01,0.057114
1889-01-01,0.030128
1890-01-01,0.000945
1891-01-01,0.033853
1892-01-01,0.046211
1893-01-01,0.036572
1894-01-01,0.084797
1895-01-01,0.046782
1896-01-01,0.024240
1897-01-01,0.020682
1898-01-01,0.008859
1899-01-01,-0.014999
1900-01-01,0.026910
1901-01-01,0.062203
1902-01-01,0.040764
1903-01-01,0.033150
1904-01-01,0.027774
1905-01-01,0.027354
1906-01-01,0.017609
1907-01-01,0.003328
1908-01-01,0.057572
1909-01-01,0.034414
1910-01-01,0.033985
1911-01-01,0.024637
1912-01-01,0.001790
1913-01-01,0.022682
1914-01-01,0.045501
1915-01-01,0.065365
1916-01-01,0.043195
1917-01-01,0.031542
1918-01-01,0.038629
1919-01-01,0.067362
1920-01-01,0.120006
1921-01-01,0.431718
1922-01-01,0.047298
1923-01-01,0.061141
1924-01-01,0.068275
1925-01-01,0.067294
1926-01-01,0.048268
1927-01-01,0.047134
1928-01-01,0.053088
1929-01-01,0.046712
1930-01-01,0.068387
1931-01-01,-0.124219
1932-01-01,0.243992
1933-01-01,0.209618
1934-01-01,0.045467
1935-01-01,0.046375
1936-01-01,0.071116
1937-01-01,0.095610
1938-01-01,0.066617
1939-01-01,0.045717
1940-01-01,0.077672
1941-01-01,0.069006
1942-01-01,0.061129
1943-01-01,0.064544
1949-01-01,0.064588
1950-01-01,0.037012
1951-01-01,0.035919
1952-01-01,0.062941
1953-01-01,0.014949
1954-01-01,0.071288
1955-01-01,0.102447
1956-01-01,-0.056685
1957-01-01,-0.002312
1958-01-01,0.127051
1959-01-01,0.091758
1960-01-01,0.020546
1961-01-01,0.099887
1962-01-01,0.055385
1963-01-01,0.054773
1964-01-01,0.069307
1965-01-01,0.001762
1966-01-01,0.000972
1967-01-01,0.158896
1968-01-01,0.089202
1969-01-01,0.009404
1970-01-01,0.054736
1971-01-01,0.085388
1972-01-01,0.040692
1973-01-01,0.032910
1974-01-01,0.082334
1975-01-01,0.134946
1976-01-01,0.111454
1977-01-01,0.135628
1978-01-01,0.037436
1979-01-01,0.005099
1980-01-01,0.031024
1981-01-01,0.050719
1982-01-01,0.185699
1983-01-01,0.049066
1984-01-01,0.131914
1985-01-01,0.102597
1986-01-01,0.086205
1987-01-01,0.068148
1988-01-01,0.049500
1989-01-01,0.016103
1990-01-01,0.014066
1991-01-01,0.111707
1992-01-01,0.134088
1993-01-01,0.146619
1994-01-01,-0.025139
1995-01-01,0.166929
1996-01-01,0.075461
1997-01-01,0.065617
1998-01-01,0.112409
1999-01-01,-0.019451
2000-01-01,0.068553
2001-01-01,0.056241
2002-01-01,0.090192
2003-01-01,0.040872
2004-01-01,0.067013
2005-01-01,0.040816
2006-01-01,0.002688
2007-01-01,0.025138
2008-01-01,0.101440
2009-01-01,0.049247
2010-01-01,0.040067
2011-01-01,0.082909
2012-01-01,0.046400
2013-01-01,-0.004857
2014-01-01,0.071004
2015-01-01,0.005129
2016-01-01,0.040645
2017-01-01,0.011384
2018-01-01,0.025324
2019-01-01,0.058534
2020-01-01,0.032080
