date,value
1871-01-01,0.394427
1872-01-01,0.472132
1873-01-01,0.054562
1874-01-01,0.064215
1875-01-01,0.063213
1876-01-01,0.077742
1877-01-01,-0.057480
1878-01-01,0.091860
1879-01-01,0.115806
1880-01-01,0.092286
1881-01-01,0.095791
1882-01-01,0.074725
1883-01-01,0.082831
1884-01-01,0.221879
1885-01-01,0.064959
1886-01-01,0.071393
1887-01-01,0.183822
1888-01-01,0.070527
1889-01-01,0.070689
1890-01-01,0.144359
1891-01-01,0.043695
1892-01-01,0.051771
1893-01-01,0.051143
1894-01-01,0.066379
1895-01-01,0.059440
1896-01-01,0.054163
1897-01-01,0.136814
1898-01-01,-0.024038
1899-01-01,0.213971
1900-01-01,-0.037075
1901-01-01,-0.026990
1902-01-01,0.143737
1903-01-01,0.055117
1904-01-01,0.058724
1905-01-01,0.200258
1906-01-01,0.044206
1907-01-01,0.099344
1908-01-01,0.040851
1909-01-01,0.002211
1910-01-01,0.108967
1911-01-01,0.043757
1912-01-01,0.043672
1913-01-01,0.152855
1914-01-01,-0.162752
1925-01-01,0.085261
1926-01-01,0.476608
1927-01-01,0.207831
1928-01-01,0.073147
1929-01-01,0.140629
1930-01-01,-0.164908
1931-01-01,-0.008751
1932-01-01,0.022623
1933-01-01,0.149354
1934-01-01,0.014561
1935-01-01,0.100581
1936-01-01,0.141402
1937-01-01,0.130905
1938-01-01,0.150860
1963-01-01,0.174973
1964-01-01,0.098148
1965-01-01,0.165524
1966-01-01,0.105453
1967-01-01,0.155223
1968-01-01,0.121629
1969-01-01,0.085099
1970-01-01,0.079159
1971-01-01,0.097949
1972-01-01,0.100584
1973-01-01,0.078620
1974-01-01,0.098253
1975-01-01,0.079050
1976-01-01,0.052041
1977-01-01,0.091775
1978-01-01,0.092431
1979-01-01,0.111277
1980-01-01,0.092367
1981-01-01,0.091508
1982-01-01,0.067423
1983-01-01,0.059847
1984-01-01,0.032488
1985-01-01,0.110086
1986-01-01,0.054833
1987-01-01,0.002766
1988-01-01,0.071019
1989-01-01,0.098720
1990-01-01,0.081522
1991-01-01,0.093853
1992-01-01,0.101031
1993-01-01,0.137429
1994-01-01,0.053494
1995-01-01,0.065854
1996-01-01,0.059330
1997-01-01,0.087830
1998-01-01,0.058860
1999-01-01,0.112306
2000-01-01,0.015558
2001-01-01,0.002554
2002-01-01,-0.018709
2003-01-01,0.084434
2004-01-01,0.041185
2005-01-01,0.070653
2006-01-01,0.078189
2007-01-01,0.084733
2008-01-01,0.006707
2009-01-01,0.075567
2010-01-01,0.079165
2011-01-01,0.063428
2012-01-01,0.136303
2013-01-01,0.108726
2014-01-01,0.072709
2015-01-01,0.078029
2016-01-01,0.082394
2017-01-01,0.093060
2018-01-01,0.038622
2019-01-01,0.106398
2020-01-01,0.083412
