date,value
1870-01-01,0.045156
1871-01-01,0.373252
1872-01-01,0.133467
1873-01-01,-0.097365
1874-01-01,-0.035791
1875-01-01,-0.081555
1876-01-01,0.075686
1877-01-01,0.007355
1878-01-01,0.093656
1879-01-01,0.333046
1880-01-01,0.128148
1881-01-01,0.175136
1882-01-01,-0.003735
1883-01-01,0.083662
1884-01-01,0.065524
1885-01-01,0.010079
1886-01-01,0.096130
1887-01-01,0.006245
1888-01-01,0.165832
1889-01-01,0.172782
1890-01-01,-0.043402
1891-01-01,-0.042406
1892-01-01,0.056863
1893-01-01,0.045284
1894-01-01,0.169764
1895-01-01,0.131859
1896-01-01,0.088972
1897-01-01,0.077654
1898-01-01,0.089692
1899-01-01,0.037263
1900-01-01,-0.067257
1901-01-01,0.038567
1902-01-01,0.086807
1903-01-01,0.100975
1904-01-01,0.124723
1905-01-01,0.088285
1906-01-01,0.058563
1907-01-01,0.025070
1908-01-01,0.020598
1909-01-01,0.140282
1910-01-01,0.078100
1911-01-01,0.052489
1912-01-01,0.059383
1913-01-01,0.040864
1914-01-01,-0.085730
1915-01-01,0.098159
1916-01-01,0.153507
1917-01-01,0.233723
1918-01-01,-0.265948
1919-01-01,0.590097
1920-01-01,0.685028
1921-01-01,1.238193
1922-01-01,20.694435
1923-01-01,2639074816.000000
1924-01-01,0.041484
1925-01-01,-0.347819
1926-01-01,1.377604
1927-01-01,-0.073908
1928-01-01,0.111629
1929-01-01,-0.222150
1930-01-01,-0.271952
1931-01-01,-0.341824
1932-01-01,0.137115
1933-01-01,0.144189
1934-01-01,0.140083
1935-01-01,0.160275
1936-01-01,0.298902
1937-01-01,0.017761
1938-01-01,-0.027276
1939-01-01,0.133669
1940-01-01,0.337694
1941-01-01,0.074765
1942-01-01,0.142600
1943-01-01,0.042710
1944-01-01,0.031703
1945-01-01,-0.134349
1946-01-01,-0.097041
1947-01-01,0.085387
1948-01-01,-0.884147
1949-01-01,1.368189
1950-01-01,-0.083105
1951-01-01,1.177476
1952-01-01,0.217917
1953-01-01,0.251899
1954-01-01,0.892624
1955-01-01,0.110411
1956-01-01,-0.048883
1957-01-01,0.077990
1958-01-01,0.611098
1959-01-01,0.819619
1960-01-01,0.379163
1961-01-01,-0.069643
1962-01-01,-0.215305
1963-01-01,0.120493
1964-01-01,0.095103
1965-01-01,-0.118911
1966-01-01,-0.136337
1967-01-01,0.379157
1968-01-01,0.159881
1969-01-01,0.191456
1970-01-01,-0.215191
1971-01-01,0.072337
1972-01-01,0.164312
1973-01-01,-0.151247
1974-01-01,0.024215
1975-01-01,0.311562
1976-01-01,-0.022198
1977-01-01,0.124508
1978-01-01,0.119187
1979-01-01,-0.093715
1980-01-01,0.033765
1981-01-01,0.027976
1982-01-01,0.148125
1983-01-01,0.393294
1984-01-01,0.109892
1985-01-01,0.666514
1986-01-01,0.150353
1987-01-01,-0.335088
1988-01-01,0.278991
1989-01-01,0.314820
1990-01-01,-0.069789
1991-01-01,0.128555
1992-01-01,-0.020868
1993-01-01,0.467059
1994-01-01,-0.070632
1995-01-01,0.069924
1996-01-01,0.221419
1997-01-01,0.408259
1998-01-01,0.155356
1999-01-01,0.316755
2000-01-01,-0.099125
2001-01-01,-0.179138
2002-01-01,-0.399401
2003-01-01,0.375763
2004-01-01,0.084665
2005-01-01,0.282018
2006-01-01,0.240872
2007-01-01,0.204231
2008-01-01,-0.425787
2009-01-01,0.254040
2010-01-01,0.184575
2011-01-01,-0.148160
2012-01-01,0.292628
2013-01-01,0.267460
2014-01-01,0.030945
2015-01-01,0.113298
2016-01-01,0.056800
2017-01-01,0.163800
2018-01-01,-0.168500
2019-01-01,0.227700
2020-01-01,0.075900
