date,value
1871-01-01,0.466144
1872-01-01,0.623153
1873-01-01,0.082387
1874-01-01,0.083052
1875-01-01,0.084098
1876-01-01,0.084288
1877-01-01,-0.082759
1878-01-01,0.099891
1879-01-01,0.099093
1880-01-01,0.098180
1881-01-01,0.097040
1882-01-01,0.095900
1883-01-01,0.094874
1884-01-01,0.294075
1885-01-01,0.077921
1886-01-01,0.077541
1887-01-01,0.244017
1888-01-01,0.066382
1889-01-01,0.066219
1890-01-01,0.209239
1891-01-01,0.057942
1892-01-01,0.057728
1893-01-01,0.057443
1894-01-01,0.057087
1895-01-01,0.056873
1896-01-01,0.057015
1897-01-01,0.182657
1898-01-01,-0.059544
1899-01-01,0.308726
1900-01-01,-0.052620
1901-01-01,-0.058087
1902-01-01,0.185151
1903-01-01,0.053721
1904-01-01,0.054165
1905-01-01,0.277084
1906-01-01,0.045664
1907-01-01,0.137195
1908-01-01,0.043237
1909-01-01,-0.039337
1910-01-01,0.140201
1911-01-01,0.045945
1912-01-01,0.046800
1913-01-01,0.214179
1914-01-01,-0.244989
1925-01-01,0.192859
1926-01-01,0.236432
1927-01-01,0.367470
1928-01-01,0.061646
1929-01-01,0.259347
1930-01-01,-0.232685
1931-01-01,0.032320
1932-01-01,-0.057362
1933-01-01,0.159287
1934-01-01,-0.018428
1935-01-01,0.115306
1936-01-01,0.149493
1937-01-01,0.173833
1938-01-01,0.223234
1963-01-01,0.211946
1964-01-01,0.107441
1965-01-01,0.239335
1966-01-01,0.151619
1967-01-01,0.130600
1968-01-01,0.126904
1969-01-01,0.075307
1970-01-01,0.119286
1971-01-01,0.105387
1972-01-01,0.100732
1973-01-01,0.105768
1974-01-01,0.107220
1975-01-01,0.052362
1976-01-01,0.053956
1977-01-01,0.089489
1978-01-01,0.102597
1979-01-01,0.144310
1980-01-01,0.103555
1981-01-01,0.097959
1982-01-01,0.044204
1983-01-01,0.033070
1984-01-01,0.009844
1985-01-01,0.036203
1986-01-01,0.036913
1987-01-01,0.024927
1988-01-01,0.051394
1989-01-01,0.076888
1990-01-01,0.111438
1991-01-01,0.087628
1992-01-01,0.110819
1993-01-01,0.096330
1994-01-01,0.083026
1995-01-01,0.051367
1996-01-01,0.033199
1997-01-01,0.025487
1998-01-01,0.026396
1999-01-01,0.065100
2000-01-01,0.045999
2001-01-01,0.046541
2002-01-01,0.019412
2003-01-01,0.039519
2004-01-01,0.030793
2005-01-01,0.031932
2006-01-01,0.053071
2007-01-01,0.064310
2008-01-01,0.060063
2009-01-01,0.059236
2010-01-01,0.080066
2011-01-01,0.107711
2012-01-01,0.148481
2013-01-01,0.111357
2014-01-01,0.097925
2015-01-01,0.096814
2016-01-01,0.118599
2017-01-01,0.102018
2018-01-01,0.105505
2019-01-01,0.094944
2020-01-01,0.113185
