date,value
1870-01-01,0.000000
1871-01-01,0.000000
1872-01-01,0.000000
1873-01-01,0.000000
1874-01-01,0.000000
1875-01-01,0.000000
1876-01-01,0.000000
1877-01-01,0.000000
1878-01-01,0.000000
1879-01-01,0.000000
1880-01-01,0.000000
1881-01-01,0.000000
1882-01-01,0.000000
1883-01-01,0.000000
1884-01-01,0.000000
1885-01-01,0.000000
1886-01-01,0.000000
1887-01-01,0.000000
1888-01-01,0.000000
1889-01-01,0.000000
1890-01-01,0.000000
1891-01-01,0.000000
1892-01-01,0.000000
1893-01-01,0.000000
1894-01-01,0.000000
1895-01-01,0.000000
1896-01-01,0.000000
1897-01-01,0.000000
1898-01-01,0.000000
1899-01-01,0.000000
1900-01-01,0.000000
1901-01-01,0.000000
1902-01-01,0.000000
1903-01-01,0.000000
1904-01-01,0.000000
1905-01-01,0.000000
1906-01-01,0.000000
1907-01-01,0.000000
1908-01-01,0.000000
1909-01-01,0.000000
1910-01-01,0.000000
1911-01-01,0.000000
1912-01-01,0.000000
1913-01-01,0.000000
1914-01-01,0.000000
1915-01-01,0.000000
1916-01-01,0.000000
1917-01-01,0.000000
1918-01-01,0.000000
1919-01-01,0.000000
1920-01-01,0.000000
1921-01-01,0.000000
1922-01-01,0.000000
1924-01-01,4.973375
1925-01-01,5.526298
1926-01-01,6.334939
1927-01-01,8.089120
1928-01-01,7.959193
1929-01-01,9.394786
1930-01-01,6.565200
1931-01-01,6.118868
1932-01-01,5.164227
1933-01-01,5.383167
1934-01-01,4.680318
1935-01-01,4.616337
1936-01-01,4.702990
1937-01-01,4.917079
1938-01-01,5.411086
1962-01-01,21.644346
1963-01-01,25.166137
1964-01-01,26.743607
1965-01-01,31.952924
1966-01-01,35.511401
1967-01-01,38.776395
1968-01-01,42.224817
1969-01-01,43.838971
1970-01-01,47.434134
1971-01-01,50.699128
1972-01-01,53.967605
1973-01-01,57.727598
1974-01-01,61.872694
1975-01-01,62.937286
1976-01-01,64.049991
1977-01-01,67.422171
1978-01-01,71.908881
1979-01-01,79.776429
1980-01-01,85.404228
1981-01-01,91.020956
1982-01-01,92.155567
1983-01-01,92.159012
1984-01-01,89.906131
1985-01-01,89.903422
1986-01-01,89.905778
1987-01-01,88.779352
1988-01-01,89.901361
1989-01-01,93.270450
1990-01-01,100.000000
1991-01-01,104.941185
1992-01-01,112.355494
1993-01-01,118.526749
1994-01-01,123.472203
1995-01-01,124.715729
1996-01-01,123.594574
1997-01-01,121.351410
1998-01-01,119.098618
1999-01-01,121.340810
2000-01-01,121.344962
2001-01-01,121.348495
2002-01-01,117.980997
2003-01-01,116.853747
2004-01-01,114.607138
2005-01-01,112.359852
2006-01-01,112.354964
2007-01-01,113.537658
2008-01-01,114.244324
2009-01-01,114.833183
2010-01-01,117.777653
2011-01-01,124.137647
2012-01-01,135.970925
2013-01-01,144.438544
2014-01-01,148.961997
2015-01-01,155.981148
2016-01-01,167.722269
2017-01-01,177.980395
2018-01-01,189.799116
2019-01-01,200.759159
2020-01-01,216.322217
