date,value
1870-01-01,4.626933
1871-01-01,4.455575
1872-01-01,4.285192
1873-01-01,4.324108
1874-01-01,4.267183
1875-01-01,4.248025
1876-01-01,4.253242
1877-01-01,4.234717
1878-01-01,4.274867
1879-01-01,4.180083
1880-01-01,4.050000
1881-01-01,3.960000
1882-01-01,3.940000
1883-01-01,3.920000
1884-01-01,3.880000
1885-01-01,3.810000
1886-01-01,3.740000
1887-01-01,3.700000
1888-01-01,3.640000
1889-01-01,3.600000
1890-01-01,3.680000
1891-01-01,3.710000
1892-01-01,3.680000
1893-01-01,3.650000
1894-01-01,3.560000
1895-01-01,3.360000
1896-01-01,3.350000
1897-01-01,3.360000
1898-01-01,3.400000
1899-01-01,3.550000
1900-01-01,3.680000
1901-01-01,3.650000
1902-01-01,3.520000
1903-01-01,3.530000
1904-01-01,3.570000
1905-01-01,3.570000
1906-01-01,3.630000
1907-01-01,3.750000
1908-01-01,3.800000
1909-01-01,3.700000
1910-01-01,3.760000
1911-01-01,3.790000
1912-01-01,3.910000
1913-01-01,4.090000
1914-01-01,4.145000
1915-01-01,5.825000
1916-01-01,6.557000
1917-01-01,5.970000
1918-01-01,5.970000
1919-01-01,6.394000
1920-01-01,5.978000
1921-01-01,5.701000
1924-01-01,7.970000
1925-01-01,7.910000
1926-01-01,5.480000
1927-01-01,6.030000
1928-01-01,6.260000
1929-01-01,6.480000
1930-01-01,6.180000
1931-01-01,6.140000
1932-01-01,7.300000
1933-01-01,6.660000
1934-01-01,6.330000
1935-01-01,4.700000
1936-01-01,4.640000
1937-01-01,4.500000
1938-01-01,4.540000
1939-01-01,4.540000
1940-01-01,4.410000
1941-01-01,4.350000
1942-01-01,4.350000
1943-01-01,4.210000
1948-01-01,5.555600
1949-01-01,5.089100
1950-01-01,5.276300
1951-01-01,5.318400
1952-01-01,4.750000
1953-01-01,5.252100
1954-01-01,5.023600
1955-01-01,4.976100
1956-01-01,6.888500
1957-01-01,7.487500
1958-01-01,6.788667
1959-01-01,5.790333
1960-01-01,6.389333
1961-01-01,5.890167
1962-01-01,5.890167
1963-01-01,6.089833
1964-01-01,6.189667
1965-01-01,7.088167
1966-01-01,8.086500
1967-01-01,6.988333
1968-01-01,6.489167
1969-01-01,6.788667
1970-01-01,8.286167
1971-01-01,7.986667
1972-01-01,7.886833
1973-01-01,9.284500
1974-01-01,10.382667
1975-01-01,8.485833
1976-01-01,7.787000
1977-01-01,6.189667
1978-01-01,5.790333
1979-01-01,7.387667
1980-01-01,8.485833
1981-01-01,10.108333
1982-01-01,8.965000
1983-01-01,8.018333
1984-01-01,7.949167
1985-01-01,6.947500
1986-01-01,5.894167
1987-01-01,6.140833
1988-01-01,6.489167
1989-01-01,6.898333
1990-01-01,8.704167
1991-01-01,8.458333
1992-01-01,7.847500
1993-01-01,6.510833
1994-01-01,6.866667
1995-01-01,6.850000
1996-01-01,6.215833
1997-01-01,5.640833
1998-01-01,4.571667
1999-01-01,4.490833
2000-01-01,5.263333
2001-01-01,4.797500
2002-01-01,4.782500
2003-01-01,4.070833
2004-01-01,4.036667
2005-01-01,3.353333
2006-01-01,3.762500
2007-01-01,4.216667
2008-01-01,3.984167
2009-01-01,3.222500
2010-01-01,2.743333
2011-01-01,2.606667
2012-01-01,1.495130
2013-01-01,1.571408
2014-01-01,1.163472
2015-01-01,0.495194
2016-01-01,0.091499
2017-01-01,0.316336
2018-01-01,0.396364
2019-01-01,-0.253634
2020-01-01,-0.511024
