date,value
1870-01-01,0.050492
1871-01-01,0.091577
1872-01-01,0.045497
1873-01-01,0.055406
1874-01-01,0.048488
1875-01-01,0.047469
1876-01-01,0.038858
1877-01-01,0.039217
1878-01-01,0.047560
1879-01-01,0.047260
1880-01-01,0.049481
1881-01-01,0.044098
1882-01-01,0.040552
1883-01-01,0.040653
1884-01-01,0.039946
1885-01-01,0.039944
1886-01-01,0.037629
1887-01-01,0.028426
1888-01-01,0.039107
1889-01-01,0.028214
1890-01-01,0.019372
1891-01-01,0.032027
1892-01-01,0.032106
1893-01-01,0.034136
1894-01-01,0.051099
1895-01-01,0.033441
1896-01-01,0.027320
1897-01-01,0.025791
1898-01-01,0.022179
1899-01-01,0.014750
1900-01-01,0.035505
1901-01-01,0.046402
1902-01-01,0.031332
1903-01-01,0.031625
1904-01-01,0.029587
1905-01-01,0.027927
1906-01-01,0.029004
1907-01-01,0.027264
1908-01-01,0.046386
1909-01-01,0.031507
1910-01-01,0.034692
1911-01-01,0.030018
1912-01-01,0.021995
1913-01-01,0.036241
1914-01-01,0.040900
1915-01-01,0.052132
1916-01-01,0.044698
1917-01-01,0.038921
1918-01-01,0.042464
1919-01-01,0.056831
1920-01-01,0.077953
1921-01-01,0.233309
1922-01-01,0.053349
1924-01-01,0.089687
1925-01-01,0.074647
1926-01-01,0.054284
1927-01-01,0.059867
1928-01-01,0.063844
1929-01-01,0.064706
1930-01-01,0.062493
1931-01-01,-0.019859
1932-01-01,0.147196
1933-01-01,0.130059
1934-01-01,0.045484
1935-01-01,0.040537
1936-01-01,0.052108
1937-01-01,0.063655
1938-01-01,0.048358
1939-01-01,0.035358
1940-01-01,0.049936
1941-01-01,0.045403
1942-01-01,0.041214
1943-01-01,0.042922
1950-01-01,0.040056
1951-01-01,0.048060
1952-01-01,0.057021
1953-01-01,0.025374
1954-01-01,0.050094
1955-01-01,0.066873
1956-01-01,-0.004843
1957-01-01,0.018644
1958-01-01,0.078925
1959-01-01,0.059404
1960-01-01,0.033093
1961-01-01,0.064604
1962-01-01,0.041002
1963-01-01,0.042366
1964-01-01,0.051093
1965-01-01,0.021401
1966-01-01,0.027181
1967-01-01,0.096188
1968-01-01,0.057566
1969-01-01,0.028737
1970-01-01,0.070603
1971-01-01,0.073509
1972-01-01,0.041856
1973-01-01,0.067370
1974-01-01,0.085497
1975-01-01,0.089493
1976-01-01,0.075152
1977-01-01,0.088509
1978-01-01,0.035518
1979-01-01,0.031910
1980-01-01,0.060817
1981-01-01,0.081675
1982-01-01,0.136179
1983-01-01,0.051348
1984-01-01,0.093682
1985-01-01,0.077263
1986-01-01,0.065967
1987-01-01,0.052684
1988-01-01,0.044795
1989-01-01,0.040996
1990-01-01,0.046648
1991-01-01,0.100054
1992-01-01,0.114124
1993-01-01,0.110754
1994-01-01,0.014165
1995-01-01,0.105980
1996-01-01,0.054096
1997-01-01,0.048729
1998-01-01,0.073274
1999-01-01,0.003934
2000-01-01,0.054836
2001-01-01,0.049985
2002-01-01,0.061486
2003-01-01,0.032026
2004-01-01,0.043748
2005-01-01,0.030858
2006-01-01,0.015523
2007-01-01,0.031865
2008-01-01,0.069812
2009-01-01,0.027753
2010-01-01,0.021950
2011-01-01,0.045500
2012-01-01,0.024475
2013-01-01,-0.001983
2014-01-01,0.035985
2015-01-01,0.002027
2016-01-01,0.019004
2017-01-01,0.004047
2018-01-01,0.011051
2019-01-01,0.027486
2020-01-01,0.013914
