date,value
1922-01-01,3.353191
1923-01-01,3.281846
1924-01-01,3.317519
1925-01-01,3.388863
1926-01-01,3.299683
1927-01-01,3.121321
1928-01-01,3.103485
1929-01-01,3.139157
1930-01-01,3.049977
1931-01-01,2.853779
1932-01-01,2.800271
1933-01-01,2.693254
1934-01-01,2.711091
1935-01-01,2.782435
1936-01-01,2.853779
1937-01-01,3.032141
1938-01-01,3.085649
1939-01-01,3.174830
1940-01-01,3.656405
1941-01-01,4.030964
1942-01-01,4.459030
1943-01-01,5.011950
1944-01-01,5.261656
1945-01-01,5.243820
1946-01-01,5.172475
1947-01-01,5.475689
1948-01-01,5.654051
1949-01-01,5.671887
1950-01-01,5.743231
1951-01-01,6.206970
1952-01-01,6.742054
1953-01-01,7.098776
1954-01-01,7.120180
1955-01-01,7.305675
1956-01-01,7.616024
1957-01-01,7.929940
1958-01-01,8.281311
1959-01-01,8.283095
1960-01-01,8.318767
1961-01-01,8.548853
1962-01-01,8.912710
1963-01-01,9.132094
1964-01-01,9.745657
1965-01-01,10.236150
1966-01-01,10.541148
1967-01-01,10.871116
1968-01-01,11.388364
1969-01-01,12.232012
1970-01-01,13.234402
1971-01-01,14.420504
1972-01-01,15.661898
1973-01-01,17.450861
1974-01-01,20.411658
1975-01-01,24.672707
1976-01-01,29.110334
1977-01-01,33.078871
1978-01-01,35.604466
1979-01-01,40.318553
1980-01-01,47.665252
1981-01-01,57.393072
1982-01-01,67.220776
1983-01-01,74.269611
1984-01-01,80.644241
1985-01-01,85.033710
1986-01-01,88.272750
1987-01-01,91.042700
1988-01-01,92.992188
1989-01-01,96.789498
1990-01-01,100.000000
1991-01-01,103.196233
1992-01-01,106.415653
1993-01-01,107.913887
1994-01-01,110.444833
1995-01-01,113.223701
1996-01-01,115.139300
1997-01-01,116.810545
1998-01-01,119.634003
1999-01-01,121.595976
2000-01-01,128.363001
2001-01-01,134.616345
2002-01-01,140.858988
2003-01-01,145.762137
2004-01-01,148.960154
2005-01-01,152.582670
2006-01-01,158.593443
2007-01-01,166.307566
2008-01-01,173.049620
2009-01-01,165.296258
2010-01-01,163.733814
2011-01-01,167.966325
2012-01-01,170.809403
2013-01-01,171.669104
2014-01-01,172.006207
2015-01-01,171.499661
2016-01-01,171.499661
2017-01-01,171.988229
2018-01-01,172.818795
2019-01-01,174.369999
2020-01-01,174.162358
