date,value
1945-01-01,2.230475
1946-01-01,2.841527
1947-01-01,3.706101
1948-01-01,3.870564
1949-01-01,3.204341
1950-01-01,2.995932
1951-01-01,3.174489
1952-01-01,3.241591
1953-01-01,2.946838
1954-01-01,2.837747
1955-01-01,2.720196
1956-01-01,2.660166
1957-01-01,2.543202
1958-01-01,2.546082
1959-01-01,2.696609
1960-01-01,2.951506
1961-01-01,3.470894
1962-01-01,4.007129
1963-01-01,4.718395
1964-01-01,5.367903
1965-01-01,6.089946
1966-01-01,6.321743
1967-01-01,6.569011
1968-01-01,7.382158
1969-01-01,8.201105
1970-01-01,9.633297
1971-01-01,11.027655
1972-01-01,11.515940
1973-01-01,13.721160
1974-01-01,17.481762
1975-01-01,18.622233
1976-01-01,21.717496
1977-01-01,26.981034
1978-01-01,34.107121
1979-01-01,44.507566
1980-01-01,51.059631
1981-01-01,56.995379
1982-01-01,62.838829
1983-01-01,63.025990
1984-01-01,59.436421
1985-01-01,59.019340
1986-01-01,60.907614
1987-01-01,62.036206
1988-01-01,63.566601
1989-01-01,84.162562
1990-01-01,100.000000
1991-01-01,100.095846
1992-01-01,103.721579
1993-01-01,96.211336
1994-01-01,100.923740
1995-01-01,119.747120
1996-01-01,135.987257
1997-01-01,161.031803
1998-01-01,208.485864
1999-01-01,246.202414
2000-01-01,298.270017
2001-01-01,311.981770
2002-01-01,353.178758
2003-01-01,401.121804
2004-01-01,436.210306
2005-01-01,477.017869
2006-01-01,544.800159
2007-01-01,547.341995
2008-01-01,474.052394
2009-01-01,387.629973
2010-01-01,333.404141
2011-01-01,268.163686
2012-01-01,259.690900
2013-01-01,276.636473
2014-01-01,326.202273
2015-01-01,349.502435
2016-01-01,380.851744
2017-01-01,427.028430
2018-01-01,453.717706
2019-01-01,455.412264
2020-01-01,465.579607
