date,value
1922-01-01,4.615000
1923-01-01,4.575000
1924-01-01,5.466593
1925-01-01,5.304590
1926-01-01,5.155503
1927-01-01,5.173123
1928-01-01,5.130995
1929-01-01,4.984322
1930-01-01,4.713108
1931-01-01,4.738333
1932-01-01,4.289060
1933-01-01,4.226638
1934-01-01,4.180582
1935-01-01,3.920707
1936-01-01,3.760550
1937-01-01,3.835629
1938-01-01,3.913619
1939-01-01,4.142538
1940-01-01,3.918236
1941-01-01,3.490975
1942-01-01,3.445279
1943-01-01,3.214366
1944-01-01,3.470249
1945-01-01,3.480908
1946-01-01,3.239177
1947-01-01,3.790314
1948-01-01,3.714515
1949-01-01,3.523479
1950-01-01,3.660569
1951-01-01,3.798804
1952-01-01,4.577554
1953-01-01,4.515914
1954-01-01,4.393292
1955-01-01,4.692624
1956-01-01,5.676584
1957-01-01,5.570740
1958-01-01,5.406285
1959-01-01,5.038821
1960-01-01,5.520162
1961-01-01,5.923717
1962-01-01,5.709396
1963-01-01,5.592910
1964-01-01,5.899772
1965-01-01,6.339837
1966-01-01,6.944587
1967-01-01,6.915812
1968-01-01,7.363543
1969-01-01,8.475756
1970-01-01,8.944297
1971-01-01,9.386634
1972-01-01,9.217292
1973-01-01,10.889550
1974-01-01,14.854690
1975-01-01,14.191720
1976-01-01,14.847920
1977-01-01,13.093530
1978-01-01,13.040190
1979-01-01,15.306840
1980-01-01,15.598950
1981-01-01,17.544690
1982-01-01,17.331320
1983-01-01,14.127370
1984-01-01,14.847070
1985-01-01,12.985150
1986-01-01,11.402650
1987-01-01,11.439910
1988-01-01,9.511101
1989-01-01,9.317204
1990-01-01,10.439100
1991-01-01,9.524648
1992-01-01,9.466225
1993-01-01,7.700833
1994-01-01,7.920833
1995-01-01,8.255000
1996-01-01,7.289166
1997-01-01,6.293334
1998-01-01,4.796667
1999-01-01,4.710834
2000-01-01,5.512500
2001-01-01,5.011667
2002-01-01,5.010000
2003-01-01,4.132500
2004-01-01,4.076667
2005-01-01,3.329167
2006-01-01,3.765000
2007-01-01,4.305833
2008-01-01,4.525833
2009-01-01,5.225000
2010-01-01,5.739167
2011-01-01,9.601666
2012-01-01,6.171667
2013-01-01,3.790000
2014-01-01,2.367500
2015-01-01,1.182500
2016-01-01,0.735833
2017-01-01,0.801667
2018-01-01,0.950833
2019-01-01,0.333333
2020-01-01,-0.060833
