date,value
1870-01-01,0.060000
1871-01-01,0.060000
1885-01-01,0.040000
1886-01-01,0.045000
1887-01-01,0.052500
1888-01-01,0.047500
1889-01-01,0.052500
1890-01-01,0.052500
1891-01-01,0.042500
1892-01-01,0.035000
1893-01-01,0.060000
1894-01-01,0.040000
1895-01-01,0.030000
1896-01-01,0.040000
1897-01-01,0.030000
1898-01-01,0.035000
1899-01-01,0.050000
1900-01-01,0.045000
1901-01-01,0.040000
1902-01-01,0.045000
1903-01-01,0.040000
1904-01-01,0.033750
1905-01-01,0.050000
1906-01-01,0.050000
1907-01-01,0.055000
1908-01-01,0.037500
1909-01-01,0.042500
1910-01-01,0.050000
1911-01-01,0.055000
1912-01-01,0.057500
1913-01-01,0.053750
1914-01-01,0.042500
1922-01-01,0.058000
1923-01-01,0.053800
1924-01-01,0.053500
1925-01-01,0.071500
1926-01-01,0.084400
1927-01-01,0.077200
1928-01-01,0.054600
1929-01-01,0.066900
1930-01-01,0.060000
1931-01-01,0.060000
1932-01-01,0.058800
1933-01-01,0.038800
1934-01-01,0.037500
1935-01-01,0.045000
1936-01-01,0.050000
1937-01-01,0.050400
1938-01-01,0.052500
1939-01-01,0.052600
1940-01-01,0.052600
1941-01-01,0.052600
1942-01-01,0.049200
1943-01-01,0.050300
1944-01-01,0.051000
1945-01-01,0.047100
1946-01-01,0.047100
1947-01-01,0.048600
1948-01-01,0.052600
1949-01-01,0.048600
1950-01-01,0.047100
1951-01-01,0.047100
1952-01-01,0.043600
1953-01-01,0.041700
1954-01-01,0.041700
1955-01-01,0.041700
1956-01-01,0.041700
1957-01-01,0.041700
1958-01-01,0.038600
1959-01-01,0.036300
1960-01-01,0.036300
1961-01-01,0.036300
1962-01-01,0.034700
1963-01-01,0.035900
1964-01-01,0.036300
1965-01-01,0.036300
1966-01-01,0.035800
1967-01-01,0.035800
1968-01-01,0.035600
1969-01-01,0.050000
1970-01-01,0.073800
1971-01-01,0.057583
1972-01-01,0.051750
1973-01-01,0.069250
1974-01-01,0.145700
1975-01-01,0.106350
1976-01-01,0.156767
1977-01-01,0.140350
1978-01-01,0.119892
1979-01-01,0.125117
1980-01-01,0.159150
1981-01-01,0.197025
1982-01-01,0.194377
1983-01-01,0.178948
1984-01-01,0.153673
1985-01-01,0.137117
1986-01-01,0.114042
1987-01-01,0.107294
1988-01-01,0.111864
1989-01-01,0.125796
1990-01-01,0.123786
1991-01-01,0.125366
1992-01-01,0.143179
1993-01-01,0.105806
1994-01-01,0.091651
1995-01-01,0.108496
1996-01-01,0.084625
1997-01-01,0.063333
1998-01-01,0.045922
1999-01-01,0.030064
2000-01-01,0.045279
2001-01-01,0.040516
2002-01-01,0.032643
2003-01-01,0.021880
2004-01-01,0.020795
2005-01-01,0.021724
2006-01-01,0.031827
2007-01-01,0.040357
2008-01-01,0.037577
2009-01-01,0.009550
2010-01-01,0.011333
2011-01-01,0.027858
2012-01-01,0.018950
2013-01-01,0.008553
2014-01-01,0.004241
2015-01-01,0.000487
2016-01-01,-0.001700
2017-01-01,-0.003400
2018-01-01,0.001200
2019-01-01,-0.000600
2020-01-01,-0.002000
