date,value
1928-01-01,0.053147
1929-01-01,-0.002215
1930-01-01,0.001306
1931-01-01,-0.015184
1932-01-01,-0.011578
1933-01-01,0.050254
1934-01-01,0.112977
1935-01-01,0.000574
1936-01-01,0.051705
1937-01-01,0.049952
1938-01-01,0.040203
1946-01-01,0.585967
1947-01-01,0.405541
1948-01-01,0.190632
1949-01-01,0.001099
1950-01-01,0.033992
1951-01-01,0.184554
1952-01-01,0.065266
1953-01-01,0.040757
1954-01-01,0.090709
1955-01-01,0.056034
1956-01-01,0.060852
1957-01-01,0.063012
1958-01-01,0.076684
1959-01-01,0.122110
1960-01-01,0.102548
1961-01-01,0.089915
1962-01-01,0.090716
1963-01-01,0.104471
1964-01-01,0.118370
1965-01-01,0.075178
1966-01-01,0.054723
1967-01-01,0.063259
1968-01-01,0.113557
1969-01-01,0.084464
1970-01-01,0.078734
1971-01-01,0.070870
1972-01-01,0.120791
1973-01-01,0.125070
1974-01-01,0.703417
1975-01-01,0.069763
1976-01-01,0.232658
1977-01-01,0.096562
1978-01-01,0.141485
1979-01-01,0.226504
1980-01-01,0.356633
1981-01-01,0.268324
1982-01-01,0.153297
1983-01-01,0.132632
1984-01-01,0.101358
1985-01-01,0.136513
1986-01-01,0.153338
1987-01-01,0.081702
1988-01-01,0.160853
1989-01-01,0.187143
1990-01-01,0.192104
1991-01-01,0.164787
1992-01-01,0.158636
1993-01-01,0.134480
1994-01-01,0.012812
1995-01-01,0.086386
1996-01-01,0.115465
1997-01-01,0.127173
1998-01-01,0.109922
1999-01-01,0.061971
2000-01-01,0.081251
2001-01-01,0.051664
2002-01-01,0.099108
2003-01-01,0.089817
2004-01-01,0.110882
2005-01-01,0.101980
2006-01-01,0.087670
2007-01-01,0.053849
2008-01-01,0.020897
2009-01-01,0.044272
2010-01-01,0.012840
2011-01-01,0.012484
2012-01-01,0.034324
2013-01-01,0.012093
2014-01-01,0.025975
2015-01-01,0.027151
2016-01-01,0.020988
2017-01-01,0.038158
2018-01-01,0.009559
2019-01-01,0.096876
2020-01-01,0.052477
