date,value
1870-01-01,0.021625
1871-01-01,0.022397
1872-01-01,0.025229
1873-01-01,0.026773
1874-01-01,0.027417
1875-01-01,0.023427
1876-01-01,0.024843
1877-01-01,0.025744
1878-01-01,0.024971
1879-01-01,0.024585
1880-01-01,0.025486
1881-01-01,0.023839
1882-01-01,0.023272
1883-01-01,0.022526
1884-01-01,0.022088
1885-01-01,0.022577
1886-01-01,0.022551
1887-01-01,0.022500
1888-01-01,0.022783
1889-01-01,0.023169
1890-01-01,0.023993
1891-01-01,0.023916
1892-01-01,0.023710
1893-01-01,0.023195
1894-01-01,0.023092
1895-01-01,0.022963
1896-01-01,0.022860
1897-01-01,0.022809
1898-01-01,0.022963
1899-01-01,0.022603
1900-01-01,0.022706
1901-01-01,0.022732
1902-01-01,0.022577
1903-01-01,0.023246
1904-01-01,0.023530
1905-01-01,0.023555
1906-01-01,0.023993
1907-01-01,0.025126
1908-01-01,0.024868
1909-01-01,0.024173
1910-01-01,0.024843
1911-01-01,0.025460
1912-01-01,0.025692
1913-01-01,0.025744
1914-01-01,0.025744
1915-01-01,0.027546
1916-01-01,0.034471
1917-01-01,0.048758
1918-01-01,0.067989
1919-01-01,0.069018
1920-01-01,0.090695
1921-01-01,0.107299
1922-01-01,0.106656
1923-01-01,0.106038
1924-01-01,0.109771
1925-01-01,0.123312
1926-01-01,0.133017
1927-01-01,0.121613
1928-01-01,0.112705
1929-01-01,0.114507
1930-01-01,0.110878
1931-01-01,0.100168
1932-01-01,0.097542
1933-01-01,0.091776
1934-01-01,0.087039
1935-01-01,0.088275
1936-01-01,0.094942
1937-01-01,0.103927
1938-01-01,0.111907
1939-01-01,0.116850
1940-01-01,0.136364
1941-01-01,0.157782
1942-01-01,0.182367
1943-01-01,0.305834
1944-01-01,1.359107
1945-01-01,2.676817
1946-01-01,3.159149
1947-01-01,5.119755
1948-01-01,5.420800
1949-01-01,5.458560
1950-01-01,5.420800
1951-01-01,6.195200
1952-01-01,6.310400
1953-01-01,6.400000
1954-01-01,6.600000
1955-01-01,6.800000
1956-01-01,7.000000
1957-01-01,7.100000
1958-01-01,7.300000
1959-01-01,7.300000
1960-01-01,7.400000
1961-01-01,7.600000
1962-01-01,7.900000
1963-01-01,8.500000
1964-01-01,9.000000
1965-01-01,9.400000
1966-01-01,9.700000
1967-01-01,10.000000
1968-01-01,10.200000
1969-01-01,10.400000
1970-01-01,10.900000
1971-01-01,11.500000
1972-01-01,12.100000
1973-01-01,13.400000
1974-01-01,16.000000
1975-01-01,18.700000
1976-01-01,21.800000
1977-01-01,25.600000
1978-01-01,28.700000
1979-01-01,32.900000
1980-01-01,39.900000
1981-01-01,47.000000
1982-01-01,54.700000
1983-01-01,62.700000
1984-01-01,69.500000
1985-01-01,75.900000
1986-01-01,80.300000
1987-01-01,84.100000
1988-01-01,88.400000
1989-01-01,93.900000
1990-01-01,100.000000
1991-01-01,106.300000
1992-01-01,111.700000
1993-01-01,116.700000
1994-01-01,121.400000
1995-01-01,127.766700
1996-01-01,132.825000
1997-01-01,135.280125
1998-01-01,138.028082
1999-01-01,140.306733
2000-01-01,143.927364
2001-01-01,147.272618
2002-01-01,151.118205
2003-01-01,155.369102
2004-01-01,158.875316
2005-01-01,162.381530
2006-01-01,166.002161
2007-01-01,169.362929
2008-01-01,175.277726
2009-01-01,176.619706
2010-01-01,179.480140
2011-01-01,184.749157
2012-01-01,190.873396
2013-01-01,193.249011
2014-01-01,193.700863
2015-01-01,193.912244
2016-01-01,193.815280
2017-01-01,196.384823
2018-01-01,198.824434
2019-01-01,200.084964
2020-01-01,199.794073
