date,value
1870-01-01,0.158635
1871-01-01,0.791304
1872-01-01,0.299077
1873-01-01,-0.182556
1874-01-01,-0.125787
1875-01-01,0.132253
1876-01-01,0.038082
1877-01-01,0.102929
1878-01-01,0.085200
1879-01-01,0.235317
1880-01-01,0.009200
1881-01-01,0.127107
1882-01-01,-0.045723
1883-01-01,0.074386
1884-01-01,0.083466
1885-01-01,0.108352
1886-01-01,0.084814
1887-01-01,0.036445
1888-01-01,0.035800
1889-01-01,0.014500
1890-01-01,-0.033300
1891-01-01,-0.144000
1892-01-01,-0.026000
1893-01-01,0.045100
1894-01-01,-0.053900
1895-01-01,0.158800
1896-01-01,-0.019600
1897-01-01,0.018400
1898-01-01,0.195800
1899-01-01,0.226300
1900-01-01,0.047900
1901-01-01,0.039800
1902-01-01,-0.016400
1903-01-01,0.165200
1904-01-01,0.113600
1905-01-01,0.134900
1906-01-01,0.055700
1907-01-01,0.059100
1908-01-01,-0.033500
1909-01-01,-0.001800
1910-01-01,0.037900
1911-01-01,0.000600
1912-01-01,-0.001400
1913-01-01,-0.048776
1914-01-01,-0.160706
1915-01-01,0.218269
1916-01-01,0.161232
1917-01-01,0.216307
1918-01-01,0.209156
1919-01-01,0.015670
1920-01-01,-0.181424
1921-01-01,-0.117198
1922-01-01,0.277865
1923-01-01,0.376917
1924-01-01,0.776100
1925-01-01,-0.050365
1926-01-01,-0.390389
1927-01-01,0.323276
1928-01-01,0.235787
1929-01-01,-0.110791
1930-01-01,-0.143424
1931-01-01,-0.273172
1932-01-01,-0.015622
1933-01-01,0.351105
1934-01-01,0.184346
1935-01-01,0.118633
1936-01-01,0.357343
1937-01-01,0.121903
1938-01-01,-0.016216
1939-01-01,0.416319
1940-01-01,0.180241
1941-01-01,0.289546
1942-01-01,0.195425
1943-01-01,1.019163
1944-01-01,1.515276
1945-01-01,-0.465994
1946-01-01,1.601968
1947-01-01,-0.262687
1948-01-01,0.275057
1949-01-01,0.101027
1950-01-01,0.097951
1951-01-01,0.136680
1952-01-01,0.418801
1953-01-01,0.081796
1954-01-01,0.349357
1955-01-01,0.074802
1956-01-01,0.046029
1957-01-01,0.036572
1958-01-01,0.292067
1959-01-01,0.604003
1960-01-01,0.230276
1961-01-01,0.053755
1962-01-01,-0.137827
1963-01-01,-0.112734
1964-01-01,-0.222664
1965-01-01,0.253526
1966-01-01,0.009049
1967-01-01,0.046925
1968-01-01,0.055100
1969-01-01,0.188744
1970-01-01,-0.166293
1971-01-01,-0.132082
1972-01-01,0.136765
1973-01-01,0.197229
1974-01-01,-0.278070
1975-01-01,-0.019698
1976-01-01,-0.075364
1977-01-01,-0.251688
1978-01-01,0.316068
1979-01-01,0.099377
1980-01-01,0.838468
1981-01-01,0.082849
1982-01-01,-0.087821
1983-01-01,0.325570
1984-01-01,0.201270
1985-01-01,0.999383
1986-01-01,0.733188
1987-01-01,-0.284993
1988-01-01,0.279840
1989-01-01,0.125053
1990-01-01,-0.280070
1991-01-01,0.049912
1992-01-01,-0.018593
1993-01-01,0.513991
1994-01-01,0.094710
1995-01-01,-0.002818
1996-01-01,0.079130
1997-01-01,0.597172
1998-01-01,0.451855
1999-01-01,0.230546
2000-01-01,0.088582
2001-01-01,-0.221753
2002-01-01,-0.185658
2003-01-01,0.172159
2004-01-01,0.263789
2005-01-01,0.208972
2006-01-01,0.222323
2007-01-01,-0.041955
2008-01-01,-0.468401
2009-01-01,0.225650
2010-01-01,-0.074591
2011-01-01,-0.213187
2012-01-01,0.130679
2013-01-01,0.228430
2014-01-01,0.034662
2015-01-01,0.175945
2016-01-01,-0.046300
2017-01-01,0.179900
2018-01-01,-0.124200
2019-01-01,0.281700
2020-01-01,-0.041800
