date,value
1928-01-01,-0.015145
1929-01-01,-0.035763
1930-01-01,-0.068937
1931-01-01,-0.096846
1932-01-01,-0.094946
1933-01-01,-0.048654
1934-01-01,-0.052278
1935-01-01,0.024595
1936-01-01,0.024205
1937-01-01,0.039452
1938-01-01,0.038256
1946-01-01,0.614544
1947-01-01,0.502157
1948-01-01,0.205762
1949-01-01,-0.022370
1950-01-01,0.029741
1951-01-01,0.212283
1952-01-01,0.047533
1953-01-01,0.038883
1954-01-01,0.075712
1955-01-01,0.057340
1956-01-01,0.067122
1957-01-01,0.067326
1958-01-01,0.050074
1959-01-01,0.047015
1960-01-01,0.083831
1961-01-01,0.106087
1962-01-01,0.139205
1963-01-01,0.154823
1964-01-01,0.175310
1965-01-01,0.055619
1966-01-01,0.069061
1967-01-01,0.072427
1968-01-01,0.145791
1969-01-01,0.090404
1970-01-01,0.116041
1971-01-01,0.083471
1972-01-01,0.146956
1973-01-01,0.148069
1974-01-01,0.955940
1975-01-01,0.057881
1976-01-01,0.294079
1977-01-01,0.101393
1978-01-01,0.140794
1979-01-01,0.275022
1980-01-01,0.408403
1981-01-01,0.323476
1982-01-01,0.160396
1983-01-01,0.108404
1984-01-01,0.047322
1985-01-01,0.056851
1986-01-01,0.068591
1987-01-01,0.102639
1988-01-01,0.181965
1989-01-01,0.229763
1990-01-01,0.246978
1991-01-01,0.180518
1992-01-01,0.183032
1993-01-01,0.060819
1994-01-01,0.017358
1995-01-01,0.055031
1996-01-01,0.075784
1997-01-01,0.065924
1998-01-01,0.042361
1999-01-01,0.054359
2000-01-01,0.088393
2001-01-01,0.108198
2002-01-01,0.151177
2003-01-01,0.099784
2004-01-01,0.105006
2005-01-01,0.105364
2006-01-01,0.090107
2007-01-01,0.076911
2008-01-01,0.046932
2009-01-01,0.024713
2010-01-01,0.024343
2011-01-01,0.039218
2012-01-01,-0.010821
2013-01-01,-0.021375
2014-01-01,-0.005445
2015-01-01,0.013637
2016-01-01,0.043368
2017-01-01,0.030124
2018-01-01,0.035909
2019-01-01,0.040796
2020-01-01,0.060965
