date,value
1970-01-01,5.436866
1971-01-01,5.757534
1972-01-01,5.907966
1973-01-01,6.823067
1974-01-01,12.639659
1975-01-01,12.579388
1976-01-01,16.679620
1977-01-01,18.206811
1978-01-01,22.150923
1979-01-01,25.200538
1980-01-01,36.178113
1981-01-01,42.848890
1982-01-01,50.808452
1983-01-01,50.550903
1984-01-01,49.758175
1985-01-01,49.118529
1986-01-01,51.058852
1987-01-01,56.215248
1988-01-01,62.589648
1989-01-01,83.479601
1990-01-01,100.000000
1991-01-01,108.978517
1992-01-01,113.660555
1993-01-01,111.276279
1994-01-01,109.517393
1995-01-01,109.852734
1996-01-01,103.953120
1997-01-01,102.180909
1998-01-01,105.269927
1999-01-01,112.658310
2000-01-01,122.287658
2001-01-01,132.790708
2002-01-01,145.668648
2003-01-01,161.267346
2004-01-01,175.931753
2005-01-01,188.137836
2006-01-01,199.389168
2007-01-01,208.760040
2008-01-01,206.258505
2009-01-01,199.262255
2010-01-01,199.768765
2011-01-01,200.491478
2012-01-01,190.222428
2013-01-01,179.344250
2014-01-01,170.960605
2015-01-01,164.385197
2016-01-01,164.878353
2017-01-01,163.070116
2018-01-01,162.165769
2019-01-01,162.001343
2020-01-01,165.084342
