date,value
1870-01-01,9.066591
1871-01-01,8.632758
1872-01-01,7.466775
1873-01-01,8.088533
1874-01-01,7.721492
1875-01-01,7.016125
1876-01-01,6.982392
1877-01-01,7.180208
1878-01-01,6.822142
1879-01-01,6.470050
1880-01-01,6.044558
1881-01-01,5.500975
1882-01-01,5.659192
1883-01-01,5.440892
1884-01-01,5.039650
1885-01-01,5.047650
1886-01-01,4.866658
1887-01-01,4.845592
1888-01-01,4.854000
1889-01-01,5.078942
1890-01-01,5.116375
1891-01-01,5.282267
1892-01-01,5.327825
1893-01-01,5.456083
1894-01-01,6.079567
1895-01-01,5.297083
1896-01-01,5.298300
1897-01-01,4.896133
1898-01-01,4.823400
1899-01-01,4.871575
1900-01-01,5.051108
1901-01-01,4.888842
1902-01-01,4.687867
1903-01-01,4.805775
1904-01-01,4.883792
1905-01-01,4.874800
1906-01-01,4.925200
1907-01-01,4.951575
1908-01-01,4.952600
1909-01-01,4.960992
1910-01-01,4.994992
1911-01-01,5.020930
1912-01-01,5.023880
1913-01-01,5.054413
1914-01-01,3.825000
1915-01-01,5.224000
1916-01-01,5.600000
1917-01-01,6.306000
1918-01-01,4.930000
1919-01-01,5.330000
1920-01-01,6.380000
1921-01-01,6.620000
1922-01-01,6.370000
1923-01-01,6.470000
1924-01-01,5.270000
1925-01-01,5.490000
1926-01-01,5.830000
1927-01-01,6.490000
1928-01-01,6.190000
1929-01-01,6.500000
1930-01-01,6.430000
1931-01-01,6.590000
1932-01-01,6.280000
1933-01-01,6.080000
1934-01-01,5.680000
1935-01-01,5.770000
1936-01-01,5.900000
1937-01-01,5.750000
1938-01-01,5.450000
1939-01-01,5.740000
1940-01-01,5.660000
1941-01-01,5.610000
1942-01-01,5.670000
1943-01-01,8.220000
1944-01-01,6.590000
1945-01-01,5.950000
1946-01-01,4.205000
1947-01-01,4.667000
1948-01-01,6.560000
1949-01-01,5.650000
1950-01-01,5.730000
1951-01-01,6.110000
1952-01-01,5.900000
1953-01-01,6.060000
1954-01-01,6.060000
1955-01-01,6.200000
1956-01-01,6.740000
1957-01-01,6.815000
1958-01-01,6.818330
1959-01-01,5.563330
1960-01-01,5.005000
1961-01-01,5.185000
1962-01-01,5.781670
1963-01-01,6.098330
1964-01-01,7.407500
1965-01-01,6.935830
1966-01-01,6.539170
1967-01-01,6.613330
1968-01-01,6.695000
1969-01-01,6.854170
1970-01-01,9.010000
1971-01-01,8.344170
1972-01-01,7.470830
1973-01-01,7.420000
1974-01-01,9.870830
1975-01-01,11.537500
1976-01-01,13.078300
1977-01-01,14.616700
1978-01-01,13.695800
1979-01-01,14.054200
1980-01-01,15.252500
1981-01-01,19.357500
1982-01-01,20.215000
1983-01-01,18.299200
1984-01-01,15.599200
1985-01-01,13.712500
1986-01-01,11.468300
1987-01-01,10.641700
1988-01-01,10.895800
1989-01-01,12.785800
1990-01-01,13.535800
1991-01-01,13.282500
1992-01-01,13.267500
1993-01-01,11.186700
1994-01-01,10.520000
1995-01-01,12.205000
1996-01-01,9.400830
1997-01-01,6.862500
1998-01-01,4.884170
1999-01-01,4.727500
2000-01-01,5.575830
2001-01-01,5.189170
2002-01-01,5.035830
2003-01-01,4.248330
2004-01-01,4.258330
2005-01-01,3.555830
2006-01-01,4.047500
2007-01-01,4.487320
2008-01-01,4.681150
2009-01-01,4.313330
2010-01-01,4.035830
2011-01-01,5.424170
2012-01-01,5.492500
2013-01-01,4.316670
2014-01-01,2.892500
2015-01-01,1.714167
2016-01-01,1.487500
2017-01-01,2.111667
2018-01-01,2.610000
2019-01-01,1.950333
2020-01-01,1.167917
