date,value
1928-01-01,0.021895
1929-01-01,-0.046281
1930-01-01,-0.078423
1931-01-01,-0.115680
1932-01-01,-0.086739
1933-01-01,0.009961
1934-01-01,-0.014072
1935-01-01,0.039269
1936-01-01,0.085721
1937-01-01,0.054078
1938-01-01,0.029017
1946-01-01,0.711815
1947-01-01,0.466420
1948-01-01,0.209515
1949-01-01,-0.016700
1950-01-01,0.033188
1951-01-01,0.208663
1952-01-01,0.065353
1953-01-01,0.041677
1954-01-01,0.098194
1955-01-01,0.058800
1956-01-01,0.065372
1957-01-01,0.064585
1958-01-01,0.075671
1959-01-01,0.133472
1960-01-01,0.111258
1961-01-01,0.096471
1962-01-01,0.097438
1963-01-01,0.118600
1964-01-01,0.132796
1965-01-01,0.081114
1966-01-01,0.060733
1967-01-01,0.069438
1968-01-01,0.135790
1969-01-01,0.101659
1970-01-01,0.087658
1971-01-01,0.065039
1972-01-01,0.146184
1973-01-01,0.152937
1974-01-01,0.898981
1975-01-01,0.055221
1976-01-01,0.284871
1977-01-01,0.094690
1978-01-01,0.145428
1979-01-01,0.269783
1980-01-01,0.428066
1981-01-01,0.312749
1982-01-01,0.152211
1983-01-01,0.116132
1984-01-01,0.054330
1985-01-01,0.133087
1986-01-01,0.156778
1987-01-01,0.064828
1988-01-01,0.192127
1989-01-01,0.219677
1990-01-01,0.215430
1991-01-01,0.173271
1992-01-01,0.174217
1993-01-01,0.086202
1994-01-01,0.022739
1995-01-01,0.050810
1996-01-01,0.076054
1997-01-01,0.126396
1998-01-01,0.109314
1999-01-01,0.093890
2000-01-01,0.088437
2001-01-01,0.051206
2002-01-01,0.108137
2003-01-01,0.108788
2004-01-01,0.126607
2005-01-01,0.120327
2006-01-01,0.110126
2007-01-01,0.060828
2008-01-01,0.009932
2009-01-01,0.041794
2010-01-01,0.016546
2011-01-01,0.023541
2012-01-01,-0.000974
2013-01-01,-0.001280
2014-01-01,-0.002203
2015-01-01,0.028619
2016-01-01,0.030519
2017-01-01,0.054674
2018-01-01,0.013438
2019-01-01,0.079453
2020-01-01,0.045470
