date,value
1870-01-01,0.069871
1871-01-01,0.140554
1885-01-01,0.049858
1886-01-01,0.062344
1887-01-01,0.042988
1888-01-01,0.039738
1889-01-01,0.041557
1890-01-01,0.048372
1891-01-01,0.031936
1892-01-01,0.047706
1893-01-01,0.055681
1894-01-01,0.007842
1895-01-01,0.115383
1896-01-01,0.041950
1897-01-01,0.058311
1898-01-01,0.050749
1899-01-01,0.051680
1900-01-01,0.039176
1901-01-01,0.047850
1902-01-01,0.054081
1903-01-01,0.035943
1904-01-01,0.037987
1905-01-01,0.055112
1906-01-01,0.054930
1907-01-01,0.055884
1908-01-01,0.042826
1909-01-01,0.043760
1910-01-01,0.043300
1911-01-01,0.039088
1912-01-01,0.056915
1913-01-01,0.047834
1914-01-01,0.027300
1922-01-01,0.080588
1923-01-01,0.050912
1924-01-01,0.171568
1925-01-01,0.041476
1926-01-01,0.039338
1927-01-01,0.016019
1928-01-01,0.083048
1929-01-01,0.039354
1930-01-01,0.066676
1931-01-01,0.067997
1932-01-01,0.064352
1933-01-01,0.088636
1934-01-01,0.230881
1935-01-01,-0.038658
1936-01-01,0.017552
1937-01-01,0.045021
1938-01-01,0.053741
1939-01-01,0.027500
1940-01-01,0.062376
1941-01-01,0.058754
1942-01-01,0.047501
1943-01-01,-0.101547
1944-01-01,0.190280
1945-01-01,0.110309
1946-01-01,0.062034
1947-01-01,0.008486
1948-01-01,0.074959
1949-01-01,0.103345
1950-01-01,0.038929
1951-01-01,0.029171
1952-01-01,0.064746
1953-01-01,0.035366
1954-01-01,0.048712
1955-01-01,0.040683
1956-01-01,0.035406
1957-01-01,0.054053
1958-01-01,0.082496
1959-01-01,0.056492
1960-01-01,0.048619
1961-01-01,0.047963
1962-01-01,0.048686
1963-01-01,0.013430
1964-01-01,0.045554
1965-01-01,0.052776
1966-01-01,0.034687
1967-01-01,0.042834
1968-01-01,0.041967
1969-01-01,0.028934
1970-01-01,0.050944
1971-01-01,0.086946
1972-01-01,0.054435
1973-01-01,0.055434
1974-01-01,0.024131
1975-01-01,0.111365
1976-01-01,0.075152
1977-01-01,0.101779
1978-01-01,0.131381
1979-01-01,0.107518
1980-01-01,0.119755
1981-01-01,0.113105
1982-01-01,0.156762
1983-01-01,0.178598
1984-01-01,0.212181
1985-01-01,0.143591
1986-01-01,0.146335
1987-01-01,0.112352
1988-01-01,0.102021
1989-01-01,0.117723
1990-01-01,0.135123
1991-01-01,0.144016
1992-01-01,0.117059
1993-01-01,0.253918
1994-01-01,-0.008711
1995-01-01,0.161630
1996-01-01,0.199701
1997-01-01,0.128967
1998-01-01,0.111414
1999-01-01,-0.018649
2000-01-01,0.061347
2001-01-01,0.052860
2002-01-01,0.074648
2003-01-01,0.034676
2004-01-01,0.062857
2005-01-01,0.043304
2006-01-01,0.012342
2007-01-01,0.029439
2008-01-01,0.056182
2009-01-01,0.052020
2010-01-01,0.002052
2011-01-01,-0.018502
2012-01-01,0.132202
2013-01-01,0.048526
2014-01-01,0.100082
2015-01-01,0.023246
2016-01-01,0.007313
2017-01-01,0.014066
2018-01-01,0.004063
2019-01-01,0.121826
2020-01-01,0.061801
