date,value
1876-01-01,0.066000
1877-01-01,0.060000
1878-01-01,0.057600
1879-01-01,0.048000
1880-01-01,0.064000
1881-01-01,0.058000
1882-01-01,0.064000
1883-01-01,0.056000
1884-01-01,0.050000
1885-01-01,0.054000
1886-01-01,0.048000
1887-01-01,0.037600
1888-01-01,0.036400
1889-01-01,0.038480
1890-01-01,0.041600
1891-01-01,0.040480
1892-01-01,0.036000
1893-01-01,0.033520
1894-01-01,0.041600
1895-01-01,0.043680
1896-01-01,0.044880
1897-01-01,0.050000
1898-01-01,0.056800
1899-01-01,0.048400
1900-01-01,0.059200
1901-01-01,0.059200
1902-01-01,0.052000
1903-01-01,0.043760
1904-01-01,0.043440
1905-01-01,0.047040
1906-01-01,0.044080
1907-01-01,0.043680
1908-01-01,0.049600
1909-01-01,0.041760
1910-01-01,0.034320
1911-01-01,0.036080
1912-01-01,0.048240
1913-01-01,0.048800
1914-01-01,0.048960
1915-01-01,0.034720
1916-01-01,0.033600
1917-01-01,0.040240
1918-01-01,0.043920
1919-01-01,0.045440
1920-01-01,0.052720
1921-01-01,0.045200
1922-01-01,0.050720
1923-01-01,0.051040
1924-01-01,0.050320
1925-01-01,0.050880
1926-01-01,0.050960
1927-01-01,0.044960
1928-01-01,0.044640
1929-01-01,0.038720
1930-01-01,0.038720
1931-01-01,0.039360
1932-01-01,0.036080
1933-01-01,0.032160
1934-01-01,0.030960
1935-01-01,0.030960
1936-01-01,0.027520
1937-01-01,0.027280
1938-01-01,0.027280
1939-01-01,0.027200
1940-01-01,0.026800
1941-01-01,0.026800
1942-01-01,0.026800
1943-01-01,0.026800
1944-01-01,0.026400
1945-01-01,0.026400
1946-01-01,0.026400
1947-01-01,0.028000
1948-01-01,0.033600
1949-01-01,0.035200
1950-01-01,0.035200
1951-01-01,0.040000
1952-01-01,0.040000
1953-01-01,0.040000
1954-01-01,0.040000
1955-01-01,0.040000
1956-01-01,0.040000
1957-01-01,0.117742
1958-01-01,0.096883
1959-01-01,0.083533
1960-01-01,0.084000
1961-01-01,0.082908
1962-01-01,0.088375
1963-01-01,0.075442
1964-01-01,0.100242
1965-01-01,0.069675
1966-01-01,0.058400
1967-01-01,0.063900
1968-01-01,0.078800
1969-01-01,0.077000
1970-01-01,0.082842
1971-01-01,0.064142
1972-01-01,0.047228
1973-01-01,0.071608
1974-01-01,0.125391
1975-01-01,0.106713
1976-01-01,0.069770
1977-01-01,0.056798
1978-01-01,0.043570
1979-01-01,0.058572
1980-01-01,0.109298
1981-01-01,0.074341
1982-01-01,0.069353
1983-01-01,0.063923
1984-01-01,0.061000
1985-01-01,0.073148
1986-01-01,0.049613
1987-01-01,0.036688
1988-01-01,0.038348
1989-01-01,0.051171
1990-01-01,0.073979
1991-01-01,0.075253
1992-01-01,0.046598
1993-01-01,0.030593
1994-01-01,0.021957
1995-01-01,0.012135
1996-01-01,0.004698
1997-01-01,0.004840
1998-01-01,0.003715
1999-01-01,0.000586
2000-01-01,0.001084
2001-01-01,0.000580
2002-01-01,0.000109
2003-01-01,0.000014
2004-01-01,0.000009
2005-01-01,0.000012
2006-01-01,0.001245
2007-01-01,0.004727
2008-01-01,0.004614
2009-01-01,0.001052
2010-01-01,0.000935
2011-01-01,0.000777
2012-01-01,0.000826
2013-01-01,0.000750
2014-01-01,0.000679
2015-01-01,0.000728
2016-01-01,-0.000580
2017-01-01,-0.000620
2018-01-01,-0.000550
2019-01-01,-0.000680
2020-01-01,-0.000330
