date,value
1881-01-01,0.305966
1882-01-01,0.065880
1883-01-01,0.313821
1884-01-01,0.077887
1885-01-01,0.090439
1886-01-01,0.182888
1887-01-01,0.058923
1888-01-01,0.031313
1889-01-01,0.071014
1890-01-01,0.033633
1891-01-01,0.165637
1892-01-01,0.063906
1893-01-01,0.090189
1894-01-01,-0.065036
1895-01-01,0.057914
1896-01-01,0.033600
1897-01-01,0.028323
1898-01-01,0.056763
1899-01-01,0.056014
1900-01-01,0.012380
1901-01-01,0.003706
1902-01-01,0.103295
1903-01-01,0.065060
1904-01-01,-0.016033
1905-01-01,0.110594
1906-01-01,0.065172
1907-01-01,0.010245
1908-01-01,0.064768
1909-01-01,0.155649
1910-01-01,0.092900
1911-01-01,-0.037351
1912-01-01,-0.009020
1913-01-01,0.033752
1914-01-01,0.008719
1915-01-01,0.141002
1916-01-01,0.052729
1917-01-01,0.045220
1918-01-01,0.021139
1919-01-01,0.023707
1920-01-01,0.013159
1921-01-01,0.083253
1922-01-01,0.059547
1923-01-01,0.069164
1924-01-01,0.065219
1925-01-01,0.077953
1926-01-01,0.063501
1927-01-01,0.106812
1928-01-01,0.067999
1929-01-01,0.039014
1930-01-01,0.053372
1931-01-01,0.007343
1932-01-01,0.182544
1933-01-01,0.097576
1934-01-01,0.043421
1935-01-01,0.059840
1936-01-01,0.029045
1937-01-01,0.047030
1938-01-01,0.053559
1939-01-01,0.043386
1940-01-01,0.029784
1941-01-01,0.038300
1942-01-01,0.037800
1943-01-01,0.037700
1944-01-01,0.037600
1945-01-01,0.037600
1946-01-01,0.037000
1947-01-01,0.037000
1948-01-01,0.045000
1949-01-01,0.055200
1950-01-01,0.055000
1951-01-01,0.055000
1952-01-01,0.055000
1953-01-01,0.055000
1954-01-01,0.063200
1955-01-01,0.063200
1956-01-01,0.063400
1957-01-01,0.063200
1958-01-01,0.063200
1959-01-01,0.063200
1960-01-01,0.064300
1961-01-01,0.064300
1962-01-01,0.064300
1963-01-01,0.064300
1964-01-01,0.068920
1965-01-01,0.073540
1966-01-01,0.071021
1967-01-01,0.063718
1968-01-01,0.065820
1969-01-01,0.066240
1970-01-01,0.066510
1971-01-01,0.067600
1972-01-01,0.087580
1973-01-01,-0.001895
1974-01-01,0.056519
1975-01-01,0.079958
1976-01-01,0.081222
1977-01-01,0.216409
1978-01-01,0.073601
1979-01-01,-0.059665
1980-01-01,0.066298
1981-01-01,0.139202
1982-01-01,0.102312
1983-01-01,0.111957
1984-01-01,0.130005
1985-01-01,0.118590
1986-01-01,0.060919
1987-01-01,0.045965
1988-01-01,0.049065
1989-01-01,-0.008510
1990-01-01,-0.017408
1991-01-01,0.161071
1992-01-01,0.115334
1993-01-01,0.150031
1994-01-01,-0.062245
1995-01-01,0.157742
1996-01-01,0.071756
1997-01-01,0.107799
1998-01-01,0.024724
1999-01-01,0.045104
2000-01-01,0.014769
2001-01-01,0.055420
2002-01-01,0.067754
2003-01-01,-0.027012
2004-01-01,0.017643
2005-01-01,0.019996
2006-01-01,0.004491
2007-01-01,0.038805
2008-01-01,0.054805
2009-01-01,0.009678
2010-01-01,0.039183
2011-01-01,0.034296
2012-01-01,0.036148
2013-01-01,0.016944
2014-01-01,0.053687
2015-01-01,0.017814
2016-01-01,0.162673
2017-01-01,-0.000890
2018-01-01,0.033489
2019-01-01,0.046603
2020-01-01,0.004445
