date,value
1931-01-01,0.022375
1932-01-01,0.091835
1933-01-01,0.107035
1934-01-01,0.081037
1935-01-01,0.087846
1936-01-01,0.088538
1937-01-01,0.068281
1938-01-01,0.080093
1939-01-01,0.086955
1940-01-01,0.062948
1941-01-01,0.104725
1942-01-01,0.083054
1943-01-01,0.127464
1944-01-01,0.065721
1960-01-01,0.297090
1961-01-01,0.331275
1962-01-01,0.179863
1963-01-01,0.165601
1964-01-01,0.108798
1965-01-01,0.144290
1966-01-01,0.143559
1967-01-01,0.139140
1968-01-01,0.199657
1969-01-01,0.259632
1970-01-01,0.234334
1971-01-01,0.198807
1972-01-01,0.297043
1973-01-01,0.306440
1974-01-01,0.225075
1975-01-01,0.011764
1976-01-01,0.071010
1977-01-01,0.092299
1978-01-01,0.092226
1979-01-01,0.091997
1980-01-01,0.140635
1981-01-01,0.152182
1982-01-01,0.103838
1983-01-01,0.110570
1984-01-01,0.110221
1985-01-01,0.097353
1986-01-01,0.119376
1987-01-01,0.169417
1988-01-01,0.100311
1989-01-01,0.115016
1990-01-01,0.080463
1991-01-01,0.071976
1992-01-01,-0.024363
1993-01-01,0.026496
1994-01-01,0.008067
1995-01-01,0.003905
1996-01-01,0.047803
1997-01-01,0.007569
1998-01-01,-0.005473
1999-01-01,0.053612
2000-01-01,0.022985
2001-01-01,-0.022756
2002-01-01,-0.010514
2003-01-01,-0.015883
2004-01-01,0.037521
2005-01-01,0.036265
2006-01-01,0.068017
2007-01-01,0.027689
2008-01-01,-0.004612
2009-01-01,-0.025972
2010-01-01,0.019499
2011-01-01,0.011271
2012-01-01,0.013212
2013-01-01,0.166683
2014-01-01,0.057370
2015-01-01,0.054087
2016-01-01,0.062703
2017-01-01,0.077745
2018-01-01,-0.015154
2019-01-01,0.077421
2020-01-01,0.031599
