date,value
1870-01-01,0.018112
1871-01-01,0.015191
1872-01-01,0.011103
1873-01-01,0.011270
1874-01-01,0.013098
1875-01-01,0.014456
1876-01-01,0.012099
1877-01-01,0.012485
1878-01-01,0.013976
1879-01-01,0.018631
1880-01-01,0.021344
1881-01-01,0.023513
1882-01-01,0.021881
1883-01-01,0.018801
1884-01-01,0.018188
1885-01-01,0.018195
1886-01-01,0.016046
1887-01-01,0.017064
1888-01-01,0.016773
1889-01-01,0.017760
1890-01-01,0.018937
1891-01-01,0.018142
1892-01-01,0.016916
1893-01-01,0.017121
1894-01-01,0.017666
1895-01-01,0.019335
1896-01-01,0.021276
1897-01-01,0.023706
1898-01-01,0.025711
1899-01-01,0.024262
1900-01-01,0.027259
1901-01-01,0.026665
1902-01-01,0.027698
1903-01-01,0.029083
1904-01-01,0.029757
1905-01-01,0.030903
1906-01-01,0.031513
1907-01-01,0.034809
1908-01-01,0.033609
1909-01-01,0.032304
1910-01-01,0.032387
1911-01-01,0.034801
1912-01-01,0.036731
1913-01-01,0.037844
1914-01-01,0.034862
1915-01-01,0.032629
1916-01-01,0.035252
1917-01-01,0.043244
1918-01-01,0.058208
1919-01-01,0.077444
1920-01-01,0.081009
1921-01-01,0.074239
1922-01-01,0.073111
1923-01-01,0.072453
1924-01-01,0.073100
1925-01-01,0.073985
1926-01-01,0.070628
1927-01-01,0.069546
1928-01-01,0.066905
1929-01-01,0.065372
1930-01-01,0.058730
1931-01-01,0.051960
1932-01-01,0.052539
1933-01-01,0.054144
1934-01-01,0.054908
1935-01-01,0.056267
1936-01-01,0.057568
1937-01-01,0.062061
1938-01-01,0.068017
1939-01-01,0.076055
1940-01-01,0.088423
1941-01-01,0.089660
1942-01-01,0.092131
1943-01-01,0.097698
1944-01-01,0.132178
1945-01-01,1.421761
1946-01-01,2.711345
1947-01-01,6.109386
1948-01-01,10.748085
1949-01-01,14.175368
1950-01-01,13.201987
1951-01-01,15.574090
1952-01-01,16.351158
1953-01-01,17.422695
1954-01-01,18.543312
1955-01-01,18.322457
1956-01-01,18.404257
1957-01-01,18.976831
1958-01-01,18.895035
1959-01-01,19.058631
1960-01-01,19.794801
1961-01-01,20.858156
1962-01-01,22.248700
1963-01-01,23.966432
1964-01-01,24.866195
1965-01-01,26.502127
1966-01-01,27.892671
1967-01-01,28.956030
1968-01-01,30.510166
1969-01-01,32.146098
1970-01-01,34.600001
1971-01-01,36.700000
1972-01-01,38.399999
1973-01-01,42.800000
1974-01-01,53.300002
1975-01-01,59.600001
1976-01-01,65.200001
1977-01-01,70.400000
1978-01-01,73.100003
1979-01-01,75.700002
1980-01-01,81.800003
1981-01-01,85.799999
1982-01-01,88.100001
1983-01-01,89.700001
1984-01-01,91.700001
1985-01-01,93.500003
1986-01-01,94.100002
1987-01-01,94.200001
1988-01-01,94.900000
1989-01-01,97.000000
1990-01-01,100.000000
1991-01-01,103.300002
1992-01-01,105.000001
1993-01-01,106.400002
1994-01-01,107.100000
1995-01-01,107.000001
1996-01-01,107.100000
1997-01-01,109.000001
1998-01-01,109.700000
1999-01-01,109.400002
2000-01-01,108.600001
2001-01-01,107.796676
2002-01-01,106.800467
2003-01-01,106.524290
2004-01-01,106.513330
2005-01-01,106.211947
2006-01-01,106.479356
2007-01-01,106.546209
2008-01-01,108.021344
2009-01-01,106.563744
2010-01-01,105.794394
2011-01-01,105.506161
2012-01-01,105.446981
2013-01-01,105.808641
2014-01-01,108.730417
2015-01-01,109.591826
2016-01-01,109.466889
2017-01-01,109.999149
2018-01-01,111.087100
2019-01-01,111.607085
2020-01-01,111.576957
