date,value
1886-01-01,0.945161
1887-01-01,-0.050012
1888-01-01,0.073316
1889-01-01,0.304742
1890-01-01,-0.184560
1891-01-01,0.038199
1892-01-01,0.567299
1893-01-01,0.073621
1894-01-01,0.244484
1895-01-01,0.344960
1896-01-01,0.544106
1897-01-01,-0.343973
1898-01-01,-0.261092
1899-01-01,0.331448
1900-01-01,-0.161789
1901-01-01,-0.084584
1902-01-01,0.416449
1903-01-01,0.169015
1904-01-01,0.013822
1905-01-01,0.466028
1906-01-01,0.860787
1907-01-01,-0.120725
1908-01-01,-0.340965
1909-01-01,0.338814
1910-01-01,0.336711
1911-01-01,-0.113685
1912-01-01,0.096532
1913-01-01,0.000290
1914-01-01,-0.031652
1915-01-01,0.327101
1916-01-01,0.955091
1917-01-01,-0.067291
1918-01-01,0.192559
1919-01-01,0.367431
1920-01-01,-0.030862
1921-01-01,-0.126390
1922-01-01,-0.038429
1923-01-01,0.079950
1924-01-01,0.074290
1925-01-01,0.122518
1926-01-01,0.162757
1927-01-01,-0.065348
1928-01-01,0.106082
1929-01-01,-0.108193
1930-01-01,-0.274075
1931-01-01,0.124790
1932-01-01,0.134861
1933-01-01,0.337659
1934-01-01,0.059990
1935-01-01,0.093330
1936-01-01,0.081843
1937-01-01,0.177164
1938-01-01,-0.023711
1939-01-01,0.075086
1940-01-01,0.095591
1941-01-01,-0.179195
1942-01-01,0.248502
1943-01-01,0.230098
1944-01-01,0.072212
1945-01-01,0.038293
1948-01-01,0.475098
1949-01-01,1.130685
1950-01-01,-0.278197
1951-01-01,0.421481
1952-01-01,0.810193
1953-01-01,0.569774
1954-01-01,-0.078938
1955-01-01,0.211224
1956-01-01,0.464588
1957-01-01,0.176345
1958-01-01,0.125268
1959-01-01,0.537497
1960-01-01,0.363173
1961-01-01,0.204590
1962-01-01,-0.020124
1963-01-01,0.107045
1964-01-01,-0.088919
1965-01-01,0.004956
1966-01-01,0.258591
1967-01-01,0.056219
1968-01-01,0.138424
1969-01-01,0.340694
1970-01-01,0.093580
1971-01-01,0.127328
1972-01-01,0.611800
1973-01-01,0.308977
1974-01-01,-0.124472
1975-01-01,0.050883
1976-01-01,0.146413
1977-01-01,0.102241
1978-01-01,0.137539
1979-01-01,0.101402
1980-01-01,0.063830
1981-01-01,0.175476
1982-01-01,0.006099
1983-01-01,0.223083
1984-01-01,0.274730
1985-01-01,0.215267
1986-01-01,0.316922
1987-01-01,0.475165
1988-01-01,0.096631
1989-01-01,0.206925
1990-01-01,-0.131750
1991-01-01,-0.155095
1992-01-01,-0.261200
1993-01-01,0.129730
1994-01-01,0.065417
1995-01-01,-0.136819
1996-01-01,0.169805
1997-01-01,-0.127927
1998-01-01,-0.148928
1999-01-01,0.205168
2000-01-01,0.120549
2001-01-01,-0.217895
2002-01-01,-0.168420
2003-01-01,-0.045522
2004-01-01,0.252901
2005-01-01,0.153900
2006-01-01,0.271687
2007-01-01,0.026862
2008-01-01,-0.273467
2009-01-01,-0.249922
2010-01-01,0.037754
2011-01-01,-0.048242
2012-01-01,-0.043643
2013-01-01,0.721681
2014-01-01,0.103854
2015-01-01,0.111657
2016-01-01,0.005200
2017-01-01,0.219400
2018-01-01,-0.151700
2019-01-01,0.184800
2020-01-01,0.078300
