date,value
1931-01-01,0.008826
1932-01-01,0.075639
1933-01-01,0.100799
1934-01-01,0.111886
1935-01-01,0.113978
1936-01-01,0.127952
1937-01-01,0.069813
1938-01-01,0.119773
1939-01-01,0.124817
1940-01-01,0.086247
1941-01-01,0.197167
1942-01-01,0.121656
1943-01-01,0.249348
1944-01-01,0.138879
1960-01-01,0.288019
1961-01-01,0.437653
1962-01-01,0.314519
1963-01-01,0.201655
1964-01-01,0.188392
1965-01-01,0.203338
1966-01-01,0.112801
1967-01-01,0.167625
1968-01-01,0.228457
1969-01-01,0.258166
1970-01-01,0.281160
1971-01-01,0.229513
1972-01-01,0.194759
1973-01-01,0.335571
1974-01-01,0.297628
1975-01-01,-0.007020
1976-01-01,0.053713
1977-01-01,0.080708
1978-01-01,0.091419
1979-01-01,0.117389
1980-01-01,0.170662
1981-01-01,0.161275
1982-01-01,0.127509
1983-01-01,0.092530
1984-01-01,0.069450
1985-01-01,0.060708
1986-01-01,0.055170
1987-01-01,0.078479
1988-01-01,0.117395
1989-01-01,0.086356
1990-01-01,0.158261
1991-01-01,0.125482
1992-01-01,0.001626
1993-01-01,-0.022088
1994-01-01,0.000494
1995-01-01,0.016070
1996-01-01,0.013177
1997-01-01,0.017526
1998-01-01,0.019881
1999-01-01,0.007955
2000-01-01,-0.000373
2001-01-01,-0.003241
2002-01-01,-0.006501
2003-01-01,-0.007856
2004-01-01,-0.022081
2005-01-01,-0.008907
2006-01-01,0.008697
2007-01-01,0.034522
2008-01-01,0.043337
2009-01-01,0.016024
2010-01-01,0.012112
2011-01-01,0.021409
2012-01-01,0.026359
2013-01-01,0.073166
2014-01-01,0.071242
2015-01-01,0.078931
2016-01-01,0.088486
2017-01-01,0.081557
2018-01-01,0.077218
2019-01-01,0.075852
2020-01-01,0.047987
