date,value
1913-01-01,0.001238
1914-01-01,0.001998
1915-01-01,0.001668
1916-01-01,0.002522
1917-01-01,0.001967
1918-01-01,0.003378
1919-01-01,0.005198
1920-01-01,0.004614
1921-01-01,0.004778
1922-01-01,0.004318
1923-01-01,0.004636
1924-01-01,0.004282
1925-01-01,0.003990
1926-01-01,0.004499
1927-01-01,0.005466
1928-01-01,0.005059
1929-01-01,0.004524
1930-01-01,0.003838
1936-01-01,0.004324
1937-01-01,0.004367
1938-01-01,0.004626
1939-01-01,0.004929
1940-01-01,0.005059
1941-01-01,0.005751
1942-01-01,0.006140
1943-01-01,0.007350
1944-01-01,0.008042
1945-01-01,0.010636
1946-01-01,0.025899
1947-01-01,0.069050
1948-01-01,0.173598
1949-01-01,0.244983
1950-01-01,0.286620
1951-01-01,0.371668
1952-01-01,0.529874
1953-01-01,0.909195
1954-01-01,1.166111
1955-01-01,1.322889
1956-01-01,1.514360
1957-01-01,1.906005
1958-01-01,2.349869
1959-01-01,2.906876
1960-01-01,3.568320
1961-01-01,4.917319
1962-01-01,6.222802
1963-01-01,7.188860
1964-01-01,8.181027
1965-01-01,9.399478
1966-01-01,9.921671
1967-01-01,10.966057
1968-01-01,12.793734
1969-01-01,15.317668
1970-01-01,18.711923
1971-01-01,22.019147
1972-01-01,25.239339
1973-01-01,32.550044
1974-01-01,40.992167
1975-01-01,39.338555
1976-01-01,39.947781
1977-01-01,41.514360
1978-01-01,43.516101
1979-01-01,46.736292
1980-01-01,52.741514
1981-01-01,59.181897
1982-01-01,64.577894
1983-01-01,68.320279
1984-01-01,70.757180
1985-01-01,72.671889
1986-01-01,74.238468
1987-01-01,77.545692
1988-01-01,84.073107
1989-01-01,88.685814
1990-01-01,100.000000
1991-01-01,109.747607
1992-01-01,107.049608
1993-01-01,101.740644
1994-01-01,98.781549
1995-01-01,97.302002
1996-01-01,95.474326
1997-01-01,93.994778
1998-01-01,92.689295
1999-01-01,90.252393
2000-01-01,87.032202
2001-01-01,83.550914
2002-01-01,79.808529
2003-01-01,75.979112
2004-01-01,71.105309
2005-01-01,67.275892
2006-01-01,64.664926
2007-01-01,63.707572
2008-01-01,63.272411
2009-01-01,59.652180
2010-01-01,61.057054
2011-01-01,61.498521
2012-01-01,61.060211
2013-01-01,62.505569
2014-01-01,63.480548
2015-01-01,65.009407
2016-01-01,66.447252
2017-01-01,68.129371
2018-01-01,69.453287
2019-01-01,70.560397
2020-01-01,70.609642
