date,value
1870-01-01,7.080562
1871-01-01,6.746838
1872-01-01,6.438377
1873-01-01,6.535853
1874-01-01,6.616645
1875-01-01,6.418626
1876-01-01,6.460819
1877-01-01,6.460285
1878-01-01,6.413482
1879-01-01,6.403564
1880-01-01,6.425636
1881-01-01,6.185506
1882-01-01,6.331536
1883-01-01,6.296513
1884-01-01,6.272670
1885-01-01,6.264662
1886-01-01,6.019590
1887-01-01,5.876970
1888-01-01,5.918867
1889-01-01,6.107106
1890-01-01,6.142606
1891-01-01,6.156536
1892-01-01,6.375608
1893-01-01,6.337756
1894-01-01,6.463794
1895-01-01,6.207120
1896-01-01,6.254767
1897-01-01,4.521000
1898-01-01,4.361500
1899-01-01,4.103333
1900-01-01,4.659460
1901-01-01,4.782300
1902-01-01,4.568649
1903-01-01,4.757289
1904-01-01,5.685050
1905-01-01,4.689978
1906-01-01,4.372760
1907-01-01,4.687128
1908-01-01,4.736546
1909-01-01,4.465618
1910-01-01,4.203117
1911-01-01,4.354733
1912-01-01,4.669236
1913-01-01,4.907200
1914-01-01,5.555556
1915-01-01,5.882353
1916-01-01,5.555556
1917-01-01,5.594406
1918-01-01,5.390836
1919-01-01,6.349206
1920-01-01,8.163265
1921-01-01,6.250000
1922-01-01,5.714286
1923-01-01,5.797101
1924-01-01,6.250000
1925-01-01,6.349206
1926-01-01,6.570000
1927-01-01,6.520000
1928-01-01,6.130000
1929-01-01,6.250000
1930-01-01,5.442000
1931-01-01,5.919000
1932-01-01,4.743000
1933-01-01,4.657000
1934-01-01,4.589000
1935-01-01,4.451000
1936-01-01,3.974000
1937-01-01,3.937000
1938-01-01,3.826000
1939-01-01,3.813000
1940-01-01,3.868000
1941-01-01,3.823000
1942-01-01,3.763000
1943-01-01,3.767000
1944-01-01,3.763000
1945-01-01,3.689000
1946-01-01,3.689000
1947-01-01,3.689000
1948-01-01,5.539000
1949-01-01,5.510000
1950-01-01,5.500000
1951-01-01,5.500000
1952-01-01,5.500000
1953-01-01,10.181000
1954-01-01,6.324000
1955-01-01,8.600000
1956-01-01,7.900000
1957-01-01,11.200000
1958-01-01,8.400000
1959-01-01,10.700000
1960-01-01,10.100000
1961-01-01,14.820000
1962-01-01,9.790000
1963-01-01,9.560000
1964-01-01,6.892000
1965-01-01,7.354000
1966-01-01,6.860000
1967-01-01,6.912500
1968-01-01,7.033330
1969-01-01,7.090830
1970-01-01,7.188330
1971-01-01,7.276670
1972-01-01,6.695000
1973-01-01,7.262500
1974-01-01,9.260830
1975-01-01,9.200000
1976-01-01,8.718330
1977-01-01,7.327500
1978-01-01,6.092500
1979-01-01,7.687500
1980-01-01,9.215000
1981-01-01,8.660000
1982-01-01,8.055000
1983-01-01,7.419170
1984-01-01,6.805000
1985-01-01,6.340830
1986-01-01,4.944170
1987-01-01,4.211670
1988-01-01,4.274170
1989-01-01,5.054170
1990-01-01,7.362500
1991-01-01,6.525830
1992-01-01,4.944170
1993-01-01,3.692500
1994-01-01,3.714170
1995-01-01,2.531670
1996-01-01,2.225000
1997-01-01,1.687500
1998-01-01,1.096670
1999-01-01,1.770830
2000-01-01,1.747500
2001-01-01,1.329580
2002-01-01,1.250000
2003-01-01,1.011670
2004-01-01,1.499170
2005-01-01,1.359580
2006-01-01,1.731250
2007-01-01,1.652920
2008-01-01,1.449170
2009-01-01,1.342500
2010-01-01,1.150830
2011-01-01,1.118330
2012-01-01,0.839167
2013-01-01,0.700000
2014-01-01,0.526250
2015-01-01,0.346667
2016-01-01,-0.066000
2017-01-01,0.051667
2018-01-01,0.065000
2019-01-01,-0.110417
2020-01-01,-0.005417
