date,value
1931-01-01,0.021874
1932-01-01,0.082188
1933-01-01,0.130414
1934-01-01,0.105220
1935-01-01,0.111286
1936-01-01,0.122195
1937-01-01,0.083737
1938-01-01,0.103544
1939-01-01,0.119732
1940-01-01,0.087185
1941-01-01,0.167015
1942-01-01,0.133023
1943-01-01,0.247398
1944-01-01,0.132391
1960-01-01,0.318794
1961-01-01,0.349817
1962-01-01,0.186375
1963-01-01,0.170427
1964-01-01,0.110007
1965-01-01,0.148360
1966-01-01,0.148878
1967-01-01,0.145164
1968-01-01,0.209451
1969-01-01,0.277469
1970-01-01,0.248209
1971-01-01,0.209842
1972-01-01,0.317995
1973-01-01,0.330448
1974-01-01,0.236951
1975-01-01,0.002324
1976-01-01,0.070335
1977-01-01,0.084161
1978-01-01,0.099901
1979-01-01,0.114664
1980-01-01,0.153804
1981-01-01,0.163569
1982-01-01,0.108461
1983-01-01,0.116577
1984-01-01,0.114157
1985-01-01,0.097754
1986-01-01,0.135625
1987-01-01,0.198649
1988-01-01,0.110599
1989-01-01,0.130236
1990-01-01,0.089970
1991-01-01,0.063669
1992-01-01,-0.047278
1993-01-01,0.010766
1994-01-01,0.016019
1995-01-01,-0.021549
1996-01-01,0.051214
1997-01-01,-0.012381
1998-01-01,-0.014221
1999-01-01,0.067064
2000-01-01,0.030586
2001-01-01,-0.051973
2002-01-01,-0.039576
2003-01-01,-0.017464
2004-01-01,0.057828
2005-01-01,0.053911
2006-01-01,0.111928
2007-01-01,0.031756
2008-01-01,-0.032572
2009-01-01,-0.052095
2010-01-01,0.018996
2011-01-01,0.005053
2012-01-01,0.008020
2013-01-01,0.304568
2014-01-01,0.083423
2015-01-01,0.091816
2016-01-01,0.039507
2017-01-01,0.167680
2018-01-01,-0.055774
2019-01-01,0.142189
2020-01-01,0.066978
