date,value
1881-01-01,0.181983
1882-01-01,0.064940
1883-01-01,0.184910
1884-01-01,0.063943
1885-01-01,0.072220
1886-01-01,0.115444
1887-01-01,0.048261
1888-01-01,0.033856
1889-01-01,0.054747
1890-01-01,0.037616
1891-01-01,0.103059
1892-01-01,0.049953
1893-01-01,0.061854
1894-01-01,-0.011718
1895-01-01,0.050797
1896-01-01,0.039240
1897-01-01,0.039162
1898-01-01,0.056781
1899-01-01,0.052207
1900-01-01,0.035790
1901-01-01,0.031453
1902-01-01,0.077648
1903-01-01,0.054410
1904-01-01,0.013703
1905-01-01,0.078817
1906-01-01,0.054626
1907-01-01,0.026963
1908-01-01,0.057184
1909-01-01,0.098704
1910-01-01,0.063610
1911-01-01,-0.000636
1912-01-01,0.019610
1913-01-01,0.041276
1914-01-01,0.028839
1915-01-01,0.087861
1916-01-01,0.043164
1917-01-01,0.042730
1918-01-01,0.032530
1919-01-01,0.034574
1920-01-01,0.032939
1921-01-01,0.064226
1922-01-01,0.055134
1923-01-01,0.060102
1924-01-01,0.057770
1925-01-01,0.064417
1926-01-01,0.057231
1927-01-01,0.075886
1928-01-01,0.056319
1929-01-01,0.038867
1930-01-01,0.046046
1931-01-01,0.023352
1932-01-01,0.109312
1933-01-01,0.064868
1934-01-01,0.037191
1935-01-01,0.045400
1936-01-01,0.028282
1937-01-01,0.037155
1938-01-01,0.040419
1939-01-01,0.035293
1940-01-01,0.028292
1941-01-01,0.032550
1942-01-01,0.032300
1943-01-01,0.032250
1944-01-01,0.032000
1945-01-01,0.032000
1946-01-01,0.031700
1947-01-01,0.032500
1948-01-01,0.039300
1949-01-01,0.045200
1950-01-01,0.045100
1951-01-01,0.047500
1952-01-01,0.047500
1953-01-01,0.047500
1954-01-01,0.051600
1955-01-01,0.051600
1956-01-01,0.051700
1957-01-01,0.090471
1958-01-01,0.080042
1959-01-01,0.073367
1960-01-01,0.074150
1961-01-01,0.073604
1962-01-01,0.076338
1963-01-01,0.069871
1964-01-01,0.084581
1965-01-01,0.071608
1966-01-01,0.064711
1967-01-01,0.063809
1968-01-01,0.072310
1969-01-01,0.071620
1970-01-01,0.074676
1971-01-01,0.065871
1972-01-01,0.067404
1973-01-01,0.034856
1974-01-01,0.090955
1975-01-01,0.093335
1976-01-01,0.075496
1977-01-01,0.136603
1978-01-01,0.058586
1979-01-01,-0.000546
1980-01-01,0.087798
1981-01-01,0.106772
1982-01-01,0.085832
1983-01-01,0.087940
1984-01-01,0.095502
1985-01-01,0.095869
1986-01-01,0.055266
1987-01-01,0.041327
1988-01-01,0.043706
1989-01-01,0.021331
1990-01-01,0.028285
1991-01-01,0.118162
1992-01-01,0.080966
1993-01-01,0.090312
1994-01-01,-0.020144
1995-01-01,0.084938
1996-01-01,0.038227
1997-01-01,0.056320
1998-01-01,0.014220
1999-01-01,0.022845
2000-01-01,0.007926
2001-01-01,0.028000
2002-01-01,0.033932
2003-01-01,-0.013499
2004-01-01,0.008826
2005-01-01,0.010004
2006-01-01,0.002868
2007-01-01,0.021766
2008-01-01,0.029710
2009-01-01,0.005365
2010-01-01,0.020059
2011-01-01,0.017537
2012-01-01,0.018487
2013-01-01,0.008847
2014-01-01,0.027183
2015-01-01,0.009271
2016-01-01,0.081046
2017-01-01,-0.000755
2018-01-01,0.016469
2019-01-01,0.022962
2020-01-01,0.002057
