date,value
1870-01-01,0.017563
1871-01-01,0.042436
1872-01-01,0.093775
1873-01-01,0.062982
1874-01-01,0.101692
1875-01-01,0.084207
1876-01-01,0.042413
1877-01-01,0.057703
1878-01-01,0.028973
1879-01-01,0.057541
1880-01-01,0.051855
1881-01-01,0.054215
1882-01-01,0.051141
1883-01-01,0.013578
1884-01-01,0.054100
1885-01-01,0.051014
1886-01-01,0.128445
1887-01-01,0.030959
1888-01-01,0.067435
1889-01-01,0.077345
1890-01-01,0.050917
1891-01-01,0.005663
1892-01-01,0.044480
1893-01-01,0.074633
1894-01-01,0.109137
1895-01-01,0.076857
1896-01-01,-0.006347
1897-01-01,-0.004402
1898-01-01,0.004162
1899-01-01,-0.001100
1900-01-01,-0.006991
1901-01-01,0.061497
1902-01-01,0.027941
1903-01-01,0.003250
1904-01-01,0.039145
1905-01-01,0.003734
1906-01-01,0.018773
1907-01-01,0.002595
1908-01-01,0.037005
1909-01-01,0.031685
1910-01-01,0.024311
1911-01-01,-0.050078
1912-01-01,-0.004241
1913-01-01,0.024146
1914-01-01,0.028237
1915-01-01,-0.059015
1916-01-01,0.103865
1917-01-01,-0.028616
1918-01-01,-0.022243
1919-01-01,-0.053452
1920-01-01,-0.022281
1921-01-01,0.103858
1922-01-01,0.124886
1923-01-01,0.025849
1924-01-01,0.087923
1925-01-01,0.139272
1926-01-01,0.054025
1927-01-01,0.032375
1928-01-01,0.066707
1929-01-01,0.011618
1930-01-01,0.102607
1931-01-01,-0.098110
1932-01-01,0.239476
1933-01-01,0.002880
1934-01-01,0.124092
1935-01-01,-0.019991
1936-01-01,0.116242
1937-01-01,0.033293
1938-01-01,0.033867
1939-01-01,-0.184984
1940-01-01,0.108373
1941-01-01,0.126553
1942-01-01,0.078863
1943-01-01,0.067765
1944-01-01,0.012516
1945-01-01,0.104351
1946-01-01,0.021767
1947-01-01,0.028111
1948-01-01,0.026112
1949-01-01,0.035588
1950-01-01,0.007388
1951-01-01,-0.076832
1952-01-01,0.110619
1953-01-01,0.085356
1954-01-01,0.050398
1955-01-01,-0.006135
1956-01-01,-0.074113
1957-01-01,-0.110370
1958-01-01,0.054349
1959-01-01,0.016592
1960-01-01,0.074658
1961-01-01,0.059624
1962-01-01,0.012627
1963-01-01,-0.033540
1964-01-01,0.000940
1965-01-01,-0.052886
1966-01-01,0.007320
1967-01-01,0.037672
1968-01-01,-0.014909
1969-01-01,-0.029661
1970-01-01,0.130904
1971-01-01,0.071226
1972-01-01,0.016837
1973-01-01,-0.086287
1974-01-01,0.161563
1975-01-01,0.121439
1976-01-01,0.104122
1977-01-01,0.111602
1978-01-01,0.051091
1979-01-01,0.033699
1980-01-01,0.025302
1981-01-01,0.050320
1982-01-01,0.360750
1983-01-01,0.025934
1984-01-01,0.162998
1985-01-01,0.096102
1986-01-01,0.077446
1987-01-01,0.073332
1988-01-01,0.062349
1989-01-01,-0.023210
1990-01-01,-0.000686
1991-01-01,0.123970
1992-01-01,0.175193
1993-01-01,0.189291
1994-01-01,-0.083442
1995-01-01,0.214045
1996-01-01,0.085449
1997-01-01,0.087323
1998-01-01,0.162394
1999-01-01,-0.074200
2000-01-01,0.093039
2001-01-01,0.048151
2002-01-01,0.122247
2003-01-01,0.046265
2004-01-01,0.102272
2005-01-01,0.069851
2006-01-01,-0.007734
2007-01-01,0.012221
2008-01-01,0.122871
2009-01-01,0.045068
2010-01-01,0.068426
2011-01-01,0.128978
2012-01-01,0.113167
2013-01-01,-0.029590
2014-01-01,0.181325
2015-01-01,-0.001493
2016-01-01,0.099697
2017-01-01,0.001688
2018-01-01,0.021764
2019-01-01,0.065432
2020-01-01,0.038075
