date,value
1900-01-01,0.054022
1901-01-01,0.046941
1902-01-01,0.043557
1903-01-01,0.023757
1904-01-01,0.067529
1905-01-01,0.048593
1906-01-01,0.041141
1907-01-01,0.016437
1908-01-01,0.068311
1909-01-01,0.071619
1910-01-01,0.019186
1911-01-01,0.093069
1912-01-01,0.058266
1913-01-01,0.031179
1914-01-01,0.026759
1915-01-01,0.049933
1916-01-01,0.128360
1917-01-01,0.128720
1918-01-01,0.071290
1919-01-01,0.150520
1920-01-01,0.020665
1921-01-01,-0.047959
1922-01-01,-0.055682
1923-01-01,0.037316
1924-01-01,0.042800
1925-01-01,0.086370
1926-01-01,0.064295
1927-01-01,0.090022
1928-01-01,0.077444
1929-01-01,0.021475
1930-01-01,-0.051346
1931-01-01,-0.111150
1932-01-01,-0.049834
1933-01-01,0.127591
1934-01-01,0.122598
1935-01-01,-0.018033
1936-01-01,0.057512
1937-01-01,0.216139
1938-01-01,0.027314
1939-01-01,0.006202
1940-01-01,0.409904
1941-01-01,0.055922
1942-01-01,0.118267
1943-01-01,0.183059
1944-01-01,0.128742
1945-01-01,0.030461
1946-01-01,0.003968
1947-01-01,0.080602
1948-01-01,0.069358
1949-01-01,0.022911
1950-01-01,0.028511
1951-01-01,0.025278
1952-01-01,0.066008
1953-01-01,0.119239
1954-01-01,0.239197
1955-01-01,0.135241
1956-01-01,0.090281
1957-01-01,0.021198
1958-01-01,0.175200
1959-01-01,0.182628
1960-01-01,0.106801
1961-01-01,0.118819
1962-01-01,0.074086
1963-01-01,0.090356
1964-01-01,0.106814
1965-01-01,-0.035634
1966-01-01,-0.035037
1967-01-01,0.158538
1968-01-01,0.162253
1969-01-01,0.170353
1970-01-01,0.171291
1971-01-01,0.115973
1972-01-01,0.152442
1973-01-01,0.093611
1974-01-01,0.131331
1975-01-01,0.191187
1976-01-01,0.269817
1977-01-01,0.319576
1978-01-01,0.099461
1979-01-01,0.010437
1980-01-01,-0.001721
1981-01-01,-0.021132
1982-01-01,0.034542
1983-01-01,0.124612
1984-01-01,0.101588
1985-01-01,0.112489
1986-01-01,0.103925
1987-01-01,0.070871
1988-01-01,0.133509
1989-01-01,0.131431
1990-01-01,0.046737
1991-01-01,0.114341
1992-01-01,0.139664
1993-01-01,0.211113
1994-01-01,0.103880
1995-01-01,0.147165
1996-01-01,0.211055
1997-01-01,0.249019
1998-01-01,0.175711
1999-01-01,0.217903
2000-01-01,0.104983
2001-01-01,0.021440
2002-01-01,-0.003678
2003-01-01,0.070825
2004-01-01,0.080174
2005-01-01,0.138804
2006-01-01,0.109762
2007-01-01,0.071231
2008-01-01,-0.018186
2009-01-01,0.081092
2010-01-01,0.033588
2011-01-01,0.000938
2012-01-01,0.023554
2013-01-01,0.034603
2014-01-01,0.072375
2015-01-01,0.067868
2016-01-01,0.078928
2017-01-01,0.118950
2018-01-01,0.017957
2019-01-01,0.205971
2020-01-01,0.120931
