date,value
1870-01-01,6.861802
1871-01-01,7.531862
1872-01-01,8.402618
1873-01-01,8.577742
1874-01-01,8.558529
1875-01-01,7.622025
1876-01-01,7.456004
1877-01-01,7.757039
1878-01-01,7.388066
1879-01-01,7.003095
1880-01-01,7.132564
1881-01-01,7.268859
1882-01-01,7.254517
1883-01-01,6.723037
1884-01-01,6.390245
1885-01-01,6.022478
1886-01-01,5.768768
1887-01-01,5.929934
1888-01-01,5.933093
1889-01-01,6.088611
1890-01-01,6.198106
1891-01-01,6.316848
1892-01-01,5.809324
1893-01-01,5.714680
1894-01-01,5.673238
1895-01-01,5.380884
1896-01-01,5.437947
1897-01-01,5.391495
1898-01-01,5.451661
1899-01-01,5.460253
1900-01-01,5.817804
1901-01-01,5.716451
1902-01-01,5.763882
1903-01-01,5.912365
1904-01-01,6.134073
1905-01-01,5.952556
1906-01-01,6.321865
1907-01-01,6.460879
1908-01-01,6.323450
1909-01-01,6.337075
1910-01-01,6.515650
1911-01-01,6.698619
1912-01-01,6.770419
1913-01-01,7.037938
1914-01-01,7.037938
1915-01-01,8.093629
1916-01-01,9.008561
1917-01-01,9.571596
1918-01-01,11.401460
1919-01-01,12.386770
1920-01-01,13.653600
1921-01-01,11.894120
1922-01-01,10.486530
1923-01-01,10.134630
1924-01-01,10.205010
1925-01-01,10.134630
1926-01-01,9.712355
1927-01-01,9.712355
1928-01-01,9.782734
1929-01-01,9.712355
1930-01-01,9.360457
1931-01-01,8.797422
1932-01-01,8.164008
1933-01-01,8.093629
1934-01-01,8.093629
1935-01-01,7.812111
1936-01-01,7.460215
1937-01-01,7.882491
1938-01-01,8.023250
1939-01-01,8.093629
1940-01-01,9.290078
1941-01-01,10.627290
1942-01-01,11.401460
1943-01-01,11.753360
1944-01-01,12.105250
1945-01-01,13.935120
1946-01-01,15.201950
1947-01-01,15.764980
1948-01-01,16.328020
1949-01-01,17.313330
1950-01-01,18.871530
1951-01-01,21.122260
1952-01-01,21.122260
1953-01-01,21.122260
1954-01-01,21.967150
1955-01-01,22.389600
1956-01-01,22.812040
1957-01-01,24.202590
1958-01-01,24.730650
1959-01-01,24.994670
1960-01-01,25.575540
1961-01-01,25.909970
1962-01-01,26.502290
1963-01-01,27.388310
1964-01-01,28.974330
1965-01-01,30.653360
1966-01-01,32.430300
1967-01-01,33.561080
1968-01-01,34.794650
1969-01-01,37.379280
1970-01-01,38.754820
1971-01-01,41.652740
1972-01-01,44.898220
1973-01-01,48.496150
1974-01-01,53.156320
1975-01-01,58.585030
1976-01-01,63.891360
1977-01-01,68.027760
1978-01-01,70.803300
1979-01-01,73.784440
1980-01-01,78.611050
1981-01-01,83.916080
1982-01-01,88.835300
1983-01-01,91.343140
1984-01-01,94.333250
1985-01-01,96.431150
1986-01-01,96.527610
1987-01-01,95.844380
1988-01-01,96.559760
1989-01-01,97.604690
1990-01-01,100.000000
1991-01-01,103.133300
1992-01-01,106.416700
1993-01-01,109.166700
1994-01-01,112.225000
1995-01-01,114.383300
1996-01-01,116.758300
1997-01-01,118.924449
1998-01-01,121.046494
1999-01-01,123.511188
2000-01-01,126.411826
2001-01-01,132.874650
2002-01-01,137.992325
2003-01-01,141.065983
2004-01-01,143.016704
2005-01-01,145.148927
2006-01-01,147.547466
2007-01-01,149.888332
2008-01-01,153.206254
2009-01-01,154.695588
2010-01-01,156.134032
2011-01-01,159.989675
2012-01-01,164.500082
2013-01-01,168.703462
2014-01-01,169.244576
2015-01-01,169.616061
2016-01-01,169.802651
2017-01-01,172.007815
2018-01-01,174.755923
2019-01-01,179.420921
2020-01-01,181.424326
