date,value
1900-01-01,0.067703
1901-01-01,0.008843
1902-01-01,0.024988
1903-01-01,0.025818
1904-01-01,0.147847
1905-01-01,0.120832
1906-01-01,0.080972
1907-01-01,-0.033627
1908-01-01,0.117949
1909-01-01,0.131245
1910-01-01,-0.014443
1911-01-01,0.153989
1912-01-01,0.041078
1913-01-01,0.010377
1914-01-01,0.005689
1915-01-01,0.062578
1916-01-01,0.219334
1917-01-01,0.152543
1918-01-01,-0.036862
1919-01-01,0.162267
1920-01-01,-0.249082
1921-01-01,-0.159224
1922-01-01,-0.224209
1923-01-01,0.062753
1924-01-01,0.018493
1925-01-01,0.148808
1926-01-01,0.133352
1927-01-01,0.151113
1928-01-01,0.084594
1929-01-01,0.050754
1930-01-01,-0.209573
1931-01-01,-0.249000
1932-01-01,-0.304357
1933-01-01,0.170435
1934-01-01,0.102692
1935-01-01,0.052000
1936-01-01,0.238000
1937-01-01,0.606758
1938-01-01,-0.045923
1939-01-01,-0.027500
1940-01-01,1.300724
1941-01-01,-0.277014
1942-01-01,0.107944
1943-01-01,0.210940
1944-01-01,0.063429
1945-01-01,-0.083593
1946-01-01,-0.104863
1947-01-01,0.214791
1948-01-01,0.132000
1949-01-01,-0.028247
1950-01-01,0.025154
1951-01-01,0.038928
1952-01-01,-0.047338
1953-01-01,0.226242
1954-01-01,0.729419
1955-01-01,0.228923
1956-01-01,0.110824
1957-01-01,-0.077630
1958-01-01,0.403064
1959-01-01,0.327591
1960-01-01,0.074634
1961-01-01,0.054012
1962-01-01,-0.052418
1963-01-01,0.132717
1964-01-01,0.172429
1965-01-01,-0.070814
1966-01-01,-0.143018
1967-01-01,0.330576
1968-01-01,0.346165
1969-01-01,-0.030795
1970-01-01,-0.044183
1971-01-01,-0.053527
1972-01-01,0.308568
1973-01-01,-0.137259
1974-01-01,-0.192127
1975-01-01,0.474731
1976-01-01,0.054329
1977-01-01,0.093017
1978-01-01,0.057758
1979-01-01,0.110910
1980-01-01,0.186201
1981-01-01,-0.005941
1982-01-01,0.241036
1983-01-01,0.605136
1984-01-01,0.281000
1985-01-01,0.330991
1986-01-01,0.095015
1987-01-01,-0.178897
1988-01-01,0.352250
1989-01-01,0.274964
1990-01-01,-0.131290
1991-01-01,0.187282
1992-01-01,0.079237
1993-01-01,0.472468
1994-01-01,0.022853
1995-01-01,0.198149
1996-01-01,0.403277
1997-01-01,0.448993
1998-01-01,0.222881
1999-01-01,0.306492
2000-01-01,-0.021280
2001-01-01,-0.192180
2002-01-01,-0.328250
2003-01-01,0.091921
2004-01-01,0.097351
2005-01-01,0.303179
2006-01-01,0.201373
2007-01-01,0.081648
2008-01-01,-0.494620
2009-01-01,0.445349
2010-01-01,0.092556
2011-01-01,-0.092846
2012-01-01,0.125773
2013-01-01,0.185465
2014-01-01,0.096253
2015-01-01,0.081132
2016-01-01,0.077500
2017-01-01,0.163200
2018-01-01,-0.092600
2019-01-01,0.333800
2020-01-01,0.163300
