date,value
1870-01-01,3.758240
1871-01-01,4.012170
1872-01-01,4.266100
1873-01-01,4.689100
1874-01-01,5.112090
1875-01-01,5.249150
1876-01-01,5.386200
1877-01-01,5.594220
1878-01-01,5.802240
1879-01-01,5.811980
1880-01-01,5.821720
1881-01-01,5.990080
1882-01-01,6.158440
1883-01-01,5.709710
1884-01-01,5.260970
1885-01-01,5.370200
1886-01-01,5.479430
1887-01-01,5.137140
1888-01-01,4.794850
1889-01-01,4.484560
1890-01-01,4.174270
1891-01-01,4.395510
1892-01-01,4.616740
1893-01-01,4.453950
1894-01-01,4.291150
1895-01-01,4.291150
1896-01-01,4.291150
1897-01-01,4.417770
1898-01-01,4.544390
1899-01-01,4.718320
1900-01-01,4.892250
1901-01-01,5.050870
1902-01-01,5.209490
1903-01-01,5.119740
1904-01-01,5.030000
1905-01-01,4.853290
1906-01-01,4.676570
1907-01-01,4.660570
1908-01-01,4.644570
1909-01-01,4.596570
1910-01-01,4.548560
1911-01-01,4.784410
1912-01-01,5.020260
1913-01-01,4.981990
1914-01-01,4.943730
1915-01-01,5.224800
1916-01-01,5.505860
1917-01-01,6.439510
1918-01-01,7.373150
1919-01-01,8.935720
1920-01-01,10.498300
1921-01-01,9.289840
1922-01-01,8.081390
1923-01-01,8.007640
1924-01-01,7.933900
1925-01-01,7.725180
1926-01-01,7.516470
1927-01-01,7.869890
1928-01-01,8.223310
1929-01-01,7.543600
1930-01-01,6.863890
1931-01-01,5.939290
1932-01-01,5.014690
1933-01-01,6.029730
1934-01-01,7.044780
1935-01-01,5.452990
1936-01-01,3.861200
1937-01-01,3.903640
1938-01-01,3.946080
1939-01-01,4.305760
1940-01-01,4.665440
1941-01-01,5.108610
1942-01-01,5.551780
1943-01-01,6.713620
1944-01-01,7.875460
1945-01-01,7.539430
1946-01-01,7.203400
1947-01-01,7.855980
1948-01-01,8.508560
1949-01-01,8.355500
1950-01-01,8.202440
1951-01-01,8.406290
1952-01-01,8.610130
1953-01-01,9.240440
1954-01-01,9.870760
1955-01-01,11.031900
1956-01-01,12.193000
1957-01-01,12.727400
1958-01-01,13.261700
1959-01-01,14.760900
1960-01-01,16.260200
1961-01-01,18.862800
1962-01-01,21.465500
1963-01-01,22.754000
1964-01-01,24.042400
1965-01-01,21.634600
1966-01-01,19.226700
1967-01-01,20.280700
1968-01-01,21.334700
1969-01-01,27.196800
1970-01-01,33.058800
1971-01-01,37.198200
1972-01-01,41.011400
1973-01-01,46.113400
1974-01-01,51.448200
1975-01-01,58.008000
1976-01-01,75.829500
1977-01-01,104.977000
1978-01-01,113.644000
1979-01-01,107.730000
1980-01-01,98.815600
1981-01-01,88.882200
1982-01-01,79.103900
1983-01-01,80.517300
1984-01-01,79.967500
1985-01-01,80.105300
1986-01-01,83.917900
1987-01-01,87.873600
1988-01-01,91.919500
1989-01-01,98.045000
1990-01-01,100.000000
1991-01-01,102.595000
1992-01-01,111.192000
1993-01-01,120.358000
1994-01-01,135.171000
1995-01-01,144.538000
1996-01-01,160.341000
1997-01-01,179.227000
1998-01-01,198.885000
1999-01-01,231.261000
2000-01-01,273.274000
2001-01-01,303.723000
2002-01-01,323.380000
2003-01-01,334.943000
2004-01-01,349.205000
2005-01-01,363.080000
2006-01-01,379.654000
2007-01-01,395.457000
2008-01-01,407.020000
2009-01-01,393.144000
2010-01-01,385.435000
2011-01-01,376.185000
2012-01-01,352.673000
2013-01-01,331.462486
2014-01-01,334.233332
2015-01-01,346.355785
2016-01-01,363.851947
2017-01-01,391.306704
2018-01-01,428.288843
2019-01-01,459.468657
2020-01-01,494.459250
