date,value
1870-01-01,4.673000
1871-01-01,4.386000
1872-01-01,4.505000
1873-01-01,4.310000
1874-01-01,3.937000
1875-01-01,3.968000
1876-01-01,4.000000
1877-01-01,3.953000
1878-01-01,4.000000
1879-01-01,3.817000
1880-01-01,3.840000
1881-01-01,3.720000
1882-01-01,3.750000
1883-01-01,3.840000
1884-01-01,3.750000
1885-01-01,3.600000
1886-01-01,3.360000
1887-01-01,3.380000
1888-01-01,3.250000
1889-01-01,2.990000
1890-01-01,3.190000
1891-01-01,3.150000
1892-01-01,3.010000
1893-01-01,2.960000
1894-01-01,2.660000
1895-01-01,2.690000
1896-01-01,2.800000
1897-01-01,2.840000
1898-01-01,2.880000
1899-01-01,3.140000
1900-01-01,3.290000
1901-01-01,3.240000
1902-01-01,3.070000
1903-01-01,3.110000
1904-01-01,3.120000
1905-01-01,3.160000
1906-01-01,3.170000
1907-01-01,3.310000
1908-01-01,3.310000
1909-01-01,3.270000
1910-01-01,3.250000
1911-01-01,3.520000
1912-01-01,3.710000
1913-01-01,3.500000
1914-01-01,3.704000
1915-01-01,3.799000
1916-01-01,3.788000
1917-01-01,3.906000
1918-01-01,4.237000
1919-01-01,6.290000
1920-01-01,6.860000
1921-01-01,5.880000
1922-01-01,5.810000
1923-01-01,6.030000
1924-01-01,5.600000
1925-01-01,4.540000
1926-01-01,4.010000
1927-01-01,4.020000
1928-01-01,3.900000
1929-01-01,4.010000
1930-01-01,3.700000
1931-01-01,4.560000
1932-01-01,3.550000
1933-01-01,3.540000
1934-01-01,3.230000
1935-01-01,3.390000
1936-01-01,3.080000
1937-01-01,3.070000
1938-01-01,2.970000
1939-01-01,3.590000
1940-01-01,3.400000
1941-01-01,3.250000
1942-01-01,3.100000
1943-01-01,3.010000
1944-01-01,2.930000
1946-01-01,3.010000
1947-01-01,3.090000
1948-01-01,3.270000
1949-01-01,3.270000
1950-01-01,3.280000
1951-01-01,3.880000
1952-01-01,3.950000
1953-01-01,3.430000
1954-01-01,3.310000
1955-01-01,3.260000
1956-01-01,3.840000
1957-01-01,4.580000
1958-01-01,4.310000
1959-01-01,4.120000
1960-01-01,4.210000
1961-01-01,3.910000
1962-01-01,4.210000
1963-01-01,4.230000
1964-01-01,4.920000
1965-01-01,5.500000
1966-01-01,6.590000
1967-01-01,6.180000
1968-01-01,6.490000
1969-01-01,7.510000
1970-01-01,8.220000
1971-01-01,7.350000
1972-01-01,6.880000
1973-01-01,7.920000
1974-01-01,9.830000
1975-01-01,8.790000
1976-01-01,8.950000
1977-01-01,8.100000
1978-01-01,7.740000
1979-01-01,8.780000
1980-01-01,10.210000
1981-01-01,11.552500
1982-01-01,10.097500
1983-01-01,8.610830
1984-01-01,8.328330
1985-01-01,7.344170
1986-01-01,6.313330
1987-01-01,6.402500
1988-01-01,6.415830
1989-01-01,7.216670
1990-01-01,8.920830
1991-01-01,8.739170
1992-01-01,8.100830
1993-01-01,6.360000
1994-01-01,6.862500
1995-01-01,6.899170
1996-01-01,6.150000
1997-01-01,5.575830
1998-01-01,4.630000
1999-01-01,4.629170
2000-01-01,5.404170
2001-01-01,4.957500
2002-01-01,4.889170
2003-01-01,4.122500
2004-01-01,4.094170
2005-01-01,3.374170
2006-01-01,3.780830
2007-01-01,4.286670
2008-01-01,4.227500
2009-01-01,3.686670
2010-01-01,2.991670
2011-01-01,2.989170
2012-01-01,1.932750
2013-01-01,1.961333
2014-01-01,1.454250
2015-01-01,0.690167
2016-01-01,0.292083
2017-01-01,0.522083
2018-01-01,0.576667
2019-01-01,-0.070000
2020-01-01,-0.376667
