date,value
1870-01-01,0.027531
1871-01-01,0.033718
1872-01-01,0.071887
1873-01-01,0.054941
1874-01-01,0.068346
1875-01-01,0.058053
1876-01-01,0.034956
1877-01-01,0.042601
1878-01-01,0.031037
1879-01-01,0.043771
1880-01-01,0.038427
1881-01-01,0.042458
1882-01-01,0.046870
1883-01-01,0.025839
1884-01-01,0.041050
1885-01-01,0.037357
1886-01-01,0.073823
1887-01-01,0.026129
1888-01-01,0.044367
1889-01-01,0.049572
1890-01-01,0.038409
1891-01-01,0.016582
1892-01-01,0.032240
1893-01-01,0.051717
1894-01-01,0.063318
1895-01-01,0.046128
1896-01-01,0.009027
1897-01-01,0.009399
1898-01-01,0.014531
1899-01-01,0.015650
1900-01-01,0.013705
1901-01-01,0.045748
1902-01-01,0.026321
1903-01-01,0.017575
1904-01-01,0.033422
1905-01-01,0.013817
1906-01-01,0.028236
1907-01-01,0.025597
1908-01-01,0.033552
1909-01-01,0.026192
1910-01-01,0.030355
1911-01-01,-0.009189
1912-01-01,0.017429
1913-01-01,0.036473
1914-01-01,0.029119
1915-01-01,-0.015707
1916-01-01,0.061132
1917-01-01,-0.000908
1918-01-01,0.003828
1919-01-01,-0.007376
1920-01-01,0.007109
1921-01-01,0.071879
1922-01-01,0.080193
1923-01-01,0.026025
1924-01-01,0.064911
1925-01-01,0.085136
1926-01-01,0.041212
1927-01-01,0.034538
1928-01-01,0.054503
1929-01-01,0.029909
1930-01-01,0.061703
1931-01-01,-0.041705
1932-01-01,0.123788
1933-01-01,0.006940
1934-01-01,0.066496
1935-01-01,0.005905
1936-01-01,0.066321
1937-01-01,0.017597
1938-01-01,0.017684
1939-01-01,-0.086992
1940-01-01,0.063986
1941-01-01,0.073277
1942-01-01,0.048182
1943-01-01,0.039732
1944-01-01,0.011108
1945-01-01,0.060725
1946-01-01,0.016883
1947-01-01,0.020806
1948-01-01,0.019556
1949-01-01,0.024144
1950-01-01,0.017804
1951-01-01,-0.023857
1952-01-01,0.070212
1953-01-01,0.057734
1954-01-01,0.040071
1955-01-01,0.011773
1956-01-01,-0.021587
1957-01-01,-0.037783
1958-01-01,0.045693
1959-01-01,0.026989
1960-01-01,0.056022
1961-01-01,0.048504
1962-01-01,0.025006
1963-01-01,0.001922
1964-01-01,0.020600
1965-01-01,-0.002780
1966-01-01,0.035785
1967-01-01,0.047194
1968-01-01,0.018500
1969-01-01,0.023944
1970-01-01,0.105227
1971-01-01,0.059863
1972-01-01,0.018052
1973-01-01,-0.010964
1974-01-01,0.126802
1975-01-01,0.081557
1976-01-01,0.088465
1977-01-01,0.074772
1978-01-01,0.056737
1979-01-01,0.062008
1980-01-01,0.063276
1981-01-01,0.080218
1982-01-01,0.220683
1983-01-01,0.039388
1984-01-01,0.110411
1985-01-01,0.079572
1986-01-01,0.067131
1987-01-01,0.063462
1988-01-01,0.055258
1989-01-01,0.025337
1990-01-01,0.043070
1991-01-01,0.108394
1992-01-01,0.134359
1993-01-01,0.128916
1994-01-01,-0.015838
1995-01-01,0.128885
1996-01-01,0.057712
1997-01-01,0.060333
1998-01-01,0.098472
1999-01-01,-0.022282
2000-01-01,0.068478
2001-01-01,0.045385
2002-01-01,0.077717
2003-01-01,0.034800
2004-01-01,0.061668
2005-01-01,0.045849
2006-01-01,0.011529
2007-01-01,0.027499
2008-01-01,0.084607
2009-01-01,0.028676
2010-01-01,0.038268
2011-01-01,0.071442
2012-01-01,0.059450
2013-01-01,-0.013692
2014-01-01,0.091712
2015-01-01,-0.000843
2016-01-01,0.048530
2017-01-01,-0.000802
2018-01-01,0.009272
2019-01-01,0.030934
2020-01-01,0.016912
