date,value
1870-01-01,0.035496
1871-01-01,0.167858
1872-01-01,0.059398
1873-01-01,0.031006
1874-01-01,0.066745
1875-01-01,0.038557
1876-01-01,0.019284
1877-01-01,0.041451
1878-01-01,0.026042
1879-01-01,0.137598
1880-01-01,0.063107
1881-01-01,0.037976
1882-01-01,0.037809
1883-01-01,0.057748
1884-01-01,0.072702
1885-01-01,0.052663
1886-01-01,0.050519
1887-01-01,0.044257
1888-01-01,0.043385
1889-01-01,0.054189
1890-01-01,0.036469
1891-01-01,0.002751
1892-01-01,0.050385
1893-01-01,0.031488
1894-01-01,0.077168
1895-01-01,0.038685
1896-01-01,0.043457
1897-01-01,0.031418
1898-01-01,0.014923
1899-01-01,-0.011217
1900-01-01,0.027005
1901-01-01,0.087704
1902-01-01,0.068784
1903-01-01,0.018729
1904-01-01,0.012219
1905-01-01,0.034276
1906-01-01,0.038706
1907-01-01,-0.024243
1908-01-01,0.068321
1909-01-01,0.056047
1910-01-01,0.005136
1911-01-01,0.015226
1912-01-01,-0.011715
1913-01-01,0.027203
1914-01-01,0.011808
1915-01-01,-0.096212
1916-01-01,0.054292
1917-01-01,0.025614
1918-01-01,0.030878
1919-01-01,-0.036077
1920-01-01,-0.075221
1921-01-01,0.082293
1922-01-01,0.120249
1923-01-01,0.004473
1924-01-01,0.038381
1925-01-01,0.090724
1926-01-01,0.094691
1927-01-01,0.014822
1928-01-01,0.084605
1929-01-01,0.056707
1930-01-01,0.098573
1931-01-01,-0.014602
1932-01-01,0.132680
1933-01-01,0.020800
1934-01-01,0.120951
1935-01-01,0.030279
1936-01-01,0.031276
1937-01-01,0.088263
1938-01-01,0.070065
1939-01-01,-0.126825
1940-01-01,0.138479
1941-01-01,0.163955
1942-01-01,0.023012
1943-01-01,0.057219
1944-01-01,0.021051
1945-01-01,0.076741
1946-01-01,0.052559
1947-01-01,0.019907
1948-01-01,0.035462
1949-01-01,0.020035
1950-01-01,-0.009365
1951-01-01,0.006240
1952-01-01,0.035148
1953-01-01,0.016823
1954-01-01,0.010690
1955-01-01,-0.082634
1956-01-01,0.041903
1957-01-01,0.014510
1958-01-01,0.059392
1959-01-01,0.053564
1960-01-01,0.044060
1961-01-01,0.028320
1962-01-01,0.053001
1963-01-01,0.067510
1964-01-01,0.038237
1965-01-01,0.034423
1966-01-01,0.047921
1967-01-01,0.059022
1968-01-01,0.050729
1969-01-01,-0.048364
1970-01-01,0.056725
1971-01-01,0.050648
1972-01-01,0.074038
1973-01-01,0.039431
1974-01-01,-0.034527
1975-01-01,0.067052
1976-01-01,0.079907
1977-01-01,-0.010585
1978-01-01,0.092662
1979-01-01,-0.047196
1980-01-01,0.090935
1981-01-01,-0.061703
1982-01-01,0.147219
1983-01-01,0.193370
1984-01-01,0.145991
1985-01-01,0.070758
1986-01-01,0.140486
1987-01-01,0.151648
1988-01-01,0.212636
1989-01-01,0.155264
1990-01-01,0.123924
1991-01-01,0.151979
1992-01-01,0.138361
1993-01-01,0.327367
1994-01-01,-0.102576
1995-01-01,0.194150
1996-01-01,0.095547
1997-01-01,0.112612
1998-01-01,0.065136
1999-01-01,-0.004694
2000-01-01,0.074287
2001-01-01,0.038366
2002-01-01,0.102051
2003-01-01,0.155755
2004-01-01,0.094907
2005-01-01,0.072417
2006-01-01,-0.005389
2007-01-01,0.011821
2008-01-01,0.124456
2009-01-01,0.018878
2010-01-01,0.081903
2011-01-01,0.153011
2012-01-01,0.061673
2013-01-01,-0.048399
2014-01-01,0.159511
2015-01-01,0.025012
2016-01-01,-0.001055
2017-01-01,0.022427
2018-01-01,-0.004146
2019-01-01,0.023333
2020-01-01,0.040005
