date,value
1881-01-01,0.117377
1882-01-01,0.098133
1883-01-01,0.044251
1884-01-01,-0.013830
1885-01-01,0.194698
1886-01-01,-0.019270
1887-01-01,0.122249
1888-01-01,0.031272
1889-01-01,0.051877
1890-01-01,0.136752
1891-01-01,0.135851
1892-01-01,0.087241
1893-01-01,0.154615
1894-01-01,0.007580
1895-01-01,0.108586
1896-01-01,0.121305
1897-01-01,0.070978
1898-01-01,0.134190
1899-01-01,0.070805
1900-01-01,-0.051219
1901-01-01,0.030106
1902-01-01,0.080806
1903-01-01,0.039523
1904-01-01,-0.009007
1905-01-01,0.006437
1906-01-01,0.165373
1907-01-01,0.022573
1908-01-01,0.080561
1909-01-01,0.064463
1910-01-01,0.124839
1911-01-01,0.076912
1912-01-01,0.089512
1913-01-01,0.097562
1914-01-01,0.106138
1915-01-01,0.053639
1916-01-01,0.230652
1917-01-01,0.190305
1918-01-01,0.132637
1919-01-01,0.066940
1920-01-01,0.101615
1921-01-01,-0.096106
1922-01-01,0.106353
1923-01-01,0.085451
1924-01-01,0.052576
1925-01-01,0.100314
1926-01-01,0.008220
1927-01-01,0.046245
1928-01-01,0.099970
1929-01-01,0.086066
1930-01-01,0.023694
1931-01-01,0.061889
1932-01-01,0.074968
1933-01-01,0.083376
1934-01-01,0.034219
1935-01-01,0.082341
1936-01-01,0.158751
1937-01-01,0.108213
1938-01-01,0.038908
1939-01-01,0.117371
1940-01-01,0.080066
1941-01-01,0.128485
1942-01-01,0.021827
1943-01-01,0.047933
1944-01-01,0.054036
1945-01-01,0.115961
1946-01-01,0.028833
1947-01-01,0.077833
1948-01-01,0.048406
1949-01-01,0.089106
1950-01-01,0.077342
1951-01-01,0.035290
1952-01-01,0.088705
1953-01-01,0.135672
1954-01-01,-0.012215
1955-01-01,0.288877
1956-01-01,0.085996
1957-01-01,0.057651
1958-01-01,0.113409
1959-01-01,0.051908
1960-01-01,0.128700
1961-01-01,0.091532
1962-01-01,0.102718
1963-01-01,0.137793
1964-01-01,0.105633
1965-01-01,0.141203
1966-01-01,0.092420
1967-01-01,0.097262
1968-01-01,0.111822
1969-01-01,0.123633
1970-01-01,0.194093
1971-01-01,0.086767
1972-01-01,0.170549
1973-01-01,0.138592
1974-01-01,0.067766
1975-01-01,0.154256
1976-01-01,0.102416
1977-01-01,0.200908
1978-01-01,0.158598
1979-01-01,0.124586
1980-01-01,0.138219
1981-01-01,0.281741
1982-01-01,0.239434
1983-01-01,0.166511
1984-01-01,0.152471
1985-01-01,0.142450
1986-01-01,0.267625
1987-01-01,0.220816
1988-01-01,0.092830
1989-01-01,0.043609
1990-01-01,0.023676
1991-01-01,0.001090
1992-01-01,0.014525
1993-01-01,0.218320
1994-01-01,0.162173
1995-01-01,0.149999
1996-01-01,0.188249
1997-01-01,0.189239
1998-01-01,0.113846
1999-01-01,0.225132
2000-01-01,0.158340
2001-01-01,0.067550
2002-01-01,0.054956
2003-01-01,0.148734
2004-01-01,0.208648
2005-01-01,0.207878
2006-01-01,0.207376
2007-01-01,0.125518
2008-01-01,-0.073723
2009-01-01,0.178639
2010-01-01,0.131720
2011-01-01,0.076749
2012-01-01,0.109011
2013-01-01,0.101270
2014-01-01,0.064561
2015-01-01,0.079493
2016-01-01,0.110415
2017-01-01,0.104556
2018-01-01,0.025756
2019-01-01,0.078522
