date,value
1870-01-01,2.538774
1871-01-01,2.564182
1872-01-01,2.722437
1873-01-01,2.834820
1874-01-01,2.981607
1875-01-01,2.924269
1876-01-01,2.843995
1877-01-01,2.866930
1878-01-01,2.729317
1879-01-01,2.557302
1880-01-01,2.651337
1881-01-01,2.655924
1882-01-01,2.665098
1883-01-01,2.688034
1884-01-01,2.584824
1885-01-01,2.474734
1886-01-01,2.376112
1887-01-01,2.323360
1888-01-01,2.341708
1889-01-01,2.376112
1890-01-01,2.410515
1891-01-01,2.525192
1892-01-01,2.486202
1893-01-01,2.357763
1894-01-01,2.293544
1895-01-01,2.293544
1896-01-01,2.339415
1897-01-01,2.298131
1898-01-01,2.362350
1899-01-01,2.488495
1900-01-01,2.593998
1901-01-01,2.543540
1902-01-01,2.566476
1903-01-01,2.626108
1904-01-01,2.614640
1905-01-01,2.692621
1906-01-01,2.674272
1907-01-01,2.740785
1908-01-01,2.733904
1909-01-01,2.658218
1910-01-01,2.754546
1911-01-01,2.811116
1912-01-01,2.985180
1913-01-01,3.098321
1914-01-01,3.133132
1915-01-01,3.585697
1916-01-01,4.273245
1917-01-01,5.308920
1918-01-01,7.458596
1919-01-01,7.976434
1920-01-01,9.294960
1921-01-01,8.587321
1922-01-01,7.155143
1923-01-01,6.763583
1924-01-01,7.399370
1925-01-01,7.535641
1926-01-01,6.380872
1927-01-01,5.771190
1928-01-01,5.378745
1929-01-01,5.140712
1930-01-01,4.997804
1931-01-01,4.731013
1932-01-01,4.631021
1933-01-01,4.564213
1934-01-01,4.575274
1935-01-01,4.676150
1936-01-01,4.797821
1937-01-01,5.139385
1938-01-01,5.309282
1939-01-01,5.376533
1940-01-01,6.273802
1941-01-01,7.353798
1942-01-01,7.795353
1943-01-01,7.986045
1944-01-01,8.084267
1945-01-01,8.230272
1946-01-01,8.435564
1947-01-01,8.477596
1948-01-01,8.420079
1949-01-01,8.430570
1950-01-01,8.871991
1951-01-01,10.277659
1952-01-01,11.202924
1953-01-01,11.428794
1954-01-01,11.935568
1955-01-01,12.037611
1956-01-01,12.491644
1957-01-01,12.835609
1958-01-01,13.461624
1959-01-01,13.756287
1960-01-01,13.799856
1961-01-01,14.155286
1962-01-01,14.897103
1963-01-01,15.288076
1964-01-01,16.149133
1965-01-01,16.835916
1966-01-01,17.391992
1967-01-01,18.155593
1968-01-01,18.796514
1969-01-01,19.374263
1970-01-01,21.425993
1971-01-01,22.762727
1972-01-01,24.405546
1973-01-01,26.222929
1974-01-01,28.693136
1975-01-01,32.045730
1976-01-01,34.984630
1977-01-01,38.155485
1978-01-01,41.266559
1979-01-01,43.236132
1980-01-01,47.947230
1981-01-01,54.500234
1982-01-01,60.681974
1983-01-01,65.785964
1984-01-01,69.916736
1985-01-01,73.878095
1986-01-01,79.187543
1987-01-01,86.097394
1988-01-01,91.864614
1989-01-01,96.049454
1990-01-01,100.000000
1991-01-01,103.420683
1992-01-01,105.842915
1993-01-01,108.247125
1994-01-01,109.761021
1995-01-01,112.457196
1996-01-01,113.873770
1997-01-01,116.811448
1998-01-01,119.717862
1999-01-01,122.511046
2000-01-01,126.291820
2001-01-01,130.102521
2002-01-01,131.778431
2003-01-01,135.040471
2004-01-01,135.668938
2005-01-01,137.733899
2006-01-01,140.946060
2007-01-01,141.973553
2008-01-01,147.320505
2009-01-01,150.512716
2010-01-01,154.123904
2011-01-01,156.129011
2012-01-01,157.236309
2013-01-01,160.588129
2014-01-01,163.840194
2015-01-01,167.401503
2016-01-01,173.337019
2017-01-01,176.543754
2018-01-01,181.428131
2019-01-01,185.374193
2020-01-01,187.737714
