date,value
1881-01-01,0.074897
1882-01-01,0.020856
1883-01-01,0.073854
1884-01-01,0.048219
1885-01-01,0.046066
1886-01-01,0.005631
1887-01-01,-0.008618
1888-01-01,0.078455
1889-01-01,0.203482
1890-01-01,0.111664
1891-01-01,0.003350
1892-01-01,-0.037159
1893-01-01,-0.024247
1894-01-01,0.044173
1895-01-01,0.063156
1896-01-01,0.117288
1897-01-01,0.083865
1898-01-01,0.040413
1899-01-01,-0.008733
1900-01-01,0.001383
1901-01-01,0.017377
1902-01-01,0.014985
1903-01-01,-0.037582
1904-01-01,0.007478
1905-01-01,0.108254
1906-01-01,0.161726
1907-01-01,0.062408
1908-01-01,0.037951
1909-01-01,0.078100
1910-01-01,0.085700
1911-01-01,0.093956
1912-01-01,0.009024
1913-01-01,0.036160
1914-01-01,0.021544
1915-01-01,0.181145
1916-01-01,0.326909
1917-01-01,0.224701
1918-01-01,-0.052890
1919-01-01,-0.118560
1920-01-01,-0.196593
1921-01-01,-0.269025
1922-01-01,0.057573
1923-01-01,0.120865
1924-01-01,0.206819
1925-01-01,-0.037153
1926-01-01,-0.044034
1927-01-01,0.026902
1928-01-01,0.104363
1929-01-01,0.083056
1930-01-01,-0.058778
1931-01-01,-0.123246
1932-01-01,0.029524
1933-01-01,0.221376
1934-01-01,0.116636
1935-01-01,0.320000
1936-01-01,0.353171
1937-01-01,0.124931
1938-01-01,0.017147
1939-01-01,0.037782
1940-01-01,0.157181
1941-01-01,0.217219
1942-01-01,0.230505
1943-01-01,0.064932
1944-01-01,-0.022723
1945-01-01,-0.106390
1946-01-01,-0.026080
1947-01-01,0.090980
1948-01-01,0.109698
1949-01-01,-0.040500
1950-01-01,0.181714
1951-01-01,0.123777
1952-01-01,-0.020789
1953-01-01,-0.011516
1954-01-01,0.293337
1955-01-01,0.087909
1956-01-01,0.177820
1957-01-01,-0.117360
1958-01-01,-0.034460
1959-01-01,0.131419
1960-01-01,0.101488
1961-01-01,0.088077
1962-01-01,-0.190310
1963-01-01,0.107374
1964-01-01,0.029818
1965-01-01,-0.029922
1966-01-01,-0.085722
1967-01-01,-0.033899
1968-01-01,0.141813
1969-01-01,0.217633
1970-01-01,0.362872
1971-01-01,-0.187553
1972-01-01,0.169514
1973-01-01,0.438819
1974-01-01,-0.325425
1975-01-01,-0.117959
1976-01-01,0.120482
1977-01-01,-0.216845
1978-01-01,0.094714
1979-01-01,0.613498
1980-01-01,-0.046890
1981-01-01,0.209413
1982-01-01,-0.121147
1983-01-01,0.928038
1984-01-01,0.322836
1985-01-01,0.357907
1986-01-01,-0.066226
1987-01-01,-0.108231
1988-01-01,0.337555
1989-01-01,0.597807
1990-01-01,-0.078000
1991-01-01,-0.117085
1992-01-01,-0.047744
1993-01-01,0.593632
1994-01-01,0.114064
1995-01-01,0.167988
1996-01-01,0.334427
1997-01-01,0.367764
1998-01-01,-0.268903
1999-01-01,0.476647
2000-01-01,0.042733
2001-01-01,-0.146126
2002-01-01,-0.310863
2003-01-01,0.483986
2004-01-01,0.384453
2005-01-01,0.404774
2006-01-01,0.324351
2007-01-01,0.114611
2008-01-01,-0.540615
2009-01-01,0.647818
2010-01-01,0.183475
2011-01-01,-0.124557
2012-01-01,0.153630
2013-01-01,0.235921
2014-01-01,0.049521
2015-01-01,0.059406
2016-01-01,0.182000
2017-01-01,0.186000
2018-01-01,-0.000200
2019-01-01,0.147200
2020-01-01,0.034600
