date,value
1871-01-01,0.142210
1872-01-01,0.218699
1873-01-01,-0.094906
1874-01-01,0.584106
1875-01-01,0.111618
1876-01-01,0.180069
1877-01-01,0.065951
1878-01-01,0.157713
1879-01-01,-0.069853
1880-01-01,0.009587
1881-01-01,0.127661
1882-01-01,0.107322
1883-01-01,0.042654
1884-01-01,-0.023011
1885-01-01,0.216364
1886-01-01,-0.026342
1887-01-01,0.136610
1888-01-01,0.028569
1889-01-01,0.045028
1890-01-01,0.146404
1891-01-01,0.152877
1892-01-01,0.100240
1893-01-01,0.181666
1894-01-01,-0.000052
1895-01-01,0.120680
1896-01-01,0.131785
1897-01-01,0.073864
1898-01-01,0.158279
1899-01-01,0.085682
1900-01-01,-0.068026
1901-01-01,0.025934
1902-01-01,0.091748
1903-01-01,0.048781
1904-01-01,-0.016910
1905-01-01,-0.010281
1906-01-01,0.190205
1907-01-01,0.019197
1908-01-01,0.093919
1909-01-01,0.065088
1910-01-01,0.153056
1911-01-01,0.082270
1912-01-01,0.120021
1913-01-01,0.120091
1914-01-01,0.135489
1915-01-01,0.036592
1916-01-01,0.224297
1917-01-01,0.192376
1918-01-01,0.198285
1919-01-01,0.121596
1920-01-01,0.162713
1921-01-01,-0.102713
1922-01-01,0.118411
1923-01-01,0.095092
1924-01-01,0.035133
1925-01-01,0.124566
1926-01-01,-0.003274
1927-01-01,0.056300
1928-01-01,0.112344
1929-01-01,0.098919
1930-01-01,0.019962
1931-01-01,0.100420
1932-01-01,0.076401
1933-01-01,0.090415
1934-01-01,0.014090
1935-01-01,0.074181
1936-01-01,0.171202
1937-01-01,0.117044
1938-01-01,0.039347
1939-01-01,0.156477
1940-01-01,0.072748
1941-01-01,0.128693
1942-01-01,-0.002207
1943-01-01,0.049008
1944-01-01,0.074598
1945-01-01,0.163849
1946-01-01,0.032085
1947-01-01,0.102484
1948-01-01,0.051197
1949-01-01,0.124635
1950-01-01,0.086195
1951-01-01,0.032987
1952-01-01,0.108576
1953-01-01,0.170491
1954-01-01,-0.042307
1955-01-01,0.383284
1956-01-01,0.089710
1957-01-01,0.086255
1958-01-01,0.147180
1959-01-01,0.048285
1960-01-01,0.160950
1961-01-01,0.111267
1962-01-01,0.155956
1963-01-01,0.167317
1964-01-01,0.135108
1965-01-01,0.192147
1966-01-01,0.126219
1967-01-01,0.124247
1968-01-01,0.128855
1969-01-01,0.149264
1970-01-01,0.211569
1971-01-01,0.123822
1972-01-01,0.200517
1973-01-01,0.119739
1974-01-01,0.113326
1975-01-01,0.195479
1976-01-01,0.114135
1977-01-01,0.282480
1978-01-01,0.194218
1979-01-01,0.146111
1980-01-01,0.170059
1981-01-01,0.380408
1982-01-01,0.292212
1983-01-01,0.117757
1984-01-01,0.146045
1985-01-01,0.133998
1986-01-01,0.360545
1987-01-01,0.281223
1988-01-01,0.040438
1989-01-01,-0.089372
1990-01-01,0.020719
1991-01-01,-0.009712
1992-01-01,-0.003385
1993-01-01,0.154127
1994-01-01,0.228494
1995-01-01,0.154726
1996-01-01,0.178800
1997-01-01,0.157311
1998-01-01,0.210995
1999-01-01,0.192335
2000-01-01,0.209705
2001-01-01,0.131360
2002-01-01,0.121941
2003-01-01,0.073091
2004-01-01,0.196243
2005-01-01,0.167764
2006-01-01,0.215457
2007-01-01,0.164759
2008-01-01,-0.004002
2009-01-01,0.057677
2010-01-01,0.131444
2011-01-01,0.133586
2012-01-01,0.108440
2013-01-01,0.078611
2014-01-01,0.064908
2015-01-01,0.098495
2016-01-01,0.106250
2017-01-01,0.084118
2018-01-01,0.047764
2019-01-01,0.058200
2020-01-01,0.072474
