date,value
1870-01-01,5.390000
1871-01-01,4.990000
1872-01-01,4.630000
1873-01-01,4.710000
1874-01-01,4.590000
1875-01-01,4.620000
1876-01-01,4.740000
1877-01-01,4.780000
1878-01-01,4.830000
1879-01-01,4.600000
1880-01-01,4.320000
1881-01-01,4.100000
1882-01-01,4.100000
1883-01-01,4.110000
1884-01-01,4.070000
1885-01-01,3.990000
1886-01-01,3.870000
1887-01-01,3.770000
1888-01-01,3.580000
1889-01-01,3.450000
1890-01-01,3.450000
1891-01-01,3.580000
1892-01-01,3.550000
1893-01-01,3.530000
1894-01-01,3.410000
1895-01-01,3.170000
1896-01-01,3.080000
1897-01-01,3.070000
1898-01-01,3.140000
1899-01-01,3.440000
1900-01-01,3.700000
1901-01-01,3.560000
1902-01-01,3.340000
1903-01-01,3.310000
1904-01-01,3.530000
1905-01-01,3.600000
1906-01-01,3.550000
1907-01-01,3.690000
1908-01-01,3.760000
1909-01-01,3.630000
1910-01-01,3.690000
1911-01-01,3.800000
1912-01-01,4.020000
1913-01-01,4.210000
1914-01-01,4.290000
1915-01-01,5.060000
1916-01-01,5.170000
1917-01-01,5.120000
1918-01-01,5.580000
1919-01-01,5.780000
1920-01-01,6.770000
1921-01-01,6.020000
1922-01-01,5.050000
1923-01-01,5.350000
1924-01-01,5.850000
1925-01-01,5.680000
1926-01-01,5.340000
1927-01-01,5.250000
1928-01-01,5.260000
1929-01-01,5.360000
1930-01-01,5.050000
1931-01-01,5.010000
1932-01-01,5.020000
1933-01-01,4.950000
1934-01-01,4.670000
1935-01-01,4.440000
1936-01-01,4.520000
1937-01-01,4.460000
1938-01-01,4.330000
1939-01-01,4.580000
1940-01-01,5.390000
1941-01-01,3.670000
1942-01-01,3.540000
1943-01-01,3.520000
1944-01-01,3.450000
1945-01-01,3.420000
1946-01-01,2.960000
1947-01-01,2.500000
1948-01-01,2.490000
1949-01-01,2.500000
1950-01-01,2.580000
1951-01-01,2.740000
1952-01-01,2.740000
1953-01-01,2.720000
1954-01-01,2.690000
1955-01-01,2.990000
1956-01-01,4.310000
1957-01-01,4.570000
1958-01-01,4.760000
1959-01-01,4.610000
1960-01-01,4.580000
1961-01-01,4.640000
1962-01-01,4.950000
1963-01-01,4.960000
1964-01-01,4.940000
1965-01-01,4.990000
1966-01-01,5.000000
1967-01-01,5.000000
1968-01-01,4.940000
1969-01-01,5.120000
1970-01-01,6.290000
1971-01-01,6.400000
1972-01-01,6.270000
1973-01-01,6.190000
1974-01-01,7.100000
1975-01-01,7.290000
1976-01-01,7.250000
1977-01-01,7.390000
1978-01-01,8.450000
1979-01-01,8.590000
1980-01-01,10.267500
1981-01-01,12.312500
1982-01-01,13.203300
1983-01-01,12.858300
1984-01-01,12.160000
1985-01-01,12.581700
1986-01-01,13.471700
1987-01-01,13.560000
1988-01-01,12.970000
1989-01-01,10.835000
1990-01-01,10.718300
1991-01-01,9.867500
1992-01-01,9.784170
1993-01-01,6.516670
1994-01-01,7.126670
1995-01-01,6.823330
1996-01-01,5.943330
1997-01-01,5.125830
1998-01-01,5.354170
1999-01-01,5.382500
2000-01-01,6.379170
2001-01-01,6.310000
2002-01-01,6.327500
2003-01-01,4.501670
2004-01-01,3.600000
2005-01-01,3.280000
2006-01-01,3.934170
2007-01-01,4.780830
2008-01-01,4.346670
2009-01-01,3.315830
2010-01-01,2.770830
2011-01-01,2.556670
2012-01-01,1.574170
2013-01-01,1.919167
2014-01-01,1.760000
2015-01-01,0.967500
2016-01-01,0.840000
2017-01-01,1.065833
2018-01-01,1.439167
2019-01-01,1.285000
2020-01-01,0.555833
