date,value
1881-01-01,0.125129
1882-01-01,0.103411
1883-01-01,0.044070
1884-01-01,-0.019660
1885-01-01,0.207917
1886-01-01,-0.024772
1887-01-01,0.129527
1888-01-01,0.030812
1889-01-01,0.052774
1890-01-01,0.144541
1891-01-01,0.144966
1892-01-01,0.090448
1893-01-01,0.166755
1894-01-01,0.003187
1895-01-01,0.116095
1896-01-01,0.130586
1897-01-01,0.074860
1898-01-01,0.145927
1899-01-01,0.076775
1900-01-01,-0.061659
1901-01-01,0.025170
1902-01-01,0.084716
1903-01-01,0.040838
1904-01-01,-0.014687
1905-01-01,0.001385
1906-01-01,0.187116
1907-01-01,0.025150
1908-01-01,0.084657
1909-01-01,0.067321
1910-01-01,0.141000
1911-01-01,0.084399
1912-01-01,0.099385
1913-01-01,0.104951
1914-01-01,0.115540
1915-01-01,0.061890
1916-01-01,0.243229
1917-01-01,0.199746
1918-01-01,0.140803
1919-01-01,0.073319
1920-01-01,0.113260
1921-01-01,-0.122034
1922-01-01,0.111310
1923-01-01,0.098108
1924-01-01,0.054191
1925-01-01,0.108594
1926-01-01,-0.007471
1927-01-01,0.053036
1928-01-01,0.111415
1929-01-01,0.097072
1930-01-01,0.011521
1931-01-01,0.078598
1932-01-01,0.072614
1933-01-01,0.102159
1934-01-01,0.023094
1935-01-01,0.096876
1936-01-01,0.189118
1937-01-01,0.117908
1938-01-01,0.037343
1939-01-01,0.145834
1940-01-01,0.079892
1941-01-01,0.137353
1942-01-01,0.021914
1943-01-01,0.050683
1944-01-01,0.064690
1945-01-01,0.139007
1946-01-01,0.027050
1947-01-01,0.101626
1948-01-01,0.056203
1949-01-01,0.111431
1950-01-01,0.093643
1951-01-01,0.039823
1952-01-01,0.099289
1953-01-01,0.157841
1954-01-01,-0.017000
1955-01-01,0.358061
1956-01-01,0.098042
1957-01-01,0.066625
1958-01-01,0.131864
1959-01-01,0.055703
1960-01-01,0.154827
1961-01-01,0.108612
1962-01-01,0.119499
1963-01-01,0.161467
1964-01-01,0.124059
1965-01-01,0.168515
1966-01-01,0.105841
1967-01-01,0.110939
1968-01-01,0.129972
1969-01-01,0.155491
1970-01-01,0.226242
1971-01-01,0.096270
1972-01-01,0.197704
1973-01-01,0.160894
1974-01-01,0.082570
1975-01-01,0.178527
1976-01-01,0.114451
1977-01-01,0.265671
1978-01-01,0.191223
1979-01-01,0.171001
1980-01-01,0.159411
1981-01-01,0.371973
1982-01-01,0.276303
1983-01-01,0.173718
1984-01-01,0.161500
1985-01-01,0.158730
1986-01-01,0.316693
1987-01-01,0.245164
1988-01-01,0.075528
1989-01-01,0.024893
1990-01-01,0.006298
1991-01-01,-0.022586
1992-01-01,-0.008210
1993-01-01,0.224433
1994-01-01,0.208315
1995-01-01,0.157158
1996-01-01,0.211166
1997-01-01,0.208016
1998-01-01,0.123645
1999-01-01,0.256688
2000-01-01,0.173678
2001-01-01,0.070455
2002-01-01,0.050234
2003-01-01,0.160569
2004-01-01,0.242806
2005-01-01,0.240128
2006-01-01,0.253158
2007-01-01,0.147180
2008-01-01,-0.113166
2009-01-01,0.210174
2010-01-01,0.146766
2011-01-01,0.075210
2012-01-01,0.118364
2013-01-01,0.117115
2014-01-01,0.061161
2015-01-01,0.088682
2016-01-01,0.132864
2017-01-01,0.122833
2018-01-01,0.031176
2019-01-01,0.091595
