date,value
1870-01-01,0.037748
1871-01-01,0.101429
1872-01-01,0.044699
1873-01-01,0.032153
1874-01-01,0.053372
1875-01-01,0.042828
1876-01-01,0.034242
1877-01-01,0.044675
1878-01-01,0.038021
1879-01-01,0.091699
1880-01-01,0.049903
1881-01-01,0.036488
1882-01-01,0.038705
1883-01-01,0.046374
1884-01-01,0.053851
1885-01-01,0.043832
1886-01-01,0.042760
1887-01-01,0.037529
1888-01-01,0.036692
1889-01-01,0.039795
1890-01-01,0.033034
1891-01-01,0.020776
1892-01-01,0.046843
1893-01-01,0.035744
1894-01-01,0.055484
1895-01-01,0.033492
1896-01-01,0.036728
1897-01-01,0.033859
1898-01-01,0.023911
1899-01-01,0.019392
1900-01-01,0.040403
1901-01-01,0.067002
1902-01-01,0.052292
1903-01-01,0.030415
1904-01-01,0.024859
1905-01-01,0.033788
1906-01-01,0.037703
1907-01-01,0.006029
1908-01-01,0.053111
1909-01-01,0.045524
1910-01-01,0.020068
1911-01-01,0.025763
1912-01-01,0.016042
1913-01-01,0.036102
1914-01-01,0.024854
1915-01-01,-0.027256
1916-01-01,0.047346
1917-01-01,0.035507
1918-01-01,0.040439
1919-01-01,0.005311
1920-01-01,-0.009711
1921-01-01,0.068646
1922-01-01,0.079924
1923-01-01,0.023887
1924-01-01,0.044841
1925-01-01,0.065362
1926-01-01,0.066495
1927-01-01,0.022811
1928-01-01,0.062302
1929-01-01,0.047953
1930-01-01,0.065536
1931-01-01,0.009349
1932-01-01,0.082390
1933-01-01,0.023750
1934-01-01,0.072975
1935-01-01,0.027639
1936-01-01,0.028338
1937-01-01,0.059131
1938-01-01,0.047532
1939-01-01,-0.050263
1940-01-01,0.080890
1941-01-01,0.091977
1942-01-01,0.021506
1943-01-01,0.038610
1944-01-01,0.020525
1945-01-01,0.048370
1946-01-01,0.033780
1947-01-01,0.017453
1948-01-01,0.025231
1949-01-01,0.017517
1950-01-01,0.002817
1951-01-01,0.010620
1952-01-01,0.025074
1953-01-01,0.015911
1954-01-01,0.012845
1955-01-01,-0.031817
1956-01-01,0.031651
1957-01-01,0.018055
1958-01-01,0.040446
1959-01-01,0.037532
1960-01-01,0.032980
1961-01-01,0.025510
1962-01-01,0.038451
1963-01-01,0.045955
1964-01-01,0.031568
1965-01-01,0.030161
1966-01-01,0.037110
1967-01-01,0.043261
1968-01-01,0.039415
1969-01-01,-0.006782
1970-01-01,0.047562
1971-01-01,0.044424
1972-01-01,0.056069
1973-01-01,0.039866
1974-01-01,0.004936
1975-01-01,0.056876
1976-01-01,0.064253
1977-01-01,0.020158
1978-01-01,0.077981
1979-01-01,0.010752
1980-01-01,0.081118
1981-01-01,0.007099
1982-01-01,0.113910
1983-01-01,0.138585
1984-01-01,0.116596
1985-01-01,0.080279
1986-01-01,0.117343
1987-01-01,0.130274
1988-01-01,0.162018
1989-01-01,0.124132
1990-01-01,0.106712
1991-01-01,0.119490
1992-01-01,0.112430
1993-01-01,0.195784
1994-01-01,-0.031088
1995-01-01,0.117175
1996-01-01,0.066324
1997-01-01,0.070156
1998-01-01,0.052918
1999-01-01,0.022953
2000-01-01,0.061594
2001-01-01,0.048233
2002-01-01,0.078826
2003-01-01,0.096428
2004-01-01,0.054354
2005-01-01,0.043109
2006-01-01,0.007405
2007-01-01,0.023261
2008-01-01,0.087128
2009-01-01,0.021589
2010-01-01,0.051402
2011-01-01,0.088306
2012-01-01,0.042837
2013-01-01,-0.012900
2014-01-01,0.090406
2015-01-01,0.019556
2016-01-01,0.003273
2017-01-01,0.014813
2018-01-01,0.001577
2019-01-01,0.016317
2020-01-01,0.023002
