date,value
1880-01-01,0.057700
1881-01-01,0.050400
1882-01-01,0.056300
1883-01-01,0.058000
1884-01-01,0.059000
1885-01-01,0.060000
1886-01-01,0.045000
1887-01-01,0.047750
1888-01-01,0.045000
1889-01-01,0.045000
1890-01-01,0.070000
1891-01-01,0.070000
1892-01-01,0.060000
1893-01-01,0.060000
1894-01-01,0.050000
1895-01-01,0.060000
1896-01-01,0.060000
1897-01-01,0.060000
1898-01-01,0.060000
1899-01-01,0.050000
1900-01-01,0.050000
1901-01-01,0.050000
1902-01-01,0.050000
1903-01-01,0.050000
1904-01-01,0.050000
1905-01-01,0.050000
1906-01-01,0.050000
1907-01-01,0.055000
1908-01-01,0.040000
1909-01-01,0.050000
1910-01-01,0.055000
1911-01-01,0.055000
1912-01-01,0.055000
1913-01-01,0.055000
1914-01-01,0.055000
1915-01-01,0.055000
1916-01-01,0.055000
1917-01-01,0.055000
1918-01-01,0.055000
1919-01-01,0.055000
1920-01-01,0.070000
1921-01-01,0.070000
1922-01-01,0.070000
1923-01-01,0.090000
1924-01-01,0.090000
1925-01-01,0.090000
1926-01-01,0.080000
1927-01-01,0.080000
1928-01-01,0.080000
1929-01-01,0.080000
1930-01-01,0.075000
1931-01-01,0.070000
1932-01-01,0.065000
1933-01-01,0.055000
1934-01-01,0.050000
1935-01-01,0.050000
1936-01-01,0.045000
1937-01-01,0.040000
1938-01-01,0.040000
1939-01-01,0.040000
1940-01-01,0.040000
1941-01-01,0.035000
1942-01-01,0.035000
1943-01-01,0.025000
1944-01-01,0.020000
1945-01-01,0.020000
1946-01-01,0.020000
1947-01-01,0.012500
1948-01-01,0.013750
1949-01-01,0.013750
1950-01-01,0.013750
1951-01-01,0.013750
1952-01-01,0.017500
1953-01-01,0.017500
1954-01-01,0.017500
1955-01-01,0.017500
1956-01-01,0.020000
1957-01-01,0.020000
1958-01-01,0.021250
1959-01-01,0.020000
1960-01-01,0.020000
1961-01-01,0.022500
1962-01-01,0.026250
1963-01-01,0.026250
1964-01-01,0.026250
1965-01-01,0.030000
1966-01-01,0.027500
1967-01-01,0.032500
1968-01-01,0.035000
1969-01-01,0.035000
1970-01-01,0.045000
1971-01-01,0.047500
1972-01-01,0.047500
1973-01-01,0.052500
1974-01-01,0.077500
1975-01-01,0.085000
1976-01-01,0.095000
1977-01-01,0.125400
1978-01-01,0.184200
1979-01-01,0.148700
1980-01-01,0.099500
1981-01-01,0.092400
1982-01-01,0.124175
1983-01-01,0.182442
1984-01-01,0.212733
1985-01-01,0.201667
1986-01-01,0.145225
1987-01-01,0.136925
1988-01-01,0.129683
1989-01-01,0.148273
1990-01-01,0.169025
1991-01-01,0.177375
1992-01-01,0.167057
1993-01-01,0.132451
1994-01-01,0.111067
1995-01-01,0.097867
1996-01-01,0.073667
1997-01-01,0.057417
1998-01-01,0.043083
1999-01-01,0.029635
2000-01-01,0.043918
2001-01-01,0.042618
2002-01-01,0.033186
2003-01-01,0.023335
2004-01-01,0.021063
2005-01-01,0.021847
2006-01-01,0.030792
2007-01-01,0.042776
2008-01-01,0.046342
2009-01-01,0.012284
2010-01-01,0.008110
2011-01-01,0.013906
2012-01-01,0.005732
2013-01-01,0.002207
2014-01-01,0.002099
2015-01-01,-0.000200
2016-01-01,-0.002637
2017-01-01,-0.003291
2018-01-01,-0.003221
2019-01-01,-0.003563
2020-01-01,-0.004252
