date,value
1871-01-01,0.280512
1872-01-01,0.179948
1873-01-01,0.099698
1874-01-01,0.081096
1875-01-01,0.187085
1876-01-01,0.000962
1877-01-01,0.071411
1878-01-01,0.050505
1879-01-01,0.102041
1880-01-01,0.050980
1881-01-01,0.139328
1882-01-01,0.006404
1883-01-01,0.057316
1884-01-01,0.000916
1885-01-01,0.012740
1886-01-01,0.209326
1887-01-01,0.088033
1888-01-01,0.189388
1889-01-01,0.045220
1890-01-01,-0.075526
1891-01-01,-0.179920
1892-01-01,-0.205507
1893-01-01,0.155074
1894-01-01,0.161215
1895-01-01,0.213024
1896-01-01,0.024580
1897-01-01,-0.016731
1898-01-01,-0.019162
1899-01-01,0.298170
1900-01-01,0.168881
1901-01-01,0.152698
1902-01-01,0.074258
1903-01-01,0.067353
1904-01-01,0.090187
1905-01-01,0.131303
1906-01-01,0.091472
1907-01-01,0.073489
1908-01-01,-0.013795
1909-01-01,0.075928
1910-01-01,0.039996
1911-01-01,0.048517
1912-01-01,0.074469
1913-01-01,0.091280
1914-01-01,0.060514
1915-01-01,0.086036
1916-01-01,0.061222
1917-01-01,0.121131
1918-01-01,0.078466
1919-01-01,0.068087
1920-01-01,0.103325
1921-01-01,0.253593
1922-01-01,0.116643
1923-01-01,-0.062790
1924-01-01,0.041183
1925-01-01,0.171206
1926-01-01,0.330826
1927-01-01,0.107990
1928-01-01,0.182160
1929-01-01,0.198065
1930-01-01,0.105368
1931-01-01,0.048746
1932-01-01,0.113593
1933-01-01,0.165451
1934-01-01,0.278120
1935-01-01,0.071601
1936-01-01,0.077536
1937-01-01,0.035898
1938-01-01,0.046255
1939-01-01,-0.016894
1940-01-01,-0.011143
1941-01-01,0.088500
1942-01-01,0.180123
1943-01-01,0.062083
1944-01-01,-0.001564
1945-01-01,0.064929
1946-01-01,0.034929
1947-01-01,-0.030836
1948-01-01,-0.031817
1949-01-01,-0.178719
1950-01-01,0.050137
1951-01-01,0.108257
1952-01-01,0.070149
1953-01-01,0.049940
1954-01-01,0.126972
1955-01-01,-0.001799
1956-01-01,0.024568
1957-01-01,0.006100
1958-01-01,0.070846
1959-01-01,0.019526
1960-01-01,0.010314
1961-01-01,-0.027104
1962-01-01,-0.005312
1963-01-01,0.053911
1964-01-01,0.051448
1965-01-01,0.051265
1966-01-01,-0.020785
1967-01-01,-0.036815
1968-01-01,-0.025557
1969-01-01,-0.007484
1970-01-01,0.030036
1971-01-01,-0.003703
1972-01-01,0.073880
1973-01-01,0.142657
1974-01-01,-0.048112
1975-01-01,-0.201904
1976-01-01,-0.184554
1977-01-01,-0.159084
1978-01-01,0.265413
1979-01-01,0.176201
1980-01-01,0.275324
1981-01-01,0.095283
1982-01-01,0.162339
1983-01-01,0.178825
1984-01-01,0.304391
1985-01-01,0.301354
1986-01-01,0.289761
1987-01-01,0.150057
1988-01-01,0.113663
1989-01-01,0.120681
1990-01-01,0.166627
1991-01-01,0.230396
1992-01-01,0.173013
1993-01-01,0.161628
1994-01-01,-0.059786
1995-01-01,0.249568
1996-01-01,0.282664
1997-01-01,0.151835
1998-01-01,0.173149
1999-01-01,-0.044409
2000-01-01,0.079503
2001-01-01,0.062260
2002-01-01,0.118797
2003-01-01,0.049372
2004-01-01,0.107162
2005-01-01,0.064933
2006-01-01,-0.004636
2007-01-01,0.015395
2008-01-01,0.099226
2009-01-01,0.052625
2010-01-01,-0.124432
2011-01-01,-0.313355
2012-01-01,0.811297
2013-01-01,0.122343
2014-01-01,0.343355
2015-01-01,0.053307
2016-01-01,-0.035367
2017-01-01,0.122087
2018-01-01,0.017489
2019-01-01,0.058402
2020-01-01,-0.001965
