date,value
1948-01-01,0.043914
1949-01-01,0.153930
1950-01-01,-0.019443
1951-01-01,0.126344
1952-01-01,0.047371
1953-01-01,0.182950
1954-01-01,0.110046
1955-01-01,0.177301
1956-01-01,0.051229
1957-01-01,0.012574
1958-01-01,0.093962
1959-01-01,0.113300
1960-01-01,0.152026
1961-01-01,0.030545
1962-01-01,-0.076631
1963-01-01,0.061983
1964-01-01,0.109326
1965-01-01,0.058963
1966-01-01,0.064568
1967-01-01,-0.011399
1968-01-01,0.095878
1969-01-01,0.127612
1970-01-01,0.080033
1971-01-01,0.227626
1972-01-01,0.201469
1973-01-01,0.399660
1974-01-01,0.132533
1975-01-01,-0.146711
1976-01-01,0.132294
1977-01-01,0.292880
1978-01-01,0.311534
1979-01-01,0.256219
1980-01-01,0.319686
1981-01-01,0.399971
1982-01-01,0.269191
1983-01-01,0.277613
1984-01-01,0.254153
1985-01-01,0.254439
1986-01-01,0.221077
1987-01-01,0.314280
1988-01-01,0.205883
1989-01-01,0.227016
1990-01-01,0.205746
1991-01-01,0.185862
1992-01-01,0.112723
1993-01-01,0.140011
1994-01-01,0.079562
1995-01-01,0.165418
1996-01-01,0.093542
1997-01-01,0.215108
1998-01-01,0.200479
1999-01-01,0.129032
2000-01-01,0.071620
2001-01-01,0.057096
2002-01-01,0.060552
2003-01-01,0.138813
2004-01-01,0.186592
2005-01-01,0.141525
2006-01-01,0.124256
2007-01-01,0.067042
2008-01-01,0.008681
2009-01-01,0.020033
2010-01-01,0.005203
2011-01-01,-0.128070
2012-01-01,0.148915
2013-01-01,0.045508
2014-01-01,0.092152
2015-01-01,0.059673
2016-01-01,0.041070
2017-01-01,0.084549
2018-01-01,0.069399
2019-01-01,0.076318
