date,value
1870-01-01,0.044120
1871-01-01,0.042928
1872-01-01,0.042928
1873-01-01,0.056641
1874-01-01,0.046505
1875-01-01,0.047101
1876-01-01,0.047697
1877-01-01,0.054256
1878-01-01,0.053660
1879-01-01,0.051275
1880-01-01,0.047697
1881-01-01,0.048890
1882-01-01,0.049486
1883-01-01,0.047101
1884-01-01,0.043524
1885-01-01,0.041735
1886-01-01,0.042928
1887-01-01,0.041735
1888-01-01,0.041735
1889-01-01,0.045313
1890-01-01,0.051275
1891-01-01,0.049486
1892-01-01,0.050678
1893-01-01,0.051871
1894-01-01,0.053063
1895-01-01,0.050082
1896-01-01,0.050678
1897-01-01,0.054852
1898-01-01,0.057237
1899-01-01,0.056044
1900-01-01,0.054256
1901-01-01,0.053660
1902-01-01,0.051871
1903-01-01,0.053660
1904-01-01,0.057237
1905-01-01,0.056641
1906-01-01,0.056641
1907-01-01,0.056641
1908-01-01,0.057237
1909-01-01,0.057833
1910-01-01,0.055448
1911-01-01,0.059026
1912-01-01,0.058429
1913-01-01,0.060218
1914-01-01,0.059622
1915-01-01,0.066776
1916-01-01,0.081682
1917-01-01,0.096587
1918-01-01,0.174692
1919-01-01,0.199733
1920-01-01,0.345806
1921-01-01,0.541962
1922-01-01,0.655243
1923-01-01,1.029072
1924-01-01,1.430326
1925-01-01,1.374878
1926-01-01,1.316448
1927-01-01,1.413632
1928-01-01,1.352818
1929-01-01,1.407670
1930-01-01,1.337316
1931-01-01,1.186473
1932-01-01,1.162028
1933-01-01,1.161432
1934-01-01,1.173356
1935-01-01,1.175741
1936-01-01,1.205552
1937-01-01,1.253249
1938-01-01,1.214495
1939-01-01,1.143545
1940-01-01,1.197801
1941-01-01,1.346259
1942-01-01,1.644368
1943-01-01,1.859006
1944-01-01,1.912666
1945-01-01,2.084973
1946-01-01,2.372946
1947-01-01,2.446281
1948-01-01,2.015812
1949-01-01,2.337173
1950-01-01,2.276955
1951-01-01,2.308555
1952-01-01,2.312132
1953-01-01,2.332999
1954-01-01,2.351482
1955-01-01,2.430779
1956-01-01,2.537502
1957-01-01,2.538098
1958-01-01,2.574468
1959-01-01,2.608452
1960-01-01,2.666285
1961-01-01,2.659727
1962-01-01,2.658534
1963-01-01,2.727695
1964-01-01,2.861248
1965-01-01,2.954258
1966-01-01,3.029382
1967-01-01,3.155780
1968-01-01,3.218383
1969-01-01,3.304834
1970-01-01,3.471179
1971-01-01,3.728149
1972-01-01,4.041163
1973-01-01,4.351792
1974-01-01,6.000334
1975-01-01,7.112280
1976-01-01,8.580167
1977-01-01,11.409220
1978-01-01,14.462450
1979-01-01,17.947938
1980-01-01,21.249791
1981-01-01,24.666714
1982-01-01,30.191863
1983-01-01,37.890821
1984-01-01,48.803391
1985-01-01,58.369106
1986-01-01,65.256612
1987-01-01,71.230116
1988-01-01,78.315566
1989-01-01,88.183563
1990-01-01,100.000000
1991-01-01,111.400277
1992-01-01,121.314779
1993-01-01,129.200353
1994-01-01,135.918533
1995-01-01,141.491379
1996-01-01,145.877752
1997-01-01,149.087191
1998-01-01,152.389887
1999-01-01,155.694770
2000-01-01,160.062640
2001-01-01,167.120785
2002-01-01,173.306231
2003-01-01,178.916440
2004-01-01,183.406794
2005-01-01,187.313161
2006-01-01,193.017420
2007-01-01,197.693688
2008-01-01,202.936444
2009-01-01,201.103557
2010-01-01,203.901006
2011-01-01,211.149439
2012-01-01,217.011178
2013-01-01,217.964804
2014-01-01,217.617036
2015-01-01,218.721580
2016-01-01,220.112650
2017-01-01,223.537830
2018-01-01,226.147178
2019-01-01,226.825215
2020-01-01,226.549626
