date,value
1871-01-01,0.184337
1872-01-01,0.178820
1873-01-01,0.099368
1874-01-01,0.119901
1875-01-01,0.093721
1876-01-01,0.022963
1877-01-01,0.002879
1878-01-01,-0.034015
1879-01-01,0.097108
1880-01-01,0.143168
1881-01-01,0.217841
1882-01-01,0.016513
1883-01-01,0.041455
1884-01-01,-0.038839
1885-01-01,-0.012985
1886-01-01,0.146661
1887-01-01,0.096630
1888-01-01,0.142855
1889-01-01,0.057586
1890-01-01,-0.132525
1891-01-01,-0.150495
1892-01-01,0.028407
1893-01-01,0.006867
1894-01-01,0.246927
1895-01-01,0.148164
1896-01-01,0.121941
1897-01-01,0.021555
1898-01-01,0.099160
1899-01-01,0.131432
1900-01-01,0.105835
1901-01-01,0.098380
1902-01-01,0.119895
1903-01-01,0.096440
1904-01-01,0.098254
1905-01-01,0.072798
1906-01-01,0.059008
1907-01-01,0.020625
1908-01-01,-0.002140
1909-01-01,0.086515
1910-01-01,-0.052463
1911-01-01,0.006439
1912-01-01,0.073234
1913-01-01,0.058202
1914-01-01,0.058387
1915-01-01,0.123808
1916-01-01,0.132148
1917-01-01,0.140676
1918-01-01,0.436613
1919-01-01,0.147399
1920-01-01,-0.079214
1921-01-01,0.353861
1922-01-01,0.575792
1923-01-01,0.130046
1924-01-01,-0.098015
1925-01-01,0.014110
1926-01-01,0.069191
1927-01-01,0.346194
1928-01-01,0.249360
1929-01-01,-0.129062
1930-01-01,-0.183647
1931-01-01,-0.277119
1932-01-01,0.096460
1933-01-01,0.186169
1934-01-01,0.273816
1935-01-01,0.061399
1936-01-01,0.094776
1937-01-01,0.027835
1938-01-01,0.042424
1939-01-01,-0.078373
1940-01-01,-0.012486
1941-01-01,0.288171
1942-01-01,0.746438
1943-01-01,0.021540
1944-01-01,0.138046
1945-01-01,0.071215
1946-01-01,-0.058892
1947-01-01,-0.051246
1948-01-01,-0.091549
1949-01-01,-0.109678
1950-01-01,0.008282
1951-01-01,0.177486
1952-01-01,0.152757
1953-01-01,0.121994
1954-01-01,0.302181
1955-01-01,-0.002661
1956-01-01,-0.009058
1957-01-01,-0.034294
1958-01-01,-0.049439
1959-01-01,0.112093
1960-01-01,0.080533
1961-01-01,-0.023869
1962-01-01,-0.063577
1963-01-01,0.160566
1964-01-01,0.193787
1965-01-01,0.095009
1966-01-01,0.142932
1967-01-01,-0.043986
1968-01-01,0.053540
1969-01-01,0.318904
1970-01-01,0.099047
1971-01-01,0.194872
1972-01-01,0.465517
1973-01-01,0.738115
1974-01-01,-0.233531
1975-01-01,-0.443031
1976-01-01,-0.443031
1977-01-01,-0.440801
1978-01-01,-0.221098
1979-01-01,0.406051
1980-01-01,1.070539
1981-01-01,-0.311032
1982-01-01,-0.154597
1983-01-01,-0.036583
1984-01-01,0.070493
1985-01-01,1.368821
1986-01-01,0.926715
1987-01-01,1.118770
1988-01-01,-0.277150
1989-01-01,0.316885
1990-01-01,-0.329453
1991-01-01,-0.022983
1992-01-01,-0.112118
1993-01-01,0.532463
1994-01-01,0.084156
1995-01-01,-0.045937
1996-01-01,0.325684
1997-01-01,0.652474
1998-01-01,0.262446
1999-01-01,0.125665
2000-01-01,-0.082149
2001-01-01,-0.190358
2002-01-01,-0.206525
2003-01-01,0.173969
2004-01-01,0.179969
2005-01-01,0.171872
2006-01-01,0.332718
2007-01-01,0.183115
2008-01-01,-0.497177
2009-01-01,0.399631
2010-01-01,-0.062114
2011-01-01,-0.203730
2012-01-01,0.076929
2013-01-01,0.156012
2014-01-01,-0.211211
2015-01-01,0.186049
2016-01-01,-0.000017
2017-01-01,0.001783
2018-01-01,-0.000653
2019-01-01,0.002124
2020-01-01,0.001291
