date,value
1948-01-01,0.063707
1949-01-01,0.201394
1950-01-01,-0.027988
1951-01-01,0.130470
1952-01-01,0.038496
1953-01-01,0.203766
1954-01-01,0.091599
1955-01-01,0.214760
1956-01-01,0.066230
1957-01-01,0.021732
1958-01-01,0.131158
1959-01-01,0.126953
1960-01-01,0.184641
1961-01-01,0.043297
1962-01-01,-0.092086
1963-01-01,0.051708
1964-01-01,0.111150
1965-01-01,0.056605
1966-01-01,0.060925
1967-01-01,-0.007643
1968-01-01,0.114586
1969-01-01,0.099908
1970-01-01,0.081121
1971-01-01,0.256652
1972-01-01,0.147976
1973-01-01,0.272894
1974-01-01,0.237934
1975-01-01,-0.110410
1976-01-01,0.196243
1977-01-01,0.332596
1978-01-01,0.323834
1979-01-01,0.268706
1980-01-01,0.334308
1981-01-01,0.448657
1982-01-01,0.291098
1983-01-01,0.295563
1984-01-01,0.253896
1985-01-01,0.248582
1986-01-01,0.205012
1987-01-01,0.262261
1988-01-01,0.265172
1989-01-01,0.242144
1990-01-01,0.250572
1991-01-01,0.194452
1992-01-01,0.113014
1993-01-01,0.107021
1994-01-01,0.093625
1995-01-01,0.184117
1996-01-01,0.039173
1997-01-01,0.137816
1998-01-01,0.206018
1999-01-01,0.164961
2000-01-01,0.116272
2001-01-01,0.109374
2002-01-01,0.097716
2003-01-01,0.162175
2004-01-01,0.224518
2005-01-01,0.167801
2006-01-01,0.110129
2007-01-01,0.047418
2008-01-01,0.052625
2009-01-01,-0.054727
2010-01-01,0.045433
2011-01-01,-0.107571
2012-01-01,-0.010370
2013-01-01,0.013480
2014-01-01,0.077026
2015-01-01,0.063956
2016-01-01,0.104163
2017-01-01,0.123551
2018-01-01,0.131732
2019-01-01,0.126748
2020-01-01,0.113053
