date,value
1988-01-01,74.901334
1989-01-01,87.794442
1990-01-01,100.036305
1991-01-01,119.417984
1992-01-01,134.267808
1993-01-01,135.965963
1994-01-01,139.068064
1995-01-01,141.199791
1996-01-01,143.501849
1997-01-01,148.709869
1998-01-01,155.337319
1999-01-01,169.283870
2000-01-01,182.399408
2001-01-01,192.283806
2002-01-01,193.481290
2003-01-01,195.571724
2004-01-01,196.820823
2005-01-01,201.290739
2006-01-01,205.533546
2007-01-01,206.467789
2008-01-01,193.439997
2009-01-01,193.857160
2010-01-01,195.349244
2011-01-01,185.768975
2012-01-01,172.631359
2013-01-01,169.378799
2014-01-01,176.474151
2015-01-01,181.932115
2016-01-01,194.849295
2017-01-01,212.860574
2018-01-01,234.721463
2019-01-01,257.332726
2020-01-01,279.016254
