date,value
1870-01-01,12.594350
1871-01-01,10.536300
1872-01-01,8.006800
1873-01-01,7.884600
1874-01-01,6.364984
1875-01-01,5.255684
1876-01-01,4.965700
1877-01-01,5.382200
1878-01-01,5.610716
1879-01-01,5.436766
1880-01-01,5.730000
1881-01-01,5.670000
1882-01-01,5.680000
1883-01-01,5.640000
1884-01-01,5.970000
1885-01-01,6.640000
1886-01-01,5.850000
1887-01-01,5.230000
1888-01-01,4.710000
1889-01-01,4.480000
1890-01-01,4.860000
1891-01-01,7.070000
1892-01-01,12.330000
1893-01-01,13.980000
1894-01-01,12.710000
1895-01-01,11.500000
1896-01-01,11.380000
1897-01-01,13.470000
1898-01-01,14.320000
1899-01-01,12.070000
1900-01-01,12.280000
1901-01-01,11.540000
1902-01-01,9.830000
1903-01-01,8.300000
1904-01-01,4.820000
1905-01-01,4.330000
1906-01-01,4.230000
1907-01-01,4.490000
1908-01-01,4.820000
1909-01-01,4.750000
1910-01-01,4.480000
1911-01-01,4.500000
1912-01-01,4.610000
1913-01-01,4.720000
1914-01-01,4.761905
1915-01-01,5.139186
1916-01-01,5.504587
1917-01-01,5.172414
1918-01-01,5.263158
1919-01-01,6.976744
1920-01-01,13.953488
1921-01-01,13.043478
1922-01-01,10.714286
1923-01-01,9.090909
1924-01-01,10.169492
1925-01-01,9.836066
1926-01-01,9.523810
1927-01-01,10.135135
1928-01-01,9.615385
1929-01-01,7.894737
1930-01-01,8.108108
1931-01-01,6.660000
1932-01-01,6.030000
1933-01-01,4.780000
1934-01-01,4.000000
1935-01-01,4.050000
1936-01-01,3.650000
1937-01-01,3.610000
1938-01-01,3.740000
1939-01-01,3.970000
1940-01-01,3.830000
1941-01-01,3.610000
1942-01-01,2.920000
1943-01-01,2.820000
1944-01-01,2.760000
1945-01-01,2.830000
1946-01-01,2.830000
1947-01-01,3.040000
1948-01-01,3.240000
1949-01-01,3.760000
1950-01-01,3.920000
1951-01-01,3.790000
1952-01-01,3.480000
1953-01-01,3.380000
1954-01-01,3.270000
1955-01-01,3.180000
1956-01-01,3.030000
1957-01-01,3.050000
1958-01-01,3.030000
1959-01-01,3.450000
1960-01-01,3.460000
1961-01-01,3.820000
1962-01-01,3.958330
1963-01-01,4.181670
1964-01-01,3.943330
1965-01-01,3.870000
1966-01-01,3.963330
1967-01-01,5.004170
1968-01-01,5.107500
1969-01-01,5.145000
1970-01-01,5.278330
1971-01-01,5.692500
1972-01-01,6.005000
1973-01-01,5.495830
1974-01-01,7.500000
1975-01-01,8.474000
1976-01-01,9.738330
1977-01-01,10.801700
1978-01-01,16.166700
1979-01-01,16.683300
1980-01-01,16.682500
1981-01-01,16.705000
1982-01-01,16.791700
1983-01-01,19.222500
1984-01-01,21.502500
1985-01-01,20.748300
1986-01-01,15.755800
1987-01-01,15.117500
1988-01-01,14.147500
1989-01-01,14.943300
1990-01-01,15.402500
1991-01-01,14.536700
1992-01-01,13.831700
1993-01-01,11.180800
1994-01-01,10.479200
1995-01-01,11.465000
1996-01-01,8.559170
1997-01-01,6.358330
1998-01-01,4.877500
1999-01-01,4.777500
2000-01-01,5.595000
2001-01-01,5.157500
2002-01-01,5.006670
2003-01-01,4.178330
2004-01-01,4.143330
2005-01-01,3.437500
2006-01-01,3.915000
2007-01-01,4.424170
2008-01-01,4.522500
2009-01-01,4.210830
2010-01-01,5.395830
2011-01-01,10.240800
2012-01-01,10.547500
2013-01-01,6.294170
2014-01-01,3.754167
2015-01-01,2.423333
2016-01-01,3.172500
2017-01-01,3.052500
2018-01-01,1.839167
2019-01-01,0.757500
2020-01-01,0.416667
