date,value
1948-01-01,0.051187
1949-01-01,0.181725
1950-01-01,-0.025489
1951-01-01,0.134040
1952-01-01,0.047765
1953-01-01,0.197310
1954-01-01,0.113591
1955-01-01,0.192525
1956-01-01,0.053908
1957-01-01,0.012528
1958-01-01,0.099910
1959-01-01,0.124316
1960-01-01,0.168839
1961-01-01,0.034821
1962-01-01,-0.089071
1963-01-01,0.065677
1964-01-01,0.121561
1965-01-01,0.061962
1966-01-01,0.074500
1967-01-01,-0.012591
1968-01-01,0.105975
1969-01-01,0.139532
1970-01-01,0.084172
1971-01-01,0.245885
1972-01-01,0.212341
1973-01-01,0.415240
1974-01-01,0.138783
1975-01-01,-0.152687
1976-01-01,0.149535
1977-01-01,0.329744
1978-01-01,0.322534
1979-01-01,0.268969
1980-01-01,0.336693
1981-01-01,0.446518
1982-01-01,0.290297
1983-01-01,0.294572
1984-01-01,0.253324
1985-01-01,0.255085
1986-01-01,0.221954
1987-01-01,0.352330
1988-01-01,0.226005
1989-01-01,0.248232
1990-01-01,0.214653
1991-01-01,0.181468
1992-01-01,0.099951
1993-01-01,0.138377
1994-01-01,0.092849
1995-01-01,0.163295
1996-01-01,0.071641
1997-01-01,0.239510
1998-01-01,0.219133
1999-01-01,0.155396
2000-01-01,0.073538
2001-01-01,0.058097
2002-01-01,0.056863
2003-01-01,0.163840
2004-01-01,0.217978
2005-01-01,0.168437
2006-01-01,0.154258
2007-01-01,0.077180
2008-01-01,-0.011020
2009-01-01,0.015814
2010-01-01,0.030205
2011-01-01,-0.118300
2012-01-01,0.000993
2013-01-01,0.035467
2014-01-01,0.041665
2015-01-01,0.080027
2016-01-01,0.087509
2017-01-01,0.102773
2018-01-01,0.113528
2019-01-01,0.108655
