date,value
1880-01-01,0.054340
1881-01-01,0.094864
1882-01-01,0.031352
1883-01-01,0.057658
1884-01-01,0.029958
1885-01-01,0.036370
1886-01-01,0.127163
1887-01-01,0.067892
1888-01-01,0.117194
1889-01-01,0.045110
1890-01-01,-0.002763
1891-01-01,-0.054960
1892-01-01,-0.072753
1893-01-01,0.107537
1894-01-01,0.105607
1895-01-01,0.136512
1896-01-01,0.042290
1897-01-01,0.021635
1898-01-01,0.020419
1899-01-01,0.174085
1900-01-01,0.109441
1901-01-01,0.101349
1902-01-01,0.062129
1903-01-01,0.058676
1904-01-01,0.070093
1905-01-01,0.090652
1906-01-01,0.070736
1907-01-01,0.064245
1908-01-01,0.013102
1909-01-01,0.062964
1910-01-01,0.047498
1911-01-01,0.051758
1912-01-01,0.064735
1913-01-01,0.073140
1914-01-01,0.057757
1915-01-01,0.070518
1916-01-01,0.058111
1917-01-01,0.088065
1918-01-01,0.066733
1919-01-01,0.061544
1920-01-01,0.086662
1921-01-01,0.161797
1922-01-01,0.093321
1923-01-01,0.013605
1924-01-01,0.065591
1925-01-01,0.130603
1926-01-01,0.205413
1927-01-01,0.093995
1928-01-01,0.131080
1929-01-01,0.139033
1930-01-01,0.090184
1931-01-01,0.059373
1932-01-01,0.089296
1933-01-01,0.110226
1934-01-01,0.164060
1935-01-01,0.060800
1936-01-01,0.061268
1937-01-01,0.037949
1938-01-01,0.043128
1939-01-01,0.011553
1940-01-01,0.014429
1941-01-01,0.061750
1942-01-01,0.107562
1943-01-01,0.043541
1944-01-01,0.009218
1945-01-01,0.042464
1946-01-01,0.027465
1947-01-01,-0.009168
1948-01-01,-0.009033
1949-01-01,-0.082485
1950-01-01,0.031944
1951-01-01,0.061004
1952-01-01,0.043825
1953-01-01,0.033720
1954-01-01,0.072236
1955-01-01,0.007851
1956-01-01,0.022284
1957-01-01,0.013050
1958-01-01,0.046048
1959-01-01,0.019763
1960-01-01,0.015157
1961-01-01,-0.002302
1962-01-01,0.010469
1963-01-01,0.040080
1964-01-01,0.038849
1965-01-01,0.040632
1966-01-01,0.003358
1967-01-01,-0.002158
1968-01-01,0.004722
1969-01-01,0.013758
1970-01-01,0.037518
1971-01-01,0.021899
1972-01-01,0.060690
1973-01-01,0.097578
1974-01-01,0.014694
1975-01-01,-0.058452
1976-01-01,-0.044777
1977-01-01,-0.016842
1978-01-01,0.224806
1979-01-01,0.162450
1980-01-01,0.187412
1981-01-01,0.093841
1982-01-01,0.143257
1983-01-01,0.180633
1984-01-01,0.258562
1985-01-01,0.251510
1986-01-01,0.217493
1987-01-01,0.143491
1988-01-01,0.121673
1989-01-01,0.134477
1990-01-01,0.167826
1991-01-01,0.203885
1992-01-01,0.170035
1993-01-01,0.147039
1994-01-01,0.025640
1995-01-01,0.173717
1996-01-01,0.178165
1997-01-01,0.104626
1998-01-01,0.108116
1999-01-01,-0.007387
2000-01-01,0.061710
2001-01-01,0.052439
2002-01-01,0.075991
2003-01-01,0.036354
2004-01-01,0.064113
2005-01-01,0.043390
2006-01-01,0.013078
2007-01-01,0.029085
2008-01-01,0.072784
2009-01-01,0.032454
2010-01-01,-0.058161
2011-01-01,-0.149725
2012-01-01,0.408514
2013-01-01,0.062275
2014-01-01,0.172727
2015-01-01,0.026554
2016-01-01,-0.019002
2017-01-01,0.059398
2018-01-01,0.007134
2019-01-01,0.027420
2020-01-01,-0.003109
