date,value
1870-01-01,0.050000
1871-01-01,0.050000
1872-01-01,0.055833
1873-01-01,0.060000
1874-01-01,0.060000
1875-01-01,0.060000
1876-01-01,0.060000
1877-01-01,0.051667
1878-01-01,0.043333
1879-01-01,0.040000
1880-01-01,0.040000
1881-01-01,0.045417
1882-01-01,0.048333
1883-01-01,0.055000
1884-01-01,0.045000
1885-01-01,0.040000
1886-01-01,0.040000
1887-01-01,0.040000
1888-01-01,0.035000
1889-01-01,0.035000
1890-01-01,0.040000
1891-01-01,0.040000
1892-01-01,0.045000
1893-01-01,0.050000
1894-01-01,0.050000
1895-01-01,0.045000
1896-01-01,0.040000
1897-01-01,0.040000
1898-01-01,0.050000
1899-01-01,0.040000
1900-01-01,0.035000
1901-01-01,0.040000
1902-01-01,0.040000
1903-01-01,0.035000
1904-01-01,0.030000
1905-01-01,0.040000
1906-01-01,0.045000
1907-01-01,0.045000
1908-01-01,0.040000
1909-01-01,0.045000
1910-01-01,0.040000
1911-01-01,0.040000
1912-01-01,0.045000
1913-01-01,0.045000
1914-01-01,0.040000
1915-01-01,0.045000
1916-01-01,0.045000
1917-01-01,0.045000
1918-01-01,0.045000
1919-01-01,0.050000
1920-01-01,0.060000
1921-01-01,0.060000
1922-01-01,0.035000
1923-01-01,0.035000
1924-01-01,0.035000
1925-01-01,0.035000
1926-01-01,0.035000
1927-01-01,0.035000
1928-01-01,0.035000
1929-01-01,0.035000
1930-01-01,0.035000
1931-01-01,0.035000
1932-01-01,0.035000
1933-01-01,0.036000
1934-01-01,0.036000
1935-01-01,0.036000
1939-01-01,0.030000
1940-01-01,0.030000
1941-01-01,0.030000
1942-01-01,0.030000
1943-01-01,0.030000
1944-01-01,0.030000
1945-01-01,0.030000
1946-01-01,0.030000
1947-01-01,0.030000
1948-01-01,0.030000
1949-01-01,0.030000
1950-01-01,0.030000
1951-01-01,0.030000
1952-01-01,0.030000
1953-01-01,0.030000
1954-01-01,0.030000
1955-01-01,0.030000
1956-01-01,0.030000
1957-01-01,0.030000
1958-01-01,0.030000
1959-01-01,0.030000
1960-01-01,0.030000
1961-01-01,0.030000
1962-01-01,0.030000
1963-01-01,0.030000
1964-01-01,0.030000
1965-01-01,0.030000
1966-01-01,0.030000
1967-01-01,0.030000
1968-01-01,0.030000
1969-01-01,0.045000
1970-01-01,0.055000
1971-01-01,0.040000
1972-01-01,0.040000
1973-01-01,0.050000
1974-01-01,0.060000
1975-01-01,0.066952
1976-01-01,0.099658
1977-01-01,0.131228
1978-01-01,0.207721
1979-01-01,0.131346
1980-01-01,0.154567
1981-01-01,0.158947
1982-01-01,0.171728
1983-01-01,0.194528
1984-01-01,0.126017
1985-01-01,0.116105
1986-01-01,0.114908
1987-01-01,0.160648
1988-01-01,0.112920
1989-01-01,0.143917
1990-01-01,0.147583
1991-01-01,0.132017
1992-01-01,0.130067
1993-01-01,0.123267
1994-01-01,0.078125
1995-01-01,0.089833
1996-01-01,0.076483
1997-01-01,0.054858
1998-01-01,0.043400
1999-01-01,0.027233
2000-01-01,0.041117
2001-01-01,0.043608
2002-01-01,0.032750
2003-01-01,0.023117
2004-01-01,0.020408
2005-01-01,0.020867
2006-01-01,0.028275
2007-01-01,0.038475
2008-01-01,0.038500
2009-01-01,0.006758
2010-01-01,0.004533
2011-01-01,0.010175
2012-01-01,0.002700
2013-01-01,0.001492
2014-01-01,0.001150
2015-01-01,-0.000758
2016-01-01,-0.002100
2017-01-01,-0.002900
2019-01-01,-0.003600
2020-01-01,-0.003600
