date,value
1900-01-01,0.082718
1901-01-01,0.077421
1902-01-01,0.077503
1903-01-01,0.074412
1904-01-01,0.059902
1905-01-01,0.067955
1906-01-01,0.068261
1907-01-01,0.060363
1908-01-01,0.064763
1909-01-01,0.061132
1910-01-01,0.040770
1911-01-01,0.054539
1912-01-01,0.035843
1913-01-01,0.008318
1914-01-01,-0.007037
1915-01-01,0.014213
1916-01-01,0.087200
1917-01-01,0.060258
1918-01-01,0.055802
1919-01-01,0.059791
1920-01-01,0.010232
1921-01-01,0.038098
1922-01-01,0.095753
1923-01-01,0.042351
1924-01-01,0.048107
1925-01-01,0.038968
1926-01-01,0.039843
1927-01-01,0.069678
1928-01-01,0.058922
1929-01-01,0.012518
1930-01-01,0.013180
1931-01-01,-0.022729
1932-01-01,0.097311
1933-01-01,0.111618
1934-01-01,0.078073
1935-01-01,0.133428
1936-01-01,-0.047548
1941-01-01,0.047223
1942-01-01,0.044433
1943-01-01,0.039807
1944-01-01,0.087688
1945-01-01,0.060951
1946-01-01,0.016804
1947-01-01,-0.002498
1948-01-01,0.025362
1949-01-01,0.029856
1950-01-01,0.025276
1951-01-01,0.034094
1952-01-01,0.046026
1953-01-01,0.052050
1954-01-01,0.052417
1955-01-01,0.043166
1956-01-01,0.009479
1957-01-01,0.013889
1958-01-01,0.055763
1959-01-01,0.047924
1960-01-01,0.085682
1961-01-01,0.046177
1962-01-01,0.070408
1963-01-01,0.044273
1964-01-01,0.034005
1965-01-01,0.041199
1966-01-01,0.049811
1967-01-01,0.059865
1968-01-01,0.047318
1969-01-01,0.052878
1970-01-01,0.011684
1971-01-01,0.077015
1972-01-01,0.095017
1973-01-01,0.008482
1974-01-01,0.010435
1975-01-01,0.071113
1976-01-01,0.107094
1977-01-01,-0.098452
1978-01-01,-0.038205
1979-01-01,-0.012500
1980-01-01,0.135318
1981-01-01,0.110869
1982-01-01,0.149051
1983-01-01,0.101935
1984-01-01,0.168333
1985-01-01,0.130533
1986-01-01,0.124167
1987-01-01,0.115743
1988-01-01,0.135648
1989-01-01,0.102260
1990-01-01,0.139187
1991-01-01,0.181017
1992-01-01,0.034407
1993-01-01,0.429264
1994-01-01,-0.125125
1995-01-01,0.252287
1996-01-01,0.290670
1997-01-01,0.169283
1998-01-01,0.176902
1999-01-01,-0.065196
2000-01-01,0.087145
2001-01-01,0.058253
2002-01-01,0.122706
2003-01-01,0.050546
2004-01-01,0.102467
2005-01-01,0.070184
2006-01-01,-0.016115
2007-01-01,0.010357
2008-01-01,0.097304
2009-01-01,0.050091
2010-01-01,-0.060354
2011-01-01,0.094074
2012-01-01,0.064856
2013-01-01,0.159018
2014-01-01,0.290997
2015-01-01,0.015871
2016-01-01,0.055494
2017-01-01,0.032334
2018-01-01,0.031853
2019-01-01,0.117817
2020-01-01,0.050832
