date,value
1901-01-01,0.056826
1902-01-01,0.028121
1903-01-01,0.086873
1904-01-01,-0.014177
1905-01-01,0.001953
1906-01-01,0.058261
1907-01-01,0.025737
1908-01-01,0.050714
1909-01-01,0.068490
1910-01-01,0.037156
1911-01-01,0.017880
1912-01-01,0.109206
1913-01-01,0.041420
1914-01-01,0.016901
1915-01-01,0.030685
1916-01-01,0.088939
1917-01-01,0.126181
1918-01-01,0.249521
1919-01-01,0.108395
1920-01-01,0.198381
1921-01-01,-0.143229
1922-01-01,0.050225
1923-01-01,0.082346
1924-01-01,0.087246
1925-01-01,0.123109
1926-01-01,0.057063
1927-01-01,0.022886
1928-01-01,0.013805
1929-01-01,0.059293
1930-01-01,0.324855
1931-01-01,-0.005218
1932-01-01,-0.025095
1933-01-01,0.072055
1934-01-01,0.235392
1935-01-01,0.057494
1941-01-01,0.143352
1942-01-01,0.081328
1943-01-01,0.102419
1944-01-01,-0.016938
1945-01-01,0.185884
1946-01-01,0.037353
1947-01-01,0.183078
1948-01-01,0.021978
1949-01-01,-0.013101
1950-01-01,-0.011892
1951-01-01,0.141313
1952-01-01,0.044679
1953-01-01,0.205804
1954-01-01,0.190058
1955-01-01,0.097116
1956-01-01,0.119803
1957-01-01,0.110543
1958-01-01,0.041656
1959-01-01,0.336127
1960-01-01,-0.121921
1961-01-01,0.298518
1962-01-01,0.193783
1963-01-01,0.134454
1964-01-01,0.131635
1965-01-01,0.154996
1966-01-01,0.114274
1967-01-01,0.089296
1968-01-01,0.132044
1969-01-01,0.308806
1970-01-01,0.129003
1971-01-01,0.143143
1972-01-01,0.240699
1973-01-01,0.174793
1974-01-01,0.133424
1975-01-01,0.059047
1976-01-01,0.131162
1977-01-01,0.196365
1978-01-01,0.266917
1979-01-01,0.216072
1980-01-01,0.107521
1981-01-01,0.135897
1982-01-01,0.115600
1983-01-01,0.123992
1984-01-01,0.153535
1985-01-01,0.158875
1986-01-01,0.275538
1987-01-01,0.259751
1988-01-01,0.249348
1989-01-01,0.231870
1990-01-01,0.157947
1991-01-01,0.158757
1992-01-01,0.014612
1993-01-01,0.104147
1994-01-01,0.014322
1995-01-01,0.086925
1996-01-01,0.114681
1997-01-01,0.126292
1998-01-01,0.131824
1999-01-01,0.096994
2000-01-01,0.063625
2001-01-01,0.090013
2002-01-01,0.139104
2003-01-01,0.215137
2004-01-01,0.193467
2005-01-01,0.165193
2006-01-01,0.146550
2007-01-01,0.070243
2008-01-01,-0.009638
2009-01-01,-0.011362
2010-01-01,-0.022313
2011-01-01,-0.029274
2012-01-01,-0.042291
2013-01-01,-0.052250
2014-01-01,0.056017
2015-01-01,0.040999
2016-01-01,0.046490
2017-01-01,0.064919
