date,value
1900-01-01,0.041948
1901-01-01,0.022268
1902-01-01,0.043840
1903-01-01,0.054045
1904-01-01,-0.001310
1905-01-01,-0.057440
1906-01-01,0.104743
1907-01-01,0.077072
1908-01-01,0.042492
1909-01-01,0.048456
1910-01-01,0.024238
1911-01-01,0.021169
1912-01-01,0.053380
1913-01-01,0.027530
1914-01-01,-0.072369
1915-01-01,0.129251
1916-01-01,0.090420
1917-01-01,0.151580
1918-01-01,0.132651
1919-01-01,0.021468
1920-01-01,0.064018
1921-01-01,-0.050044
1922-01-01,0.212645
1923-01-01,0.175183
1924-01-01,0.091218
1925-01-01,0.051016
1926-01-01,0.176912
1927-01-01,0.305354
1928-01-01,0.249640
1929-01-01,0.025514
1930-01-01,0.004128
1931-01-01,-0.242093
1932-01-01,-0.094574
1933-01-01,0.120960
1934-01-01,-0.017975
1935-01-01,0.593180
1936-01-01,-0.065904
1937-01-01,0.087812
1938-01-01,0.087812
1939-01-01,0.087812
1940-01-01,0.097836
1941-01-01,0.301400
1942-01-01,0.135623
1943-01-01,-0.072332
1944-01-01,0.019767
1945-01-01,0.171948
1946-01-01,0.359475
1947-01-01,0.436633
1948-01-01,-0.290678
1949-01-01,-0.104057
1950-01-01,0.066136
1951-01-01,0.195462
1952-01-01,0.096296
1953-01-01,0.041315
1954-01-01,0.260426
1955-01-01,0.377145
1956-01-01,0.494101
1957-01-01,0.092168
1958-01-01,-0.118168
1959-01-01,-0.053877
1960-01-01,0.022009
1961-01-01,0.283701
1962-01-01,0.253300
1963-01-01,0.088912
1964-01-01,0.015990
1965-01-01,0.099116
1966-01-01,0.078348
1967-01-01,0.080363
1968-01-01,0.224795
1969-01-01,0.524444
1970-01-01,0.095258
1971-01-01,0.040520
1972-01-01,0.347512
1973-01-01,0.297600
1974-01-01,0.041213
1975-01-01,-0.113393
1976-01-01,-0.109356
1977-01-01,-0.287590
1978-01-01,-0.132614
1979-01-01,-0.071511
1980-01-01,0.009616
1981-01-01,0.424200
1982-01-01,0.000007
1983-01-01,0.124206
1984-01-01,0.467085
1985-01-01,0.344648
1986-01-01,1.132600
1987-01-01,0.479292
1988-01-01,0.143833
1989-01-01,0.126304
1990-01-01,-0.117975
1991-01-01,0.054103
1992-01-01,-0.080828
1993-01-01,0.561000
1994-01-01,-0.092000
1995-01-01,0.157000
1996-01-01,0.429000
1997-01-01,0.454000
1998-01-01,0.395000
1999-01-01,0.197000
2000-01-01,-0.104000
2001-01-01,-0.036377
2002-01-01,-0.204654
2003-01-01,0.329781
2004-01-01,0.230820
2005-01-01,0.257828
2006-01-01,0.405471
2007-01-01,0.091621
2008-01-01,-0.369471
2009-01-01,0.356053
2010-01-01,-0.146696
2011-01-01,-0.087707
2012-01-01,0.050108
2013-01-01,0.298803
2014-01-01,0.090846
2015-01-01,-0.031991
2016-01-01,0.022700
2017-01-01,0.097200
2018-01-01,-0.108800
2019-01-01,0.162300
2020-01-01,-0.098100
