date,value
1901-01-01,0.059495
1902-01-01,-0.001887
1903-01-01,0.123737
1904-01-01,-0.060274
1905-01-01,-0.039165
1906-01-01,0.052891
1907-01-01,-0.009022
1908-01-01,0.050578
1909-01-01,0.087443
1910-01-01,0.036818
1911-01-01,-0.005447
1912-01-01,0.162650
1913-01-01,0.053817
1914-01-01,0.030089
1915-01-01,0.016269
1916-01-01,0.106062
1917-01-01,0.167396
1918-01-01,0.360325
1919-01-01,0.144394
1920-01-01,0.286120
1921-01-01,-0.260873
1922-01-01,0.017029
1923-01-01,0.095794
1924-01-01,0.117821
1925-01-01,0.184810
1926-01-01,0.052385
1927-01-01,-0.038480
1928-01-01,-0.049435
1929-01-01,0.090736
1930-01-01,0.542912
1931-01-01,0.019045
1932-01-01,-0.075893
1933-01-01,0.062283
1934-01-01,0.372179
1935-01-01,-0.057889
1936-01-01,0.045308
1937-01-01,0.364739
1938-01-01,0.464516
1939-01-01,-0.073958
1940-01-01,0.190118
1941-01-01,0.185141
1942-01-01,0.100443
1943-01-01,0.186502
1944-01-01,-0.092493
1945-01-01,0.298536
1946-01-01,-0.058159
1947-01-01,0.193781
1948-01-01,0.074235
1949-01-01,-0.017303
1950-01-01,-0.033549
1951-01-01,0.168051
1952-01-01,0.040443
1953-01-01,0.264967
1954-01-01,0.215538
1955-01-01,0.066240
1956-01-01,0.056455
1957-01-01,0.140073
1958-01-01,0.077166
1959-01-01,0.495242
1960-01-01,-0.201931
1961-01-01,0.366532
1962-01-01,0.210635
1963-01-01,0.167023
1964-01-01,0.175513
1965-01-01,0.187689
1966-01-01,0.134655
1967-01-01,0.097228
1968-01-01,0.126442
1969-01-01,0.284168
1970-01-01,0.150035
1971-01-01,0.179867
1972-01-01,0.227129
1973-01-01,0.153049
1974-01-01,0.158870
1975-01-01,0.085196
1976-01-01,0.160020
1977-01-01,0.244360
1978-01-01,0.301415
1979-01-01,0.239467
1980-01-01,0.108523
1981-01-01,0.122244
1982-01-01,0.113662
1983-01-01,0.119666
1984-01-01,0.138962
1985-01-01,0.156555
1986-01-01,0.222154
1987-01-01,0.263961
1988-01-01,0.282690
1989-01-01,0.261566
1990-01-01,0.181358
1991-01-01,0.166898
1992-01-01,0.009043
1993-01-01,0.020663
1994-01-01,0.033320
1995-01-01,0.058452
1996-01-01,0.054611
1997-01-01,0.072880
1998-01-01,0.078915
1999-01-01,0.099507
2000-01-01,0.103966
2001-01-01,0.122802
2002-01-01,0.196010
2003-01-01,0.223501
2004-01-01,0.203682
2005-01-01,0.163837
2006-01-01,0.117006
2007-01-01,0.070487
2008-01-01,0.017628
2009-01-01,-0.059729
2010-01-01,-0.009017
2011-01-01,-0.037339
2012-01-01,-0.068036
2013-01-01,-0.134613
2014-01-01,0.027974
2015-01-01,0.060486
2016-01-01,0.069984
2017-01-01,0.084764
2018-01-01,0.089030
2019-01-01,0.072437
2020-01-01,0.042278
