date,value
1971-01-01,4.953174
1972-01-01,5.253392
1973-01-01,6.379112
1974-01-01,8.705607
1975-01-01,9.381032
1976-01-01,10.965611
1977-01-01,14.984402
1978-01-01,19.887352
1979-01-01,20.932241
1980-01-01,21.977130
1981-01-01,23.317693
1982-01-01,24.094950
1983-01-01,28.758488
1984-01-01,30.937162
1985-01-01,34.046187
1986-01-01,39.275004
1987-01-01,55.274459
1988-01-01,69.996266
1989-01-01,86.510456
1990-01-01,100.000000
1991-01-01,113.909634
1992-01-01,113.144137
1993-01-01,112.808066
1994-01-01,114.497760
1995-01-01,118.502614
1996-01-01,121.517924
1997-01-01,126.699029
1998-01-01,132.860344
1999-01-01,142.130321
2000-01-01,152.791262
2001-01-01,167.307692
2002-01-01,195.687080
2003-01-01,234.774085
2004-01-01,277.819268
2005-01-01,318.381255
2006-01-01,361.701771
2007-01-01,397.178562
2008-01-01,391.506013
2009-01-01,365.639188
2010-01-01,359.179155
2011-01-01,331.724016
2012-01-01,282.699842
2013-01-01,256.899752
2014-01-01,257.700895
2015-01-01,266.938962
2016-01-01,279.278852
2017-01-01,296.583127
2018-01-01,316.536764
2019-01-01,332.913429
2020-01-01,340.361007
