date,value
1870-01-01,11.194030
1871-01-01,9.917355
1872-01-01,11.560694
1873-01-01,22.607385
1874-01-01,23.346304
1875-01-01,17.595308
1876-01-01,23.715415
1877-01-01,22.988506
1878-01-01,19.672131
1879-01-01,19.200000
1880-01-01,15.780000
1881-01-01,11.950000
1882-01-01,10.750000
1883-01-01,6.640000
1884-01-01,6.560000
1885-01-01,6.900000
1886-01-01,6.450000
1887-01-01,5.930000
1888-01-01,5.490000
1889-01-01,5.280000
1890-01-01,5.140000
1891-01-01,5.470000
1892-01-01,6.240000
1893-01-01,6.140000
1894-01-01,5.770000
1895-01-01,5.720000
1896-01-01,5.960000
1897-01-01,6.170000
1898-01-01,9.090000
1899-01-01,6.390000
1900-01-01,5.290000
1901-01-01,5.530000
1902-01-01,4.780000
1903-01-01,4.450000
1904-01-01,4.590000
1905-01-01,4.340000
1906-01-01,4.170000
1907-01-01,4.270000
1908-01-01,4.160000
1909-01-01,4.090000
1910-01-01,4.180000
1911-01-01,4.180000
1912-01-01,4.280000
1913-01-01,4.400000
1914-01-01,4.220000
1915-01-01,4.470000
1916-01-01,4.310000
1917-01-01,4.310000
1918-01-01,4.120000
1919-01-01,4.160000
1920-01-01,4.440000
1921-01-01,4.720000
1922-01-01,4.620000
1923-01-01,4.530000
1924-01-01,4.570000
1925-01-01,4.580000
1926-01-01,4.710000
1927-01-01,4.610000
1928-01-01,4.290000
1929-01-01,4.340000
1930-01-01,4.480000
1931-01-01,5.530000
1932-01-01,5.030000
1933-01-01,4.830000
1934-01-01,4.580000
1935-01-01,4.190000
1936-01-01,4.307558
1940-01-01,4.488330
1941-01-01,4.426248
1942-01-01,4.414524
1943-01-01,4.419890
1944-01-01,4.358723
1945-01-01,4.349244
1946-01-01,4.408685
1947-01-01,4.376368
1948-01-01,4.540295
1949-01-01,4.626417
1950-01-01,4.776119
1951-01-01,4.753417
1952-01-01,4.751158
1953-01-01,4.785834
1954-01-01,4.818697
1955-01-01,4.844374
1956-01-01,4.866772
1957-01-01,4.990020
1958-01-01,5.000625
1959-01-01,5.001250
1960-01-01,4.900159
1961-01-01,4.569340
1962-01-01,4.351610
1963-01-01,4.189798
1964-01-01,4.237288
1965-01-01,4.184538
1966-01-01,4.059677
1967-01-01,3.862868
1968-01-01,3.603279
1969-01-01,3.533569
1970-01-01,3.624830
1971-01-01,3.369556
1972-01-01,3.168044
1973-01-01,4.786898
1974-01-01,4.421564
1975-01-01,4.744479
1976-01-01,5.674552
1977-01-01,6.111111
1978-01-01,9.847241
1979-01-01,13.308195
1980-01-01,15.960833
1981-01-01,15.811667
1982-01-01,15.987500
1983-01-01,16.909167
1984-01-01,16.522500
1985-01-01,13.367500
1986-01-01,11.354167
1987-01-01,12.813333
1988-01-01,11.744167
1989-01-01,13.702500
1990-01-01,14.677500
1991-01-01,12.360833
1992-01-01,11.693333
1993-01-01,10.211667
1994-01-01,9.995833
1995-01-01,11.270000
1996-01-01,8.736667
1997-01-01,6.401667
1998-01-01,4.833333
1999-01-01,4.727500
2000-01-01,5.525833
2001-01-01,5.116667
2002-01-01,4.959167
2003-01-01,4.124167
2004-01-01,4.103333
2005-01-01,3.387500
2006-01-01,3.785000
2007-01-01,4.307500
2008-01-01,4.366667
2009-01-01,3.979167
2010-01-01,4.250833
2011-01-01,5.440000
2012-01-01,5.845000
2013-01-01,4.561667
2014-01-01,2.723333
2015-01-01,1.735833
2016-01-01,1.393333
2017-01-01,1.555000
2018-01-01,1.422500
2019-01-01,0.659167
2020-01-01,0.375000
