date,value
1900-01-01,0.058859
1901-01-01,0.058711
1902-01-01,0.058752
1903-01-01,0.054706
1904-01-01,0.044951
1905-01-01,0.053978
1906-01-01,0.056631
1907-01-01,0.052682
1908-01-01,0.052382
1909-01-01,0.053066
1910-01-01,0.040385
1911-01-01,0.047269
1912-01-01,0.040422
1913-01-01,0.026659
1914-01-01,0.016481
1915-01-01,0.029607
1916-01-01,0.066100
1917-01-01,0.052629
1918-01-01,0.050401
1919-01-01,0.054896
1920-01-01,0.035116
1921-01-01,0.049049
1922-01-01,0.065377
1923-01-01,0.038675
1924-01-01,0.041554
1925-01-01,0.036984
1926-01-01,0.037422
1927-01-01,0.052339
1928-01-01,0.046961
1929-01-01,0.023759
1930-01-01,0.024090
1931-01-01,0.006136
1932-01-01,0.066155
1933-01-01,0.073809
1934-01-01,0.057036
1935-01-01,0.084714
1941-01-01,0.038612
1942-01-01,0.037217
1943-01-01,0.034904
1944-01-01,0.058844
1945-01-01,0.045476
1946-01-01,0.023402
1947-01-01,0.013751
1948-01-01,0.027681
1949-01-01,0.029928
1950-01-01,0.027638
1951-01-01,0.032047
1952-01-01,0.038013
1953-01-01,0.041025
1954-01-01,0.041209
1955-01-01,0.036583
1956-01-01,0.019739
1957-01-01,0.021944
1958-01-01,0.042881
1959-01-01,0.038962
1960-01-01,0.057841
1961-01-01,0.038088
1962-01-01,0.050204
1963-01-01,0.037137
1964-01-01,0.032002
1965-01-01,0.035599
1966-01-01,0.039905
1967-01-01,0.044933
1968-01-01,0.038659
1969-01-01,0.048939
1970-01-01,0.033342
1971-01-01,0.058508
1972-01-01,0.067508
1973-01-01,0.029241
1974-01-01,0.035218
1975-01-01,0.069032
1976-01-01,0.103376
1977-01-01,0.016388
1978-01-01,0.084758
1979-01-01,0.059423
1980-01-01,0.144943
1981-01-01,0.134908
1982-01-01,0.160390
1983-01-01,0.148232
1984-01-01,0.147175
1985-01-01,0.123319
1986-01-01,0.119537
1987-01-01,0.138196
1988-01-01,0.124284
1989-01-01,0.123088
1990-01-01,0.143385
1991-01-01,0.156517
1992-01-01,0.082237
1993-01-01,0.276265
1994-01-01,-0.023500
1995-01-01,0.171060
1996-01-01,0.183577
1997-01-01,0.112071
1998-01-01,0.110151
1999-01-01,-0.018981
2000-01-01,0.064131
2001-01-01,0.050931
2002-01-01,0.077728
2003-01-01,0.036831
2004-01-01,0.061438
2005-01-01,0.045525
2006-01-01,0.006080
2007-01-01,0.024416
2008-01-01,0.067902
2009-01-01,0.028425
2010-01-01,-0.027910
2011-01-01,0.052124
2012-01-01,0.033778
2013-01-01,0.080255
2014-01-01,0.146073
2015-01-01,0.007556
2016-01-01,0.026697
2017-01-01,0.014717
2019-01-01,0.057109
2020-01-01,0.023616
